exerciseStableKey,relationType,relationId,role,qualifier,coefficient,confidence,sourceStatus,version,status
band_lift,CAPABILITY,OFI,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,ENABLED
band_lift,CAPABILITY,PROGRAM_GENERATION,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,ENABLED
band_lift,CAPABILITY,MUSCLE_LOAD,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,ENABLED
band_lift,CAPABILITY,BADMINTON_TRANSFER,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,ENABLED
band_lift,CAPABILITY,CONNECTIVE_TISSUE,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,ENABLED
band_lift,OFI_DOSE,QUALITY_BASED,,THREE_CONFIRMED_SETS_20KG_8REPS_600SECONDS_RPE8,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_AXIS,HIGH_FORCE_NEURAL,,MEDIUM,17.1875,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_AXIS,SYSTEMIC_MUSCULAR,,MEDIUM,15.625,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_AXIS,LOCAL_MUSCULAR,,MEDIUM,37.8125,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_AXIS,HIGH_SPEED,,MEDIUM,17.1875,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_AXIS,REACTIVE,,MEDIUM,15.625,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_GROUP,ROTATION_POWER,,WORKLOAD_BASELINE,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_GROUP,BAND_ROTATIONAL_CHAIN,,LOCAL_REPEAT_DETECTION,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_GROUP,ROTATION_POWER,,STRENGTH_COMPARISON,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_SCORE,HIGH_FORCE_NEURAL,,,21,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_SCORE,SYSTEMIC_MUSCULAR,,,20,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_SCORE,LOCAL_MUSCULAR,,,47,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_SCORE,HIGH_SPEED,,,21,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_SCORE,REACTIVE,,,20,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,OFI_SNAPSHOT,SUMMARY,LOW,LOW,28,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,PROGRAM_SLOT,ROTATIONAL_KINETIC_CHAIN,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,PROGRAM_SLOT,TRUNK_ANTI_ROTATION_STABILITY,SECONDARY,,0.65,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,PROGRAM_SLOT,HIP_HINGE_POSTERIOR_CHAIN,SECONDARY,,0.65,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,PROGRAM_SLOT,FOREARM_GRIP_ELBOW_SUPPORT,LIMITED,,0.35,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
band_lift,PROGRAM_ROLE,ANCHOR,,INELIGIBLE,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,
