"stableKey","exerciseName","currentActivityKind","currentPlanningEligibility","movementFamily","movementSubtype","programSlot","redundancyGroup","progressMetricType","strengthProgressionGroup","analysisEligibility","primaryStressProfile","secondaryStressTags","tendonStressTags","ligamentJointStabilityStressTags","jointImpactStressTags","cognitiveStressTags","sportContextTags","recoveryDecayProfile","stressMagnitudeHint","badmintonTransferLevel","badmintonTransferType","badmintonSkillTargets","badmintonPhysicalQualities","transferConfidence","sourceConfidenceLevel","finalSourceStatus","neuromuscularStressLevel","systemicMuscularStressLevel","localMuscularStressLevel","jointTendonImpactStressLevel","movementFocusDemandLevel","recoveryDurationClass","appCueProfile"
"ex_201f6426","B-스탠스 RDL","EXERCISE","PROGRAM_SELECTABLE","DEADLIFT_HINGE_VARIANTS","B_STANCE_RDL","UNILATERAL_HINGE_ACCESSORY","SINGLE_LEG_HINGE_STABILITY","VOLUME_LOAD","SINGLE_LEG_HINGE_STABILITY","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|BADMINTON_SUPPORTIVE","UNILATERAL_LOWER_STABILITY_STRESS","HAMSTRING_LOAD|GLUTE_LOAD|HIP_STABILITY_LOAD|CORE_BRACING_LOAD","HAMSTRING_TENDON_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_8633d8db","EZ바 컬","EXERCISE","PROGRAM_SELECTABLE","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","EZ_BAR_CURL","BICEPS_ACCESSORY","ELBOW_FLEXION_CURL","VOLUME_LOAD","ELBOW_FLEXION_CURL","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","BICEPS_LOCAL_LOAD|ELBOW_FLEXION_LOAD|GRIP_FOREARM_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_644e0f9d","V업","EXERCISE","PROGRAM_SELECTABLE","CORE_FLEXION_ANTERIOR_CORE","V_UP","CORE_FLEXION_ACCESSORY","ANTERIOR_CORE_FLEXION","REPS_OR_TIME","ANTERIOR_CORE_FLEXION","ACCESSORY_VOLUME|FATIGUE","DYNAMIC_CORE_FLEXION_STRESS","ANTERIOR_CORE_LOAD|HIP_FLEXION_LOAD","NONE","LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","SHORT","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","CORE_BRACING","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","MODERATE","SHORT","NONE"
"ex_8e4bf08e","Yates Row","EXERCISE","PROGRAM_SELECTABLE","ROW_VARIANTS","YATES_ROW","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","VOLUME_LOAD","HORIZONTAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HORIZONTAL_ROW_STRESS","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","SOURCE_WEAK_BUT_ACCEPTABLE","SOURCE_ACCEPTED_WITH_LIMITATION","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_389920ab","글루트 브릿지","EXERCISE","PROGRAM_SELECTABLE","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","GLUTE_BRIDGE","GLUTE_POSTERIOR_CHAIN_ACCESSORY","HIP_THRUST_GLUTE","VOLUME_LOAD","HIP_THRUST_GLUTE","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","HINGE_POSTERIOR_CHAIN_STRESS","GLUTE_LOAD|HAMSTRING_LOAD|HIP_CONTROL_LOAD|CORE_BRACING_LOAD","HAMSTRING_TENDON_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_e4f911bb","네거티브 풀업","EXERCISE","PROGRAM_SELECTABLE","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","NEGATIVE_PULL_UP","VERTICAL_PULL_STRENGTH","VERTICAL_PULL_COMPOUND","VOLUME_LOAD","VERTICAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","VERTICAL_PULL_STRESS","LAT_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_CONTROL_LOAD|CORE_BRACING_LOAD|BODYWEIGHT_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_debf6a8b","다이아몬드 푸시업","EXERCISE","PROGRAM_SELECTABLE","PUSH_UP_VARIANTS","DIAMOND_PUSH_UP","UPPER_PUSH_ACCESSORY","BODYWEIGHT_HORIZONTAL_PUSH","REPS_AT_LOAD","BODYWEIGHT_HORIZONTAL_PUSH","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","BODYWEIGHT_PUSH_STRESS","PECTORAL_LOAD|TRICEPS_LOAD|SHOULDER_CONTROL_LOAD|CORE_BRACING_LOAD","PECTORAL_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","MODERATE","MODERATE","MODERATE","SHORT","NONE"
"ex_93538692","덤벨 래터럴 레이즈","EXERCISE","PROGRAM_SELECTABLE","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DUMBBELL_LATERAL_RAISE","SHOULDER_ACCESSORY","LATERAL_DELTOID_ISOLATION","VOLUME_LOAD","LATERAL_DELTOID_ISOLATION","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","LATERAL_DELTOID_LOCAL_LOAD","ROTATOR_CUFF_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_9523db82","덤벨 루마니안 데드리프트","EXERCISE","PROGRAM_SELECTABLE","DEADLIFT_HINGE_VARIANTS","DUMBBELL_ROMANIAN_DEADLIFT","POSTERIOR_CHAIN_ACCESSORY","DUMBBELL_RDL_HINGE_ACCESSORY","VOLUME_LOAD","DUMBBELL_RDL_HINGE_ACCESSORY","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HINGE_POSTERIOR_CHAIN_STRESS","HAMSTRING_LOAD|GLUTE_LOAD|GRIP_LOAD|CORE_BRACING_LOAD|HEAVY_LOAD","HAMSTRING_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","LONG","HIGH","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","LONG","NONE"
"ex_72f11dc5","덤벨 리스트 익스텐션","EXERCISE","PROGRAM_SELECTABLE","FOREARM_GRIP_ACCESSORY","WRIST_EXTENSION","FOREARM_GRIP_ACCESSORY","FOREARM_WRIST_GRIP_ACCESSORY","LOAD_REPS_OR_TIME","FOREARM_WRIST_GRIP_ACCESSORY","ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE","ISOLATION_ACCESSORY_STRESS","GRIP_FOREARM_LOAD|WRIST_CONTROL_LOAD","FOREARM_FLEXOR_TENDON_STRESS|FOREARM_EXTENSOR_TENDON_STRESS","WRIST_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_95028bfe","덤벨 리스트 컬","EXERCISE","PROGRAM_SELECTABLE","FOREARM_GRIP_ACCESSORY","WRIST_CURL","FOREARM_GRIP_ACCESSORY","FOREARM_WRIST_GRIP_ACCESSORY","LOAD_REPS_OR_TIME","FOREARM_WRIST_GRIP_ACCESSORY","ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE","ISOLATION_ACCESSORY_STRESS","GRIP_FOREARM_LOAD|WRIST_CONTROL_LOAD","FOREARM_FLEXOR_TENDON_STRESS|FOREARM_EXTENSOR_TENDON_STRESS","WRIST_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
