relationId,exerciseStableKey,objectiveId,transferLevel,provenance,evidenceRelationKeys,reviewStatus,reviewReason
BADMINTON_OBJECTIVE_0001,band_lift,ROTATION_GENERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00002|BADMINTON_00003,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0002,band_pallof_press,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00009,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0003,band_pallof_press,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00009,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0004,band_woodchop,ROTATION_GENERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00016|BADMINTON_00017,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0005,cable_hip_adduction,ACCELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00058,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0006,cable_hip_adduction,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00057,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0007,cable_hip_adduction,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00057,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0008,cable_lift,ROTATION_GENERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00066|BADMINTON_00067|BADMINTON_00069,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0009,cable_pallof_press,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00078,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0010,cable_pallof_press,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00078,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0011,cable_woodchop,ROTATION_GENERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00092|BADMINTON_00093|BADMINTON_00095,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0012,dumbbell_farmer_carry,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00111,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0013,dumbbell_farmer_carry,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00111,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0014,dumbbell_single_leg_rdl,ACCELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00160,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0015,dumbbell_single_leg_rdl,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00159,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0016,dumbbell_single_leg_rdl,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00159,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0017,dumbbell_woodchop,ROTATION_GENERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00173|BADMINTON_00174|BADMINTON_00176,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0018,ex_1052e9fa,ACCELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00181,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0019,ex_1052e9fa,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00180,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0020,ex_1052e9fa,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00180,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0021,ex_16b298db,ACCELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00196,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0022,ex_16b298db,DECELERATION,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00195,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0023,ex_16b298db,FOOTWORK,SUPPORTIVE,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00195,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0024,ex_1c7f2342,ACCELERATION,DIRECT,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00219|BADMINTON_00226,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
BADMINTON_OBJECTIVE_0025,ex_1c7f2342,DECELERATION,DIRECT,INHERITED_FROM_EXPLICIT_BADMINTON_RELATION_V1,BADMINTON_00214|BADMINTON_00217|BADMINTON_00222|BADMINTON_00225,PASS,Objective is supported by explicit canonical badminton relations; the prior exercise-wide transfer level is inherited for this initial objective-specific cutover.
