relationKey,exerciseStableKey,exerciseName,relationType,relationValue,transferConfidence,identityStatus,sourceStableKey,inheritanceSourceStableKey,reviewStatus,evidenceSource,provenance,notes
BADMINTON_00001,band_lift,밴드 리프트,TRANSFER_LEVEL,SUPPORTIVE,MEDIUM,SELECTABLE_CANONICAL,band_lift,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00002,band_lift,밴드 리프트,TRANSFER_TYPE,ROTATION_POWER_SUPPORTIVE,MEDIUM,SELECTABLE_CANONICAL,band_lift,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00003,band_lift,밴드 리프트,SKILL_TARGET,ROTATION_SEQUENCING,MEDIUM,SELECTABLE_CANONICAL,band_lift,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00004,band_lift,밴드 리프트,PHYSICAL_QUALITY,CORE_BRACING,MEDIUM,SELECTABLE_CANONICAL,band_lift,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00005,band_lift,밴드 리프트,PHYSICAL_QUALITY,ROTATIONAL_CONTROL,MEDIUM,SELECTABLE_CANONICAL,band_lift,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00006,band_lift,밴드 리프트,COURT_MOVEMENT,NONE,MEDIUM,SELECTABLE_CANONICAL,band_lift,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00007,band_pallof_press,밴드 팔로프 프레스,TRANSFER_LEVEL,SUPPORTIVE,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00008,band_pallof_press,밴드 팔로프 프레스,TRANSFER_TYPE,CORE_STABILITY_SUPPORTIVE,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00009,band_pallof_press,밴드 팔로프 프레스,SKILL_TARGET,CHANGE_OF_DIRECTION,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00010,band_pallof_press,밴드 팔로프 프레스,SKILL_TARGET,DEFENSIVE_COVERAGE,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00011,band_pallof_press,밴드 팔로프 프레스,PHYSICAL_QUALITY,CORE_BRACING,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00012,band_pallof_press,밴드 팔로프 프레스,PHYSICAL_QUALITY,HIP_CONTROL,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00013,band_pallof_press,밴드 팔로프 프레스,PHYSICAL_QUALITY,SINGLE_LEG_STABILITY,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00014,band_pallof_press,밴드 팔로프 프레스,COURT_MOVEMENT,NONE,MEDIUM,SELECTABLE_CANONICAL,ex_99728d25,ex_99728d25,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
BADMINTON_00015,band_woodchop,밴드 우드찹,TRANSFER_LEVEL,SUPPORTIVE,MEDIUM,SELECTABLE_CANONICAL,band_woodchop,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
BADMINTON_00016,band_woodchop,밴드 우드찹,TRANSFER_TYPE,ROTATION_POWER_SUPPORTIVE,MEDIUM,SELECTABLE_CANONICAL,band_woodchop,,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
