relationId,exerciseStableKey,relationType,relationValue,sourceRowOrder,provenance,reviewStatus
CORE_CLASS_001,band_lift,CORE_CLASS,DIRECT,1,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_TARGET_001,band_lift,DIRECT_TARGET,ROTATION_GENERATION,1,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_002,band_pallof_press,CORE_CLASS,DIRECT,2,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_TARGET_002,band_pallof_press,DIRECT_TARGET,ANTI_ROTATION,2,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_003,band_woodchop,CORE_CLASS,DIRECT,3,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_TARGET_003,band_woodchop,DIRECT_TARGET,ROTATION_GENERATION,3,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_004,barbell_back_squat,CORE_CLASS,HIDDEN_HIGH,4,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_005,barbell_bench_press,CORE_CLASS,HIDDEN_MODERATE,5,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_006,barbell_deadlift,CORE_CLASS,HIDDEN_HIGH,6,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_007,barbell_reverse_curl,CORE_CLASS,HIDDEN_LOW,7,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_008,barbell_reverse_wrist_curl,CORE_CLASS,NONE,8,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_009,barbell_romanian_deadlift,CORE_CLASS,HIDDEN_HIGH,9,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_010,cable_hip_adduction,CORE_CLASS,HIDDEN_LOW,10,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_011,cable_lift,CORE_CLASS,DIRECT,11,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_TARGET_011,cable_lift,DIRECT_TARGET,ROTATION_GENERATION,11,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_012,cable_overhead_triceps_extension,CORE_CLASS,HIDDEN_LOW,12,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_013,cable_pallof_press,CORE_CLASS,DIRECT,13,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_TARGET_013,cable_pallof_press,DIRECT_TARGET,ANTI_ROTATION,13,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_014,cable_rear_delt_fly,CORE_CLASS,HIDDEN_LOW,14,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_015,cable_woodchop,CORE_CLASS,DIRECT,15,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_TARGET_015,cable_woodchop,DIRECT_TARGET,ROTATION_GENERATION,15,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
CORE_CLASS_016,chest_supported_row_machine,CORE_CLASS,HIDDEN_LOW,16,USER_APPROVED_CORE_REVIEW_2026_08_13,APPROVED_DRAFT
