exerciseStableKey,exerciseName,groupId,requirementModel,memberOrder,equipmentCode,simultaneousRequired,sourceStableKey,note
band_lift,밴드 리프트,eqreq_band_lift,SINGLE,1,BAND,NO,band_lift,Single atomic equipment requirement.
band_pallof_press,밴드 팔로프 프레스,eqreq_band_pallof_press,SINGLE,1,BAND,NO,ex_99728d25,Single atomic equipment requirement.
band_woodchop,밴드 우드찹,eqreq_band_woodchop,SINGLE,1,BAND,NO,band_woodchop,Single atomic equipment requirement.
barbell_back_squat,스쿼트,eqreq_barbell_back_squat,SINGLE,1,BARBELL,NO,barbell_back_squat,Single atomic equipment requirement.
barbell_bench_press,벤치프레스,eqreq_barbell_bench_press,ALL_REQUIRED,1,BARBELL,YES,barbell_bench_press,All listed atomic items are simultaneously required.
barbell_bench_press,벤치프레스,eqreq_barbell_bench_press,ALL_REQUIRED,2,BENCH,YES,barbell_bench_press,All listed atomic items are simultaneously required.
barbell_deadlift,데드리프트,eqreq_barbell_deadlift,SINGLE,1,BARBELL,NO,barbell_deadlift,Single atomic equipment requirement.
barbell_reverse_curl,바벨 리버스 컬,eqreq_barbell_reverse_curl,SINGLE,1,BARBELL,NO,ex_dd2f732e,Single atomic equipment requirement.
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,eqreq_barbell_reverse_wrist_curl,SINGLE,1,BARBELL,NO,ex_8e18b02a,Single atomic equipment requirement.
barbell_romanian_deadlift,루마니안 바벨 데드리프트,eqreq_barbell_romanian_deadlift,SINGLE,1,BARBELL,NO,barbell_romanian_deadlift,Single atomic equipment requirement.
cable_hip_adduction,케이블 힙 어덕션,eqreq_cable_hip_adduction,SINGLE,1,CABLE,NO,ex_eaea872c,Single atomic equipment requirement.
cable_lift,케이블 리프트,eqreq_cable_lift,SINGLE,1,CABLE,NO,cable_lift,Single atomic equipment requirement.
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,eqreq_cable_overhead_triceps_extension,SINGLE,1,CABLE,NO,ex_a9e8859c,Single atomic equipment requirement.
cable_pallof_press,케이블 팔로프 프레스,eqreq_cable_pallof_press,SINGLE,1,CABLE,NO,ex_99728d25,Single atomic equipment requirement.
cable_rear_delt_fly,케이블 리어델트 플라이,eqreq_cable_rear_delt_fly,SINGLE,1,CABLE,NO,ex_7176cbee,Single atomic equipment requirement.
cable_woodchop,케이블 우드찹,eqreq_cable_woodchop,SINGLE,1,CABLE,NO,cable_woodchop,Single atomic equipment requirement.
chest_supported_row_machine,체스트 서포티드 로우 머신,eqreq_chest_supported_row_machine,SINGLE,1,ROW_MACHINE,NO,ex_8e51640a,Single atomic equipment requirement.
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,eqreq_dumbbell_chest_supported_row,ALL_REQUIRED,1,DUMBBELL,YES,ex_8e51640a,All listed atomic items are simultaneously required.
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,eqreq_dumbbell_chest_supported_row,ALL_REQUIRED,2,BENCH,YES,ex_8e51640a,All listed atomic items are simultaneously required.
dumbbell_farmer_carry,덤벨 파머스 캐리,eqreq_dumbbell_farmer_carry,SINGLE,1,DUMBBELL,NO,ex_a1fc4533,Single atomic equipment requirement.
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,eqreq_dumbbell_goblet_squat,SINGLE,1,DUMBBELL,NO,ex_ac7df636,Single atomic equipment requirement.
