stableKey,exerciseName,identityStatus,sourceStableKey,lineageType,selectable,historyTreatment,movementPattern,jointAction,movementEvent,kineticChain,stabilityDemandLevel,mobilityDemandLevel,equipmentRequirementModel,equipmentCodes,equipmentRequirementGroupId,sourceOrigin,mappingConfidence,identityDecisionStatus,reviewStatus,analysisInheritance,evidence,provenance
ex_516f4456,스파이더 컬,HISTORY_ONLY_GENERIC,ex_516f4456,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT,,,,,,HISTORICAL_GENERIC,EZ바|덤벨|벤치|콘/마커,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
ex_7176cbee,리어델트 플라이,HISTORY_ONLY_GENERIC,ex_7176cbee,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION,,,,,,HISTORICAL_GENERIC,덤벨|케이블,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
ex_8e18b02a,리버스 리스트 컬,HISTORY_ONLY_GENERIC,ex_8e18b02a,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,,,,,,HISTORICAL_GENERIC,바벨|덤벨,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
ex_8e51640a,체스트 서포티드 로우,HISTORY_ONLY_GENERIC,ex_8e51640a,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION,,,,,,HISTORICAL_GENERIC,머신|벤치,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
ex_99728d25,팔로프 프레스,HISTORY_ONLY_GENERIC,ex_99728d25,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,CORE_STABILITY|ANTI_ROTATION|TRUNK_CONTROL_SUPPORT,,,,,,HISTORICAL_GENERIC,케이블|밴드,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
ex_a1fc4533,파머스 캐리,HISTORY_ONLY_GENERIC,ex_a1fc4533,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,LOADED_CARRY|GRIP_SUPPORT|TRUNK_STABILITY_SUPPORT|GAIT_STABILITY,,,,,,HISTORICAL_GENERIC,덤벨|케틀벨,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,HISTORY_ONLY_GENERIC,ex_a9e8859c,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS,,,,,,HISTORICAL_GENERIC,덤벨|케이블,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
ex_ac7df636,고블릿 스쿼트,HISTORY_ONLY_GENERIC,ex_ac7df636,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN,,,,,,HISTORICAL_GENERIC,덤벨|케틀벨,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636
ex_bd072cd,스탠딩 카프 레이즈,HISTORY_ONLY_GENERIC,ex_bd072cd,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT,,,,,,HISTORICAL_GENERIC,DUMBBELL|MACHINE,,training_settings_seed.csv + equipment_variant_split_plan.csv,,KEEP_CANONICAL,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_d20b7487,라잉 트라이셉스 익스텐션,HISTORY_ONLY_GENERIC,ex_d20b7487,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY,,,,,,HISTORICAL_GENERIC,EZ바|덤벨,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487
ex_d9084b5e,원암 인버티드 로우,HISTORY_ONLY_GENERIC,ex_d9084b5e,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER|CORE_STABILITY_SUPPORT,,,,,,HISTORICAL_GENERIC,TRX/링,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_d9084b5e
ex_dd2f732e,리버스 컬,HISTORY_ONLY_GENERIC,ex_dd2f732e,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS,,,,,,HISTORICAL_GENERIC,EZ바|바벨,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e
ex_e159d15a,인버티드 로우,HISTORY_ONLY_GENERIC,ex_e159d15a,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT,,,,,,HISTORICAL_GENERIC,TRX/링,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_e159d15a
ex_e994008a,프리처 컬,HISTORY_ONLY_GENERIC,ex_e994008a,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT,,,,,,HISTORICAL_GENERIC,EZ바|덤벨,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_e994008a
