stableKey,exerciseName,identityStatus,sourceStableKey,lineageType,selectable,historyTreatment,movementPattern,jointAction,movementEvent,kineticChain,stabilityDemandLevel,mobilityDemandLevel,equipmentRequirementModel,equipmentCodes,equipmentRequirementGroupId,sourceOrigin,mappingConfidence,identityDecisionStatus,reviewStatus,analysisInheritance,evidence,provenance
band_lift,밴드 리프트,SELECTABLE_CANONICAL,band_lift,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_ROTATION,HIP_EXTERNAL_ROTATION|HIP_INTERNAL_ROTATION|THORACIC_ROTATION,,,HIGH,MODERATE,SINGLE,BAND,eqreq_band_lift,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
band_pallof_press,밴드 팔로프 프레스,SELECTABLE_CANONICAL,ex_99728d25,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,TRUNK_BRACE,,,,HIGH,LOW,SINGLE,BAND,eqreq_band_pallof_press,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
band_woodchop,밴드 우드찹,SELECTABLE_CANONICAL,band_woodchop,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_ROTATION,HIP_EXTERNAL_ROTATION|HIP_INTERNAL_ROTATION|THORACIC_ROTATION,,,HIGH,MODERATE,SINGLE,BAND,eqreq_band_woodchop,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
barbell_back_squat,스쿼트,SELECTABLE_CANONICAL,barbell_back_squat,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,SQUAT,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,BARBELL,eqreq_barbell_back_squat,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
barbell_bench_press,벤치프레스,SELECTABLE_CANONICAL,barbell_bench_press,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,MODERATE,MODERATE,ALL_REQUIRED,BARBELL|BENCH,eqreq_barbell_bench_press,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
barbell_deadlift,데드리프트,SELECTABLE_CANONICAL,barbell_deadlift,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HINGE,HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,BARBELL,eqreq_barbell_deadlift,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
barbell_reverse_curl,바벨 리버스 컬,SELECTABLE_CANONICAL,ex_dd2f732e,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,BARBELL,eqreq_barbell_reverse_curl,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,SELECTABLE_CANONICAL,ex_8e18b02a,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,WRIST_EXTENSION|WRIST_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,BARBELL,eqreq_barbell_reverse_wrist_curl,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
barbell_romanian_deadlift,루마니안 바벨 데드리프트,SELECTABLE_CANONICAL,barbell_romanian_deadlift,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HINGE,HIP_EXTENSION|HIP_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,BARBELL,eqreq_barbell_romanian_deadlift,SEED_ONLY_INHERITED_FROM_DIRECT_ALIAS,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
cable_hip_adduction,케이블 힙 어덕션,SELECTABLE_CANONICAL,ex_eaea872c,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,HIP_ABDUCTION|HIP_ADDUCTION,,OPEN_CHAIN,LOW,MODERATE,SINGLE,CABLE,eqreq_cable_hip_adduction,WORKBOOK_CANONICAL,LOW,,REVIEW_REQUIRED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_eaea872c
