displayField,canonicalCode,koreanLabel,koreanShortLabel,koreanFormalLabel,koreanDescription,koreanSearchAliases,englishLabel,englishSearchAliases,allowedLatinTokens,displayScope,reviewStatus
ACTIVITY_KIND,EXERCISE,운동,운동,,운동 항목을 나타내는 앱 표시 용어입니다.,,Exercise,EXERCISE,,PRODUCTION,APPROVED_RESEARCHED
ACTIVITY_KIND,SPORT_SESSION,스포츠 세션,스포츠 세션,,스포츠 세션 항목을 나타내는 앱 표시 용어입니다.,,Sport session,SPORT SESSION,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,ACCESSORY_VOLUME,보조 볼륨,보조 볼륨,,보조 볼륨 항목을 나타내는 앱 표시 용어입니다.,,Accessory volume,ACCESSORY VOLUME,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,BADMINTON_SUPPORTIVE,배드민턴 보조,배드민턴 보조,,배드민턴 보조 항목을 나타내는 앱 표시 용어입니다.,,Badminton supportive,BADMINTON SUPPORTIVE,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,BADMINTON_TRANSFER,배드민턴 전이,배드민턴 전이,,배드민턴 전이 항목을 나타내는 앱 표시 용어입니다.,,Badminton transfer,BADMINTON TRANSFER,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,BALANCE,균형,균형,,균형 항목을 나타내는 앱 표시 용어입니다.,,Balance,BALANCE,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,CONDITIONING,컨디셔닝,컨디셔닝,,컨디셔닝 항목을 나타내는 앱 표시 용어입니다.,,Conditioning,CONDITIONING,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,CONTROL,제어,제어,,제어 항목을 나타내는 앱 표시 용어입니다.,,Control,CONTROL,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,COORDINATION,협응,협응,,협응 항목을 나타내는 앱 표시 용어입니다.,,Coordination,COORDINATION,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,CORE_ACCESSORY,코어 보조,코어 보조,,코어 보조 항목을 나타내는 앱 표시 용어입니다.,,Core accessory,CORE ACCESSORY,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,CORE_STABILITY,코어 안정성,코어 안정성,,코어 안정성 항목을 나타내는 앱 표시 용어입니다.,,Core stability,CORE STABILITY,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,EXCLUDED_FROM_ANALYSIS,분석 제외,분석 제외,,분석 제외 항목을 나타내는 앱 표시 용어입니다.,,Excluded from analysis,EXCLUDED FROM ANALYSIS,,SEARCH_ONLY,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,FATIGUE,피로도,피로도,,피로도 항목을 나타내는 앱 표시 용어입니다.,,Fatigue,FATIGUE,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,FATIGUE_LOW,저피로도,저피로도,,저피로도 항목을 나타내는 앱 표시 용어입니다.,,Fatigue low,FATIGUE LOW,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,HYPERTROPHY_VOLUME,근비대 볼륨,근비대 볼륨,,근비대 볼륨 항목을 나타내는 앱 표시 용어입니다.,,Hypertrophy volume,HYPERTROPHY VOLUME,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,MOBILITY,가동성,가동성,,가동성 항목을 나타내는 앱 표시 용어입니다.,,Mobility,MOBILITY,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,PATTERN_QUALITY,패턴 품질,패턴 품질,,패턴 품질 항목을 나타내는 앱 표시 용어입니다.,,Pattern quality,PATTERN QUALITY,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,RECOVERY_CONTEXT,회복 맥락,회복 맥락,,회복 맥락 항목을 나타내는 앱 표시 용어입니다.,,Recovery context,RECOVERY CONTEXT,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,RECOVERY_ONLY,회복 분석만,회복 분석만,,회복 분석만 항목을 나타내는 앱 표시 용어입니다.,,Recovery only,RECOVERY ONLY,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,SESSION_LOAD,세션 부하,세션 부하,,세션 부하 항목을 나타내는 앱 표시 용어입니다.,,Session load,SESSION LOAD,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,SHOULDER_STABILITY,어깨 안정성,어깨 안정성,,어깨 안정성 항목을 나타내는 앱 표시 용어입니다.,,Shoulder stability,SHOULDER STABILITY,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,SPORT_SESSION_LOAD,스포츠 세션 부하,스포츠 세션 부하,,스포츠 세션 부하 항목을 나타내는 앱 표시 용어입니다.,,Sport session load,SPORT SESSION LOAD,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,STRENGTH_PROGRESS,근력 진행,근력 진행,,근력 진행 항목을 나타내는 앱 표시 용어입니다.,,Strength progress,STRENGTH PROGRESS,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,STRENGTH_VOLUME,근력 볼륨,근력 볼륨,,근력 볼륨 항목을 나타내는 앱 표시 용어입니다.,,Strength volume,STRENGTH VOLUME,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,TEST_METRIC,테스트 지표,테스트 지표,,테스트 지표 항목을 나타내는 앱 표시 용어입니다.,,Test metric,TEST METRIC,,PRODUCTION,APPROVED_RESEARCHED
ANALYSIS_ELIGIBILITY,TEST_ONLY,테스트 만,테스트 만,,테스트 만 항목을 나타내는 앱 표시 용어입니다.,,Test only,TEST ONLY,,SEARCH_ONLY,APPROVED_RESEARCHED
AXIAL_LOAD,HIGH,높음,높음,,높음 항목을 나타내는 앱 표시 용어입니다.,,High,HIGH,,PRODUCTION,APPROVED_RESEARCHED
AXIAL_LOAD,LOW,낮음,낮음,,낮음 항목을 나타내는 앱 표시 용어입니다.,,Low,LOW,,PRODUCTION,APPROVED_RESEARCHED
AXIAL_LOAD,MODERATE,보통,보통,,보통 항목을 나타내는 앱 표시 용어입니다.,,Moderate,MODERATE,,PRODUCTION,APPROVED_RESEARCHED
AXIAL_LOAD,NONE,없음,없음,,없음 항목을 나타내는 앱 표시 용어입니다.,,None,NONE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ACCELERATION,가속,가속,,가속 항목을 나타내는 앱 표시 용어입니다.,,Acceleration,ACCELERATION,,PRODUCTION,APPROVED_RESEARCHED
