relationId,exerciseStableKey,exerciseName,relationType,relationValue,sourceStableKey,status,provenance
MOVEMENT_00001,band_lift,밴드 리프트,MOVEMENT_PATTERN,TRUNK_ROTATION,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00002,band_lift,밴드 리프트,JOINT_ACTION,HIP_EXTERNAL_ROTATION,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00003,band_lift,밴드 리프트,JOINT_ACTION,HIP_INTERNAL_ROTATION,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00004,band_lift,밴드 리프트,JOINT_ACTION,THORACIC_ROTATION,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00005,band_lift,밴드 리프트,STABILITY_DEMAND,HIGH,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00006,band_lift,밴드 리프트,MOBILITY_DEMAND,MODERATE,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00007,band_lift,밴드 리프트,MOVEMENT_FAMILY,ROTATIONAL_KINETIC_CHAIN,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00008,band_lift,밴드 리프트,MOVEMENT_SUBTYPE,BAND_LIFT,band_lift,DRAFT_READY,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00009,band_pallof_press,밴드 팔로프 프레스,MOVEMENT_PATTERN,TRUNK_BRACE,ex_99728d25,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
MOVEMENT_00010,band_pallof_press,밴드 팔로프 프레스,STABILITY_DEMAND,HIGH,ex_99728d25,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
MOVEMENT_00011,band_pallof_press,밴드 팔로프 프레스,MOBILITY_DEMAND,LOW,ex_99728d25,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
MOVEMENT_00012,band_pallof_press,밴드 팔로프 프레스,MOVEMENT_FAMILY,ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS,ex_99728d25,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
MOVEMENT_00013,band_pallof_press,밴드 팔로프 프레스,MOVEMENT_SUBTYPE,PALLOF_PRESS,ex_99728d25,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
MOVEMENT_00014,band_woodchop,밴드 우드찹,MOVEMENT_PATTERN,TRUNK_ROTATION,band_woodchop,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00015,band_woodchop,밴드 우드찹,JOINT_ACTION,HIP_EXTERNAL_ROTATION,band_woodchop,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00016,band_woodchop,밴드 우드찹,JOINT_ACTION,HIP_INTERNAL_ROTATION,band_woodchop,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00017,band_woodchop,밴드 우드찹,JOINT_ACTION,THORACIC_ROTATION,band_woodchop,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_2026-08-04
MOVEMENT_00018,band_woodchop,밴드 우드찹,STABILITY_DEMAND,HIGH,band_woodchop,REVIEW_RECOMMENDED,FINAL_CLOSEOUT_2026-08-04
