relationKey,exerciseStableKey,exerciseName,muscleCode,muscleRelationType,qualifier,coefficient,confidence,sourceStatus,status,sourceStableKey,provenance
MUSCLE_00001,band_lift,밴드 리프트,ANTERIOR_CORE,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_lift,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00002,band_lift,밴드 리프트,FOREARM_GRIP,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_lift,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00003,band_lift,밴드 리프트,GLUTES,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_lift,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00004,band_lift,밴드 리프트,LATERAL_CORE,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_lift,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00005,band_lift,밴드 리프트,SHOULDERS,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_lift,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00006,band_pallof_press,밴드 팔로프 프레스,ANTERIOR_CORE,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,ex_99728d25,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00007,band_pallof_press,밴드 팔로프 프레스,CHEST,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,ex_99728d25,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00008,band_pallof_press,밴드 팔로프 프레스,LATERAL_CORE,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,ex_99728d25,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00009,band_woodchop,밴드 우드찹,ANTERIOR_CORE,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_woodchop,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
MUSCLE_00010,band_woodchop,밴드 우드찹,FOREARM_GRIP,PRIMARY,,1,1,MIGRATED_CURRENT_BEHAVIOR,,band_woodchop,analysis_contract_baseline_v1.csv; inherited only where final closeout says so
