relationKey,exerciseStableKey,exerciseName,relationType,relationId,role,qualifier,coefficient,confidence,sourceStatus,version,status,sourceStableKey,provenance
OFI_00001,band_lift,밴드 리프트,BADMINTON_FATIGUE_COST,MEDIUM,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00002,band_lift,밴드 리프트,OFI_AXIS,HIGH_FORCE_NEURAL,,MEDIUM,17.1875,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00003,band_lift,밴드 리프트,OFI_AXIS,HIGH_SPEED,,MEDIUM,17.1875,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00004,band_lift,밴드 리프트,OFI_AXIS,LOCAL_MUSCULAR,,MEDIUM,37.8125,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00005,band_lift,밴드 리프트,OFI_AXIS,REACTIVE,,MEDIUM,15.625,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00006,band_lift,밴드 리프트,OFI_AXIS,SYSTEMIC_MUSCULAR,,MEDIUM,15.625,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00007,band_lift,밴드 리프트,OFI_DOSE,QUALITY_BASED,,THREE_CONFIRMED_SETS_20KG_8REPS_600SECONDS_RPE8,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00008,band_lift,밴드 리프트,OFI_GROUP,BAND_ROTATIONAL_CHAIN,,LOCAL_REPEAT_DETECTION,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00009,band_lift,밴드 리프트,OFI_GROUP,ROTATION_POWER,,STRENGTH_COMPARISON,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00010,band_lift,밴드 리프트,OFI_GROUP,ROTATION_POWER,,WORKLOAD_BASELINE,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00011,band_lift,밴드 리프트,OFI_SCORE,HIGH_FORCE_NEURAL,,,21,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00012,band_lift,밴드 리프트,OFI_SCORE,HIGH_SPEED,,,21,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00013,band_lift,밴드 리프트,OFI_SCORE,LOCAL_MUSCULAR,,,47,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00014,band_lift,밴드 리프트,OFI_SCORE,REACTIVE,,,20,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00015,band_lift,밴드 리프트,OFI_SCORE,SYSTEMIC_MUSCULAR,,,20,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00016,band_lift,밴드 리프트,OFI_SNAPSHOT,SUMMARY,LOW,LOW,28,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,band_lift,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00017,band_pallof_press,밴드 팔로프 프레스,BADMINTON_FATIGUE_COST,MEDIUM,,,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00018,band_pallof_press,밴드 팔로프 프레스,OFI_AXIS,HIGH_FORCE_NEURAL,,SHORT,17.1875,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00019,band_pallof_press,밴드 팔로프 프레스,OFI_AXIS,HIGH_SPEED,,SHORT,17.1875,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00020,band_pallof_press,밴드 팔로프 프레스,OFI_AXIS,LOCAL_MUSCULAR,,SHORT,37.8125,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00021,band_pallof_press,밴드 팔로프 프레스,OFI_AXIS,REACTIVE,,SHORT,63.75,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00022,band_pallof_press,밴드 팔로프 프레스,OFI_AXIS,SYSTEMIC_MUSCULAR,,SHORT,15.625,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
OFI_00023,band_pallof_press,밴드 팔로프 프레스,OFI_DOSE,QUALITY_BASED,,THREE_CONFIRMED_SETS_20KG_8REPS_600SECONDS_RPE8,0,1,MIGRATED_CURRENT_BEHAVIOR,ANALYSIS_CONTRACT_BASELINE_V1,,ex_99728d25,analysis_contract_baseline_v1.csv; identity inheritance per final closeout
