stableKey,defaultRestSeconds,provenanceId,derivationMode,reviewStatus,sourceStableKey,sourceReference
band_lift,60,TIMING-band_lift,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,band_lift,app/src/main/assets/training_settings_seed.csv#band_lift
band_pallof_press,45,TIMING-band_pallof_press,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_99728d25,app/src/main/assets/training_settings_seed.csv#ex_99728d25
band_woodchop,60,TIMING-band_woodchop,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,band_woodchop,app/src/main/assets/training_settings_seed.csv#band_woodchop
barbell_back_squat,120,TIMING-barbell_back_squat,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,barbell_back_squat,app/src/main/assets/training_settings_seed.csv#barbell_back_squat
barbell_bench_press,120,TIMING-barbell_bench_press,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,barbell_bench_press,app/src/main/assets/training_settings_seed.csv#barbell_bench_press
barbell_deadlift,150,TIMING-barbell_deadlift,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,barbell_deadlift,app/src/main/assets/training_settings_seed.csv#barbell_deadlift
barbell_reverse_curl,60,TIMING-barbell_reverse_curl,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_dd2f732e,app/src/main/assets/training_settings_seed.csv#ex_dd2f732e
barbell_reverse_wrist_curl,45,TIMING-barbell_reverse_wrist_curl,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8e18b02a,app/src/main/assets/training_settings_seed.csv#ex_8e18b02a
barbell_romanian_deadlift,120,TIMING-barbell_romanian_deadlift,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,barbell_romanian_deadlift,app/src/main/assets/training_settings_seed.csv#barbell_romanian_deadlift
cable_hip_adduction,60,TIMING-cable_hip_adduction,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_eaea872c,app/src/main/assets/training_settings_seed.csv#ex_eaea872c
cable_lift,60,TIMING-cable_lift,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,cable_lift,app/src/main/assets/training_settings_seed.csv#cable_lift
cable_overhead_triceps_extension,60,TIMING-cable_overhead_triceps_extension,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a9e8859c,app/src/main/assets/training_settings_seed.csv#ex_a9e8859c
cable_pallof_press,45,TIMING-cable_pallof_press,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_99728d25,app/src/main/assets/training_settings_seed.csv#ex_99728d25
cable_rear_delt_fly,60,TIMING-cable_rear_delt_fly,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_7176cbee,app/src/main/assets/training_settings_seed.csv#ex_7176cbee
cable_woodchop,60,TIMING-cable_woodchop,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,cable_woodchop,app/src/main/assets/training_settings_seed.csv#cable_woodchop
chest_supported_row_machine,90,TIMING-chest_supported_row_machine,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8e51640a,app/src/main/assets/training_settings_seed.csv#ex_8e51640a
dumbbell_chest_supported_row,90,TIMING-dumbbell_chest_supported_row,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8e51640a,app/src/main/assets/training_settings_seed.csv#ex_8e51640a
dumbbell_farmer_carry,60,TIMING-dumbbell_farmer_carry,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a1fc4533,app/src/main/assets/training_settings_seed.csv#ex_a1fc4533
dumbbell_goblet_squat,75,TIMING-dumbbell_goblet_squat,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_ac7df636,app/src/main/assets/training_settings_seed.csv#ex_ac7df636
dumbbell_lying_triceps_extension,75,TIMING-dumbbell_lying_triceps_extension,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_d20b7487,app/src/main/assets/training_settings_seed.csv#ex_d20b7487
dumbbell_overhead_triceps_extension,60,TIMING-dumbbell_overhead_triceps_extension,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_a9e8859c,app/src/main/assets/training_settings_seed.csv#ex_a9e8859c
dumbbell_preacher_curl,60,TIMING-dumbbell_preacher_curl,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_e994008a,app/src/main/assets/training_settings_seed.csv#ex_e994008a
dumbbell_rear_delt_fly,60,TIMING-dumbbell_rear_delt_fly,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_7176cbee,app/src/main/assets/training_settings_seed.csv#ex_7176cbee
dumbbell_reverse_wrist_curl,45,TIMING-dumbbell_reverse_wrist_curl,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8e18b02a,app/src/main/assets/training_settings_seed.csv#ex_8e18b02a
dumbbell_romanian_deadlift,105,TIMING-dumbbell_romanian_deadlift,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,dumbbell_romanian_deadlift,app/src/main/assets/training_settings_seed.csv#dumbbell_romanian_deadlift
dumbbell_single_leg_rdl,90,TIMING-dumbbell_single_leg_rdl,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,single_leg_rdl,app/src/main/assets/training_settings_seed.csv#single_leg_rdl
dumbbell_spider_curl,60,TIMING-dumbbell_spider_curl,LEGACY_SOURCE_INHERITED_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_516f4456,app/src/main/assets/training_settings_seed.csv#ex_516f4456
dumbbell_woodchop,60,TIMING-dumbbell_woodchop,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,dumbbell_woodchop,app/src/main/assets/training_settings_seed.csv#dumbbell_woodchop
ex_1052e9fa,90,TIMING-ex_1052e9fa,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_1052e9fa,app/src/main/assets/training_settings_seed.csv#ex_1052e9fa
ex_149730de,30,TIMING-ex_149730de,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_149730de,app/src/main/assets/training_settings_seed.csv#ex_149730de
ex_16b298db,45,TIMING-ex_16b298db,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_16b298db,app/src/main/assets/training_settings_seed.csv#ex_16b298db
ex_1a4858d7,30,TIMING-ex_1a4858d7,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_1a4858d7,app/src/main/assets/training_settings_seed.csv#ex_1a4858d7
ex_1a4bbdcf,30,TIMING-ex_1a4bbdcf,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_1a4bbdcf,app/src/main/assets/training_settings_seed.csv#ex_1a4bbdcf
ex_1c7f2342,60,TIMING-ex_1c7f2342,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_1c7f2342,app/src/main/assets/training_settings_seed.csv#ex_1c7f2342
ex_1cf51b6b,90,TIMING-ex_1cf51b6b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_1cf51b6b,app/src/main/assets/training_settings_seed.csv#ex_1cf51b6b
ex_1dbee10e,90,TIMING-ex_1dbee10e,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_1dbee10e,app/src/main/assets/training_settings_seed.csv#ex_1dbee10e
ex_2055b629,45,TIMING-ex_2055b629,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_2055b629,app/src/main/assets/training_settings_seed.csv#ex_2055b629
ex_216351a1,45,TIMING-ex_216351a1,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_216351a1,app/src/main/assets/training_settings_seed.csv#ex_216351a1
ex_27b3deb5,120,TIMING-ex_27b3deb5,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_27b3deb5,app/src/main/assets/training_settings_seed.csv#ex_27b3deb5
ex_281347da,60,TIMING-ex_281347da,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_281347da,app/src/main/assets/training_settings_seed.csv#ex_281347da
ex_2822ec2e,60,TIMING-ex_2822ec2e,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_2822ec2e,app/src/main/assets/training_settings_seed.csv#ex_2822ec2e
ex_282a9d87,75,TIMING-ex_282a9d87,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_282a9d87,app/src/main/assets/training_settings_seed.csv#ex_282a9d87
ex_28347c1f,45,TIMING-ex_28347c1f,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_28347c1f,app/src/main/assets/training_settings_seed.csv#ex_28347c1f
ex_284ecca6,45,TIMING-ex_284ecca6,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_284ecca6,app/src/main/assets/training_settings_seed.csv#ex_284ecca6
ex_28902b13,60,TIMING-ex_28902b13,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_28902b13,app/src/main/assets/training_settings_seed.csv#ex_28902b13
ex_2892da5a,60,TIMING-ex_2892da5a,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_2892da5a,app/src/main/assets/training_settings_seed.csv#ex_2892da5a
ex_2a826c82,45,TIMING-ex_2a826c82,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_2a826c82,app/src/main/assets/training_settings_seed.csv#ex_2a826c82
ex_2f3b56d0,30,TIMING-ex_2f3b56d0,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_2f3b56d0,app/src/main/assets/training_settings_seed.csv#ex_2f3b56d0
