relationKey,exerciseStableKey,exerciseName,progressionGroup,progressMetricType,strengthProgressionGroup,sourceStableKey,sourceStatus,status,provenance
PROGRESSION_00001,band_lift,밴드 리프트,ROTATION_POWER,QUALITY_BASED,ROTATION_POWER,band_lift,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00002,band_pallof_press,밴드 팔로프 프레스,TRUNK_ANTI_MOVEMENT,QUALITY_BASED,TRUNK_ANTI_MOVEMENT,ex_99728d25,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00003,band_woodchop,밴드 우드찹,ROTATION_POWER,QUALITY_BASED,ROTATION_POWER,band_woodchop,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00004,barbell_back_squat,스쿼트,SQUAT_PATTERN_HEAVY_LOWER,ESTIMATED_1RM,SQUAT_PATTERN_HEAVY_LOWER,barbell_back_squat,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00005,barbell_bench_press,벤치프레스,HORIZONTAL_PUSH_COMPOUND,ESTIMATED_1RM,HORIZONTAL_PUSH_COMPOUND,barbell_bench_press,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00006,barbell_deadlift,데드리프트,HEAVY_HINGE,ESTIMATED_1RM,HEAVY_HINGE,barbell_deadlift,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00007,barbell_reverse_curl,바벨 리버스 컬,ELBOW_FLEXION_NEUTRAL_PRONATED_CURL,VOLUME_LOAD,ELBOW_FLEXION_NEUTRAL_PRONATED_CURL,ex_dd2f732e,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00008,barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,FOREARM_WRIST_GRIP_ACCESSORY,LOAD_REPS_OR_TIME,FOREARM_WRIST_GRIP_ACCESSORY,ex_8e18b02a,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00009,barbell_romanian_deadlift,루마니안 바벨 데드리프트,HEAVY_HINGE,ESTIMATED_1RM,HEAVY_HINGE,barbell_romanian_deadlift,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
PROGRESSION_00010,cable_hip_adduction,케이블 힙 어덕션,HIP_ADDUCTION_ACCESSORY,LOAD_REPS,HIP_ADDUCTION_ACCESSORY,ex_eaea872c,MIGRATED_CURRENT_BEHAVIOR,,analysis contract descriptive tag; not a directed edge
