exerciseStableKey,exerciseName,recoveryDecayProfile,recoveryDurationClass,stressMagnitudeHint,sourceStableKey,provenanceStatus,sourceStatus,provenance
band_lift,밴드 리프트,MEDIUM,MEDIUM,MODERATE,band_lift,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
band_pallof_press,밴드 팔로프 프레스,SHORT,SHORT,LOW,ex_99728d25,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
band_woodchop,밴드 우드찹,MEDIUM,MEDIUM,MODERATE,band_woodchop,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
barbell_back_squat,스쿼트,VERY_LONG,VERY_LONG,VERY_HIGH,barbell_back_squat,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
barbell_bench_press,벤치프레스,MEDIUM,MEDIUM,HIGH,barbell_bench_press,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
barbell_deadlift,데드리프트,VERY_LONG,VERY_LONG,VERY_HIGH,barbell_deadlift,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
barbell_reverse_curl,바벨 리버스 컬,SHORT,SHORT,LOW,ex_dd2f732e,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,SHORT,SHORT,LOW,ex_8e18b02a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
barbell_romanian_deadlift,루마니안 바벨 데드리프트,LONG,LONG,HIGH,barbell_romanian_deadlift,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
cable_hip_adduction,케이블 힙 어덕션,SHORT,SHORT,LOW,ex_eaea872c,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
cable_lift,케이블 리프트,MEDIUM,MEDIUM,MODERATE,cable_lift,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,MEDIUM,MEDIUM,MODERATE,ex_a9e8859c,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
cable_pallof_press,케이블 팔로프 프레스,SHORT,SHORT,LOW,ex_99728d25,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
cable_rear_delt_fly,케이블 리어델트 플라이,SHORT,SHORT,LOW,ex_7176cbee,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
cable_woodchop,케이블 우드찹,MEDIUM,MEDIUM,MODERATE,cable_woodchop,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
chest_supported_row_machine,체스트 서포티드 로우 머신,MEDIUM,MEDIUM,MODERATE,ex_8e51640a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,MEDIUM,MEDIUM,MODERATE,ex_8e51640a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_farmer_carry,덤벨 파머스 캐리,MEDIUM,MEDIUM,MODERATE,ex_a1fc4533,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,SHORT,SHORT,LOW,ex_ac7df636,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,SHORT,SHORT,LOW,ex_d20b7487,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,MEDIUM,MEDIUM,MODERATE,ex_a9e8859c,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_preacher_curl,덤벨 프리처 컬,SHORT,SHORT,LOW,ex_e994008a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,SHORT,SHORT,LOW,ex_7176cbee,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,SHORT,SHORT,LOW,ex_8e18b02a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,LONG,LONG,HIGH,dumbbell_romanian_deadlift,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,MEDIUM,MEDIUM,MODERATE,single_leg_rdl,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_spider_curl,덤벨 스파이더 컬,SHORT,SHORT,LOW,ex_516f4456,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
dumbbell_woodchop,덤벨 우드찹,MEDIUM,MEDIUM,MODERATE,dumbbell_woodchop,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_1052e9fa,스미스 머신 런지,MEDIUM,MEDIUM,MODERATE,ex_1052e9fa,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_149730de,발목/고관절 가동성,SHORT,SHORT,LOW,ex_149730de,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_16b298db,미니밴드 사이드워크,SHORT,SHORT,LOW,ex_16b298db,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_1a4858d7,농구,LONG,LONG,HIGH,ex_1a4858d7,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_1a4bbdcf,축구,LONG,LONG,HIGH,ex_1a4bbdcf,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_1c7f2342,랜덤 풋워크,MEDIUM,MEDIUM,MODERATE,ex_1c7f2342,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_1cf51b6b,노르딕 햄스트링 컬,VERY_LONG,VERY_LONG,VERY_HIGH,ex_1cf51b6b,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_1dbee10e,머신 체스트프레스,MEDIUM,MEDIUM,MODERATE,ex_1dbee10e,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_2055b629,애질리티 래더,MEDIUM,MEDIUM,MODERATE,ex_2055b629,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_216351a1,가벼운 콕줍기,MEDIUM,MEDIUM,MODERATE,ex_216351a1,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_27b3deb5,클로즈그립 벤치프레스,MEDIUM,MEDIUM,MODERATE,ex_27b3deb5,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_281347da,덤벨 컬,SHORT,SHORT,LOW,ex_281347da,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_2822ec2e,레그 컬,SHORT,SHORT,LOW,ex_2822ec2e,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
