"exerciseStableKey","displayNameKo","factor","policyVersion","rationale","evidenceStatus","reviewStatus"
"ex_bc84eb7f","6방향 랜덤 콕줍기","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_64422511","랜덤 방향전환 드릴","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_c5f4c242","랜덤 비프 풋워크","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_c1bf2aa8","안세영 참고 고강도 랠리 풋워크","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_c7977dfd","6코너 풋워크 최대반복 테스트","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_1c7f2342","랜덤 풋워크","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_752b45ae","멀티셔틀 풋워크","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_4255e429","앞뒤 랜덤 콕줍기","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_421ba24b","좌우 랜덤 콕줍기","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_33841b88","6코너 섀도우 풋워크","1.06","RCV-COD-CONTEXT-1.0","Repeated direction changes are integral to the activity at meaningful average density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_5004ca76","린단 참고 페이스 체인지 풋워크","1.06","RCV-COD-CONTEXT-1.0","Repeated direction changes are integral to the activity at meaningful average density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_a4040be3","셔틀런","1.06","RCV-COD-CONTEXT-1.0","Repeated direction changes are integral to the activity at meaningful average density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_aca9d312","러닝 풋살","1.06","RCV-COD-CONTEXT-1.0","Repeated direction changes are integral to the activity at meaningful average density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_1a4bbdcf","축구","1.06","RCV-COD-CONTEXT-1.0","Repeated direction changes are integral to the activity at meaningful average density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_ae9ecdbc","배드민턴","1.06","RCV-COD-CONTEXT-1.0","Repeated direction changes are integral to the activity at meaningful average density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_9b132c23","사이드 스텝 후 정지","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_8e69fc74","스플릿 스텝 리액션","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_377448a9","스플릿 스텝 후 좌우 런지","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_a4350c0f","콘 드릴","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_1a4858d7","농구","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_badminton_lesson","배드민턴 레슨","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"ex_2f3b56d0","테니스","1.04","RCV-COD-CONTEXT-1.0","Direction changes or braking are present at lower or more variable density.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
