"loadUnitStableKey","jointComplexStableKey","displayNameKo","bodyRegion","codContextEligible","eligibilityReason","exclusionReason","policyVersion","reviewStatus"
"lu_547a239ed2","jc_bb531a278d","경추 추간판·종판 복합체","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_97bee42c4e","jc_bb531a278d","경추 후관절 복합체","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_c865eaa9a6","jc_bb531a278d","경추 후방 인대 복합체","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_6e950505da","jc_5c5aab6f67","흉추 추간판·종판 복합체","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_3f748b96b1","jc_5c5aab6f67","흉추 후관절·늑골관절 복합체","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_f037b5f8ea","jc_5c5aab6f67","흉요근막 부하 단위","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_d967354bce","jc_209871f411","요추 추간판·종판 복합체(L4–S1)","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_ff559f42cd","jc_209871f411","요추 후관절","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_a18a644473","jc_209871f411","요추 후방 인대 복합체","SPINE","false","","Spinal load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_45688de60a","jc_864898a64c","천장관절 복합체","PELVIS","false","","Pelvic units remain neutral because they were not explicitly approved as lower-limb load units.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_0e8a3f133f","jc_864898a64c","천장 인대 복합체","PELVIS","false","","Pelvic units remain neutral because they were not explicitly approved as lower-limb load units.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_c2a3d691c4","jc_864898a64c","치골결합 섬유연골 복합체","PELVIS","false","","Pelvic units remain neutral because they were not explicitly approved as lower-limb load units.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_a9651bd8d7","jc_ae763d5994","고관절","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_50d1389a95","jc_ae763d5994","고관절 관절낭·인대 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
