"modifierRuleId","exerciseStableKey","loadUnitStableKey","contextType","factor","policyVersion","rationale","evidenceStatus","reviewStatus"
"cod_ex_bc84eb7f_lu_a9651bd8d7","ex_bc84eb7f","lu_a9651bd8d7","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_50d1389a95","ex_bc84eb7f","lu_50d1389a95","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_27b4a0df1d","ex_bc84eb7f","lu_27b4a0df1d","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_a7dd63adb6","ex_bc84eb7f","lu_a7dd63adb6","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_348ac6b7a6","ex_bc84eb7f","lu_348ac6b7a6","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_36ba10a736","ex_bc84eb7f","lu_36ba10a736","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_9462525798","ex_bc84eb7f","lu_9462525798","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_cd23e2d8c0","ex_bc84eb7f","lu_cd23e2d8c0","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_90281b5483","ex_bc84eb7f","lu_90281b5483","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_bf3f500760","ex_bc84eb7f","lu_bf3f500760","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_9a06d0adb2","ex_bc84eb7f","lu_9a06d0adb2","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
