"doseBasis","recordSource","availabilityStatus","derivationMethod","requiredFields","fallbackDoseBasis","fallbackAllowed","fallbackConfidence","fallbackEvidenceClaimIds","sourceRefs","requiresSchemaChange","requiresUiChange","implementationNotes"
"EXTERNAL_LOAD_REPETITIONS","WorkoutSet","DERIVABLE_FROM_CURRENT_RECORD","sum(reps * weightKg) for confirmed sets","WorkoutSet.reps|WorkoutSet.weightKg|WorkoutSet.confirmed","","false","","","","false","false","No fallback; zero is valid only when inputs are present."
"EFFECTIVE_BODYWEIGHT_REPETITIONS","WorkoutSet+DailyMetric+InitialUserProfile+Exercise","DERIVABLE_FROM_CURRENT_RECORD","BodyweightEffectiveLoadCalculator.volumeLoad","WorkoutSet.reps|WorkoutSet.weightKg|WorkoutSet.confirmed|Exercise.stableKey|DailyMetric.bodyWeightKg_or_InitialUserProfile.bodyWeightKg","","false","","","","false","false","Existing bodyweight coefficients remain authoritative."
"DURATION_HOLD","WorkoutSet+WorkoutEntry+Exercise","DERIVABLE_FROM_CURRENT_RECORD","DurationHoldLoadCalculator.holdLoad","WorkoutSet.seconds|WorkoutSet.confirmed|WorkoutSet.rpe_or_WorkoutEntry.rpe|Exercise.stableKey","","false","","","","false","false","Existing plank and side-plank duration logic remains authoritative."
"LOCOMOTION_DURATION","WorkoutSet+Exercise","DERIVABLE_FROM_CURRENT_RECORD","sum(seconds) only for an explicitly duration-recorded locomotion exercise","WorkoutSet.seconds|WorkoutSet.confirmed|Exercise.stableKey","","false","","","","false","false","No event-count inference."
"DISTANCE","NONE","NOT_CURRENTLY_AVAILABLE","","distance","","false","","","","true","true","Distance is not stored."
"LANDING_CONTACT_COUNT","NONE","NOT_CURRENTLY_AVAILABLE","","landingContactCount","","false","","","","true","true","No count may be inferred from duration."
"DIRECTION_CHANGE_COUNT","NONE","NOT_CURRENTLY_AVAILABLE","","directionChangeCount","","false","","","","true","true","No count may be inferred from duration."
"JUMP_COUNT","NONE","NOT_CURRENTLY_AVAILABLE","","jumpCount","","false","","","","true","true","No count may be inferred from duration."
"THROW_COUNT","NONE","NOT_CURRENTLY_AVAILABLE","","throwCount","","false","","","","true","true","No count may be inferred from duration."
"STROKE_COUNT","NONE","NOT_CURRENTLY_AVAILABLE","","strokeCount","","false","","","","true","true","No count may be inferred from duration."
"SESSION_DURATION_RPE","WorkoutSet+WorkoutEntry+Exercise","DERIVABLE_FROM_CURRENT_RECORD","sum(seconds) * entry-or-set RPE only for an explicit duration session","WorkoutSet.seconds|WorkoutSet.confirmed|WorkoutSet.rpe_or_WorkoutEntry.rpe|Exercise.activityKind","","false","","","","false","false","Not a fallback for event counts."
"MIXED_EVENT_DURATION","WorkoutSet+Exercise","DERIVABLE_FROM_CURRENT_RECORD","sum(seconds) only when the record explicitly represents mixed-event duration","WorkoutSet.seconds|WorkoutSet.confirmed|Exercise.activityKind","","false","","","","false","false","Estimated event counts remain unavailable."
