"decisionId","evidenceKey","axis","derivationType","primarySourceConditionId","includedObservationIds","supportingObservationIds","excludedObservationIds","selectedScore","arithmeticMean","weightedMean","median","weightedStandardDeviation","minimum","maximum","effectiveSourceCount","independentCohortCount","dependencyGroupCount","heterogeneityStatus","averageDisclosure","rationale","aggregationPolicyVersion","runtimeEligible"
"C4B1_DEC_28145739_SEATED_BILATERAL_M","ex_5c8751d2|C4B1_COND_28145739_SEATED_BILATERAL|ACHILLES_TENDON|M","M","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_28145739_SEATED_BILATERAL","C4B1_OBS_28145739_SEATED_BILATERAL_STRAIN","C4B1_OBS_28145739_SEATED_BILATERAL_FORCE|C4B1_OBS_28145739_SEATED_BILATERAL_STRESS","","1.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_28145739_SEATED_BILATERAL_C","ex_5c8751d2|C4B1_COND_28145739_SEATED_BILATERAL|ACHILLES_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_28145739_SEATED_BILATERAL","","C4B1_OBS_28145739_SEATED_BILATERAL_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_28145739_STANDING_BILATERAL_M","ex_bd072cd|C4B1_COND_28145739_STANDING_BILATERAL|ACHILLES_TENDON|M","M","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_28145739_STANDING_BILATERAL","C4B1_OBS_28145739_STANDING_BILATERAL_STRAIN","C4B1_OBS_28145739_STANDING_BILATERAL_FORCE|C4B1_OBS_28145739_STANDING_BILATERAL_STRESS","","2.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_28145739_STANDING_BILATERAL_C","ex_bd072cd|C4B1_COND_28145739_STANDING_BILATERAL|ACHILLES_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_28145739_STANDING_BILATERAL","","C4B1_OBS_28145739_STANDING_BILATERAL_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_28145739_BILATERAL_UP_UNILATERAL_DOWN_M","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN|C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN|ACHILLES_TENDON|M","M","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN","C4B1_OBS_28145739_BILATERAL_UP_UNILATERAL_DOWN_STRAIN","C4B1_OBS_28145739_BILATERAL_UP_UNILATERAL_DOWN_FORCE|C4B1_OBS_28145739_BILATERAL_UP_UNILATERAL_DOWN_STRESS","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_28145739_BILATERAL_UP_UNILATERAL_DOWN_C","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN|C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN|ACHILLES_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN","","C4B1_OBS_28145739_BILATERAL_UP_UNILATERAL_DOWN_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_28145739_UNILATERAL_M","ex_5ca7133f|C4B1_COND_28145739_UNILATERAL|ACHILLES_TENDON|M","M","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_28145739_UNILATERAL","C4B1_OBS_28145739_UNILATERAL_STRAIN","C4B1_OBS_28145739_UNILATERAL_FORCE|C4B1_OBS_28145739_UNILATERAL_STRESS","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_28145739_UNILATERAL_C","ex_5ca7133f|C4B1_COND_28145739_UNILATERAL|ACHILLES_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_28145739_UNILATERAL","","C4B1_OBS_28145739_UNILATERAL_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37847102_WALK_M","C4B1_COND_37847102_WALK|C4B1_COND_37847102_WALK|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_WALK","C4B1_OBS_37847102_WALK_PEAK","","","1.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_WALK_T","C4B1_COND_37847102_WALK|C4B1_COND_37847102_WALK|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_WALK","C4B1_OBS_37847102_WALK_RATE","C4B1_OBS_37847102_WALK_IMPULSE","","1.7763","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
