"correctionDispositionId","affectedArtifactType","affectedArtifactId","replacementArtifactId","oldMechanicalLoadMode","newMechanicalLoadMode","oldTemporalMetric","newTemporalMetric","oldMeasurementMetric","newMeasurementMetric","oldNormalizationBasis","newNormalizationBasis","oldEventContext","newEventContext","oldMovementPhase","newMovementPhase","oldExternalLoadRepresentation","newExternalLoadRepresentation","oldEvidenceRelation","newEvidenceRelation","oldRubricKind","newRubricKind","correctionDecision","correctionReason","sourceIds","requiresAdditionalResearch","preparedBy","preparedByType","preparedAt","correctionNotes"
"C31CORR_1","MECHANICAL_MODE","COMPRESSION","COMPRESSION","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_2","MECHANICAL_MODE","TENSION","TENSION","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_3","MECHANICAL_MODE","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_4","MECHANICAL_MODE","MEDIAL_LATERAL_SHEAR","MEDIAL_LATERAL_SHEAR","MEDIAL_LATERAL_SHEAR","MEDIAL_LATERAL_SHEAR","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_5","MECHANICAL_MODE","TORSION","TORSION","TORSION","TORSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_6","MECHANICAL_MODE","ROTATIONAL_STRESS","ROTATIONAL_STRESS","ROTATIONAL_STRESS","ROTATIONAL_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_7","MECHANICAL_MODE","INTERNAL_ROTATION_STRESS","INTERNAL_ROTATION_STRESS","INTERNAL_ROTATION_STRESS","INTERNAL_ROTATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_8","MECHANICAL_MODE","EXTERNAL_ROTATION_STRESS","EXTERNAL_ROTATION_STRESS","EXTERNAL_ROTATION_STRESS","EXTERNAL_ROTATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_9","MECHANICAL_MODE","VALGUS_STRESS","VALGUS_STRESS","VALGUS_STRESS","VALGUS_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_10","MECHANICAL_MODE","VARUS_STRESS","VARUS_STRESS","VARUS_STRESS","VARUS_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_11","MECHANICAL_MODE","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_12","MECHANICAL_MODE","POSTERIOR_TRANSLATION_STRESS","POSTERIOR_TRANSLATION_STRESS","POSTERIOR_TRANSLATION_STRESS","POSTERIOR_TRANSLATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_13","MECHANICAL_MODE","INVERSION_STRESS","INVERSION_STRESS","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_14","MECHANICAL_MODE","EVERSION_STRESS","EVERSION_STRESS","EVERSION_STRESS","EVERSION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical mechanical mode remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_15","MECHANICAL_MODE","ENERGY_STORAGE_RELEASE","TENSION","ENERGY_STORAGE_RELEASE","TENSION","","","","","","","","","","","","","","","","","CONTEXT_SEPARATED","Moved to tissue response under tensile mechanics.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_16","MECHANICAL_MODE","IMPACT_STABILIZATION","","IMPACT_STABILIZATION","","","","","","","","","","","","","","","","","","CONTEXT_SEPARATED","Moved to event and functional-demand context.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
