"oldDimensionId","newDimensionId","oldMechanicalLoadMode","newMechanicalLoadMode","correctionDecision","movedContext","movedTissueResponse","correctionReason","preparedBy","preparedByType","preparedAt"
"ACH_TENSION_PEAK","ACH_TENSION_PEAK","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_IMPULSE_EVENT","ACH_TENSION_IMPULSE_EVENT","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_LOADING_RATE","ACH_TENSION_LOADING_RATE","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_CYCLIC","ACH_TENSION_CYCLIC","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_ENERGY_PEAK","ACH_TENSION_ENERGY_RESPONSE_PEAK","ENERGY_STORAGE_RELEASE","TENSION","RECLASSIFIED","","ELASTIC_ENERGY_STORAGE|ELASTIC_ENERGY_RETURN","Context or tissue response was separated from physical mechanical loading.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_ENERGY_CYCLIC","ACH_TENSION_ENERGY_RESPONSE_CYCLIC","ENERGY_STORAGE_RELEASE","TENSION","RECLASSIFIED","","ELASTIC_ENERGY_STORAGE|ELASTIC_ENERGY_RETURN","Context or tissue response was separated from physical mechanical loading.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_PEAK","PAT_TENSION_PEAK","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_IMPULSE_EVENT","PAT_TENSION_IMPULSE_EVENT","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_LOADING_RATE","PAT_TENSION_LOADING_RATE","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_CYCLIC","PAT_TENSION_CYCLIC","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_ECCENTRIC_PEAK","PAT_ECCENTRIC_PEAK","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_ECCENTRIC_IMPULSE","PAT_ECCENTRIC_IMPULSE","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_PEAK","QUAD_TENSION_PEAK","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_IMPULSE_EVENT","QUAD_TENSION_IMPULSE_EVENT","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_LOADING_RATE","QUAD_TENSION_LOADING_RATE","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_CYCLIC","QUAD_TENSION_CYCLIC","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_ECCENTRIC_PEAK","QUAD_ECCENTRIC_PEAK","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_ECCENTRIC_IMPULSE","QUAD_ECCENTRIC_IMPULSE","TENSION","TENSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_PEAK","PFJ_COMPRESSION_PEAK","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_IMPULSE_EVENT","PFJ_COMPRESSION_IMPULSE_EVENT","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
