"stableKey","canonicalDisplayName","canonicalCategory","movementVariant","laterality","externalLoadCapability","romCapability","jumpOrNonJump","referenceCondition","researchMappingStatus"
"barbell_back_squat","스쿼트","MAIN_LOWER_STRENGTH","BACK_SQUAT","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_1052e9fa","스미스 머신 런지","UNILATERAL_LOWER_STRENGTH","SMITH_MACHINE_LUNGE","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_1c7f2342","랜덤 풋워크","BADMINTON_FOOTWORK","RANDOM_FOOTWORK","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_2055b629","애질리티 래더","BADMINTON_FOOTWORK","AGILITY_LADDER","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_216351a1","가벼운 콕줍기","BADMINTON_FOOTWORK","LIGHT_SHUTTLE_PICKUP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_314df428","싱글 레그 홉 앤 스틱","PLYOMETRIC_POWER","SINGLE_LEG_HOP_AND_STICK","UNILATERAL","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","SINGLE_LEG_MAXIMAL_FORWARD_HOP_OR_REPEATED_HOP","CLOSE_VARIANT_PROTOCOL_AUDIT_REQUIRED"
"ex_33841b88","6코너 섀도우 풋워크","BADMINTON_FOOTWORK","SIX_CORNER_FOOTWORK","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_377448a9","스플릿 스텝 후 좌우 런지","BADMINTON_FOOTWORK","SPLIT_STEP_LATERAL_REACTIVE_LUNGE","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_421ba24b","좌우 랜덤 콕줍기","BADMINTON_FOOTWORK","LATERAL_RANDOM_SHUTTLE_PICKUP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_4255e429","앞뒤 랜덤 콕줍기","BADMINTON_FOOTWORK","FRONT_BACK_RANDOM_SHUTTLE_PICKUP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
