"id","definition","scientificBoundary","createdBy","createdByType","createdAt"
"STRENGTH_REPETITION","Resistance-training repetition","Does not establish internal tissue magnitude","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ISOMETRIC_HOLD","Static hold task","Duration and joint position remain separate","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"JUMP_TAKEOFF","Jump propulsion event","Does not imply a directional ligament mechanism","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"JUMP_LANDING","Landing after a jump","Does not imply impact strain or a directional mechanism","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"HOP_TAKEOFF","Single-limb hop propulsion","Protocol and laterality remain explicit","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"HOP_LANDING","Single-limb hop landing","Single and repeated hopping remain distinct","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"DROP_LANDING","Landing from a prescribed drop","Drop height and rebound protocol remain explicit","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"RUNNING_GAIT","Running gait cycle","Speed and surface remain explicit","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"SQUAT","Squat task","Load, depth, and stance remain explicit","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"LUNGE","Lunge task","Direction, stride, and load remain explicit","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PASSIVE_INVERSION_TEST","Externally applied passive inversion","Not an exercise-load transfer","Codex","AI_AGENT","2026-07-15T00:00:01Z"
