"reauditId","reviewBatchId","draftClaimId","sourceId","stableKey","tissueId","loadDimension","reviewMode","independenceStatus","identifierVerificationStatus","bibliographicMatchStatus","publicationIntegrityStatus","evidenceAccessLevel","evidenceLocatorType","evidenceLocator","evidenceLocatorVerified","exerciseCorrespondence","tissueCorrespondence","dimensionCorrespondence","verifiedExercise","verifiedTissue","verifiedDimension","verifiedDirection","verifiedMetric","verifiedValue","verifiedLowerBound","verifiedUpperBound","verifiedUnit","valueType","normalizationBasis","crossStudyComparability","verifiedCondition","maximumDefensibleBand","bandBasis","claimSupportStatus","recommendedAction","userAdjudicationIds","reviewedBy","reviewedByType","reviewedAt","limitations","reauditNotes"
"REAUDIT_C_728FEEBDBAF1C8F2","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_PEAK_SEATED_CALF","PREFLIGHT_32658037","ex_5c8751d2","ACHILLES_TENDON","PEAK_TENSILE_LOAD","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Baxter et al. 2021, Table 1, seated heel raise (2-leg and 1-leg) rows","true","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","Bilateral and unilateral seated heel raises with 15 kg placed on the thigh","ACHILLES_TENDON","PEAK_TENSILE_LOAD","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak Achilles tendon force range across two seated heel-raise conditions","","0.5","0.7","BW","REPORTED_RANGE","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested bilateral and unilateral seated heel raises with 15 kg placed on the thigh; laboratory footwear and force plates; non-fatigued cohort.","LOW","WITHIN_STUDY_RELATIVE_ORDER","PARTIALLY_SUPPORTED","CORRECT_VALUE|CORRECT_CONDITION|RETAIN_WITH_LIMITATION","","Codex","AI_AGENT","2026-07-14T00:00:00Z","The 0.5 to 0.7 BW result is a range across two reported group means, not one 0.6 BW group mean; the source used 15 kg thigh loading and a modeled fixed moment arm.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_1968A74233DD9CBC","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_PEAK_SINGLE_CALF","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","PEAK_TENSILE_LOAD","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Baxter et al. 2021, Table 1, standing heel raise (1-leg) row","true","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","Standing single-leg heel raise","ACHILLES_TENDON","PEAK_TENSILE_LOAD","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak Achilles tendon force","3.0","2.7","3.3","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested standing single-leg heel raise at study cadence; bodyweight; laboratory footwear and force plates; non-fatigued cohort.","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_DIRECT","RETAIN_WITH_LIMITATION","","Codex","AI_AGENT","2026-07-14T00:00:00Z","Healthy sample of eight; force was modeled with a fixed 5 cm moment arm and study cadence may differ from app prescriptions.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_1E9DCA6BA39B62C2","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_PEAK_SINGLE_HOP","PREFLIGHT_32658037","ex_314df428","ACHILLES_TENDON","PEAK_TENSILE_LOAD","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Baxter et al. 2021, Table 1, lateral and forward hopping (1-leg) rows","true","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","Repeated single-leg forward and lateral hopping","ACHILLES_TENDON","PEAK_TENSILE_LOAD","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak Achilles tendon force","7.3","","","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested repeated single-leg forward and lateral hopping; bodyweight; laboratory footwear and force plates; app target adds a stick landing.","VERY_HIGH","CLOSE_VARIANT_TRANSFER","SUPPORTED_AS_CLOSE_VARIANT","CORRECT_METRIC|RETAIN_WITH_LIMITATION","USER_ADJUDICATION_ACHILLES_HOP_TRANSFER_V1","Codex","AI_AGENT","2026-07-14T00:00:00Z","The source tested repeated hopping rather than the exact hop-and-stick protocol; transfer is explicitly limited to a close variant.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_585ABB618BEB8271","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_RATE_SINGLE_CALF","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","LOADING_RATE","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Baxter et al. 2021, Table 1, standing heel raise (1-leg) row and loading-rate method","true","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","Standing single-leg heel raise","ACHILLES_TENDON","LOADING_RATE","CONDITION_SPECIFIC_MAGNITUDE","Modeled Achilles tendon peak loading rate over a 5% moving window","13.1","9.7","16.5","BW/s","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested standing single-leg heel raise at study cadence; bodyweight; laboratory footwear and force plates; non-fatigued cohort.","","INSUFFICIENT_BASIS","SUPPORTED_AS_DIRECT","RETAIN_WITH_LIMITATION|REMOVE_BAND","","Codex","AI_AGENT","2026-07-14T00:00:00Z","Loading rate is the peak change over a 5% moving window; no independent app-wide loading-rate band threshold is supported.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_0D63311FA2BB289D","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PAT_PEAK_FULL_SQUAT","SRC_PMID_37847102","ex_cb3c4dc2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Scattone Silva et al. 2024, Table 1, 2-leg squat (full) row","true","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","Double-leg full-depth squat","PATELLAR_TENDON","PEAK_TENSILE_LOAD","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak patellar tendon force","3.4","2.7","4.1","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested bodyweight double-leg full-depth squat at study-defined speed and range; laboratory force plates; non-fatigued cohort.","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_DIRECT","RETAIN_WITH_LIMITATION","","Codex","AI_AGENT","2026-07-14T00:00:00Z","Healthy cohort; sagittal-plane constrained model omitted hamstring coactivation and the source tier is a within-study composite index.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_84E95EB3E9FFEC7C","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PAT_PEAK_BULGARIAN","SRC_PMID_37847102","ex_bb728af2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Scattone Silva et al. 2024, Table 1, Bulgarian squat row","true","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","Bulgarian squat","PATELLAR_TENDON","PEAK_TENSILE_LOAD","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak patellar tendon force","3.0","2.5","3.5","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested bodyweight Bulgarian squat at study-defined speed and range; laboratory force plates; non-fatigued cohort.","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_CLOSE_VARIANT","RETAIN_WITH_LIMITATION","","Codex","AI_AGENT","2026-07-14T00:00:00Z","The canonical rear-foot-elevated split squat lacks a fully specified protocol match; healthy-cohort force was model-estimated.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_70B64A446CEB76BF","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_60_SQUAT","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Song et al. 2023, Table 1, double-leg squat (60 degrees) row","true","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","Double-leg squat to 60 degrees","KNEE_PATELLOFEMORAL","COMPRESSION","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak patellofemoral joint force with source composite loading-index tier","2.5","1.6","3.4","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested Double-leg squat to 60 degrees; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","LOW","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","CORRECT_METRIC|RETAIN_WITH_LIMITATION","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","Codex","AI_AGENT","2026-07-14T00:00:00Z","The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_510CBEF0C6626BC3","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_FULL_SQUAT","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Song et al. 2023, Table 1, double-leg squat (full depth) row","true","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","Double-leg full-depth squat","KNEE_PATELLOFEMORAL","COMPRESSION","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak patellofemoral joint force with source composite loading-index tier","4.5","3.7","5.3","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested Double-leg full-depth squat; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","CORRECT_METRIC|RETAIN_WITH_LIMITATION","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","Codex","AI_AGENT","2026-07-14T00:00:00Z","The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_E5B043920C36FBBB","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_BULGARIAN","SRC_PMID_37272685","ex_bb728af2","KNEE_PATELLOFEMORAL","COMPRESSION","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Song et al. 2023, Table 1 and Results, Bulgarian squat row","true","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","Bulgarian squat","KNEE_PATELLOFEMORAL","COMPRESSION","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak patellofemoral joint force with source composite loading-index tier","4.7","4.0","5.4","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested Bulgarian squat; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","CORRECT_METRIC|RETAIN_WITH_LIMITATION","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","Codex","AI_AGENT","2026-07-14T00:00:00Z","The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
"REAUDIT_C_509E210BAB06EC51","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_LUNGE","SRC_PMID_37272685","ex_64644b5e","KNEE_PATELLOFEMORAL","COMPRESSION","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","TABLE","TABLE","Song et al. 2023, Table 1, lunge row","true","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","Study-defined lunge","KNEE_PATELLOFEMORAL","COMPRESSION","CONDITION_SPECIFIC_MAGNITUDE","Modeled peak patellofemoral joint force with source composite loading-index tier","5.1","4.3","5.9","BW","GROUP_MEAN","Normalized to participant bodyweight","NOT_CROSS_STUDY_COMPARABLE","Tested Study-defined lunge; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","CORRECT_METRIC|RETAIN_WITH_LIMITATION","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","Codex","AI_AGENT","2026-07-14T00:00:00Z","The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold.","Source identity and bibliographic metadata were revalidated live; the cited table and method text were reopened in the same session. This is not independent blind review."
