"sourceId","pmid","doi","title","authors","publicationYear","journal","studyType","population","sampleSize","trainingStatus","sexComposition","healthStatus","exactExercise","exerciseProtocol","externalLoadCondition","repetitionCondition","romCondition","velocityCondition","surfaceCondition","footwearCondition","anticipatedCondition","fatigueCondition","measurementMethod","measuredOutcome","reportedMetric","reportedValue","reportedLowerBound","reportedUpperBound","reportedUnit","supportedTissueIds","supportedLoadDimensions","majorLimitations","identifierVerificationStatus","bibliographicMatchStatus","publicationIntegrityStatus","verificationCapabilityStatus","verifiedAt","verificationMethod","sourceStatus","sourceNotes"
"PREFLIGHT_32658037","32658037","10.1249/MSS.0000000000002459","Exercise Progression to Incrementally Load the Achilles Tendon.","Baxter JR|Corrigan P|Hullfish TJ|O'Rourke P|Silbernagel KG","2021","Medicine and Science in Sports and Exercise","Comparative laboratory study","Healthy young adults","8","Not reported","Mixed","Healthy","Seated heel raise|Bilateral heel raise|Single-leg heel raise|Single-leg forward hop|Single-leg lateral hop|Lunge","Progressive heel-raise, hopping, and lunge tasks","Bodyweight or task-specific resistance","Analyzed repetitions per study protocol","Task-defined","Self-selected/task-defined","Laboratory force plates","Not fully reported","Anticipated","Non-fatigued","3D motion analysis, ground reaction force, and constrained free-body Achilles model","Modeled Achilles tendon peak force, impulse, and loading rate","Peak force|Impulse|Loading rate|Composite loading index","Condition-specific","","","BW|BW*s|BW/s|index","ACHILLES_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD|LOADING_RATE","Small healthy sample; modeled tendon force; fixed moment arm; condition-specific ranking; no global band thresholds.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","INCLUDED_DRAFT_EVIDENCE","Immutable preflight source ID preserved. Previous committed DOI was a bibliographic-identity mismatch that failed closed."
"SRC_PMID_28145739","28145739","10.4085/1062-6050-52.1.04","Achilles Tendon Loading During Heel-Raising and -Lowering Exercises.","Revak A|Diers K|Kernozek TW|Gheidi N|Olbrantz C","2017","Journal of Athletic Training","Cross-sectional laboratory study","Healthy men","21","Not reported","Men","Healthy","Seated heel raise|Bilateral standing heel raise|Bilateral raise unilateral lower|Unilateral heel raise","Heel-raising and lowering variants","Bodyweight","Task repetitions","Task-defined ankle ROM","Controlled","Laboratory","Not fully reported","Anticipated","Non-fatigued","Motion analysis and inverse dynamics with tendon stress/strain estimation","Estimated Achilles tendon force, stress, and strain","Relative condition comparison","Condition-specific","","","N|MPa|percent","ACHILLES_TENDON","PEAK_TENSILE_LOAD|ECCENTRIC_LOAD","Healthy male sample; estimated internal load; protocol differs from app prescriptions.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","INCLUDED_DRAFT_EVIDENCE","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_37847102","37847102","10.1249/MSS.0000000000003323","Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.","Scattone Silva R|Song KE|Hullfish TJ|Sprague A|Silbernagel KG|Baxter JR","2024","Medicine and Science in Sports and Exercise","Cross-sectional laboratory modeling study","Healthy adults","20","Not reported","Mixed","Healthy","Thirty-five weightbearing rehabilitation exercises including squats, Bulgarian squat, lunge, and jumps","Standardized rehabilitation exercise trials","Bodyweight exercise conditions","Analyzed exercise trials","Exercise-defined","Exercise-defined","Laboratory force plates","Not fully reported","Anticipated","Non-fatigued","3D motion analysis, force plates, and musculoskeletal patellar tendon model","Modeled patellar tendon peak load, impulse, and loading rate","Peak force|Impulse|Loading rate|Composite loading index","Condition-specific","","","BW|BW*s|BW/s|index","PATELLAR_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD|LOADING_RATE","Healthy sample; modeled force; source rankings do not define universal app load bands.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","INCLUDED_DRAFT_EVIDENCE","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_37272685","37272685","10.1177/03635465231175160","Patellofemoral Joint Loading Progression Across 35 Weightbearing Rehabilitation Exercises and Activities of Daily Living.","Song K|Scattone Silva R|Hullfish TJ|Silbernagel KG|Baxter JR","2023","The American Journal of Sports Medicine","Cross-sectional laboratory modeling study","Healthy adults","20","Not reported","Mixed","Healthy","Thirty-five weightbearing exercises including squats, Bulgarian squat, lunge, drop jump, and single-leg hop","Standardized rehabilitation exercise trials","Bodyweight exercise conditions","Analyzed exercise trials","Exercise-defined","Exercise-defined","Laboratory force plates","Not fully reported","Anticipated","Non-fatigued","3D motion analysis, force plates, and patellofemoral joint model","Modeled patellofemoral peak force, impulse, loading rate, and composite loading index","Peak force|Impulse|Loading rate|Source-defined loading index","Condition-specific","","","BW|BW*s|BW/s|index","KNEE_PATELLOFEMORAL","COMPRESSION|IMPACT_IMPULSE","Healthy sample; model-derived contact force; source-defined index is valid only within the study conditions.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","INCLUDED_DRAFT_EVIDENCE","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_11949662","11949662","10.2519/jospt.2002.32.4.141","Patellofemoral joint kinetics while squatting with and without an external load.","Wallace DA|Salem GJ|Salinas R|Powers CM","2002","Journal of Orthopaedic and Sports Physical Therapy","Repeated-measures laboratory study","Healthy adults","10","Not reported","Mixed","Healthy","Squat with and without external load","Squat through increasing knee flexion","No load and 35 percent bodyweight external load","Squat trials","Knee flexion range","Controlled","Laboratory force platform","Not fully reported","Anticipated","Non-fatigued","Motion analysis, force platform, and patellofemoral joint model","Estimated patellofemoral reaction force and stress","Force and stress by knee angle/load","Condition-specific","","","BW|MPa","KNEE_PATELLOFEMORAL","COMPRESSION","Different model and metric from source-defined loading index; loaded protocol does not exactly match canonical squat.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","REVIEWED_NOT_USED","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_18632195","18632195","10.1016/j.clinbiomech.2008.05.002","Patellofemoral compressive force and stress during the forward and side lunges with and without a stride.","Escamilla RF|Zheng N|MacLeod TD|Edwards WB|Hreljac A|Fleisig GS|Wilk KE|Moorman CT 3rd|Imamura R","2008","Clinical Biomechanics","Repeated-measures laboratory study","Healthy adults","18","Not reported","Mixed","Healthy","Forward and side lunge with and without stride","Lunge variants","Bodyweight","Exercise trials","Task-defined","Controlled","Laboratory force platform","Not fully reported","Anticipated","Non-fatigued","Motion analysis, force platform, and sagittal-plane patellofemoral model","Estimated patellofemoral compressive force and stress","Peak force and stress","Condition-specific","","","N|MPa","KNEE_PATELLOFEMORAL","COMPRESSION","Model and normalization differ from the selected loading-index rubric source.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","REVIEWED_NOT_USED","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_8947402","8947402","10.1177/036354659602400615","Comparison of intersegmental tibiofemoral joint forces and muscle activity during various closed kinetic chain exercises.","Stuart MJ|Meglan DA|Lutz GE|Growney ES|An KN","1996","The American Journal of Sports Medicine","Laboratory inverse-dynamics study","Healthy adults","10","Not reported","Mixed","Healthy","Power squat|Front squat|Lunge","Closed kinetic chain exercises","50 pound external load","Exercise trials","Task-defined","Controlled","Laboratory","Not fully reported","Anticipated","Non-fatigued","Motion analysis, force platform, inverse dynamics, and EMG","Intersegmental tibiofemoral shear and compressive resultant","Joint resultant force","Condition-specific","","","N|BW","KNEE_TIBIOFEMORAL","ANTERIOR_POSTERIOR_SHEAR|COMPRESSION","Intersegmental resultant is not internal compartment contact force; older small sample and fixed external load.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","REVIEWED_NOT_USED","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_31593498","31593498","10.1177/0363546519876074","In Vivo Anterior Cruciate Ligament Deformation During a Single-Legged Jump Measured by Magnetic Resonance Imaging and High-Speed Biplanar Radiography.","Englander ZA|Baldwin EL 3rd|Smith WAR|Garrett WE|Spritzer CE|DeFrate LE","2019","The American Journal of Sports Medicine","In-vivo imaging study","Healthy adults","10","Not reported","Mixed","Healthy","Single-legged jump","Jump with landing imaging","Bodyweight","Single-leg jump trials","Task-defined","Self-selected","Laboratory","Not fully reported","Anticipated","Non-fatigued","MRI and high-speed biplanar radiography","ACL deformation/strain","Ligament strain","Condition-specific","","","percent","KNEE_ACL","IMPACT_STABILIZATION","Measures strain rather than anterior translation; single task cannot calibrate valgus, rotation, or app-wide bands.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","REVIEWED_NOT_USED","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_10656979","10656979","10.1016/S0268-0033(99)00063-7","Cruciate ligament forces in the human knee during rehabilitation exercises.","Toutoungi DE|Lu TW|Leardini A|Catani F|O'Connor JJ","2000","Clinical Biomechanics","Musculoskeletal modeling study","Healthy adults","Not reported in abstract","Not reported","Not reported","Healthy","Squat and rehabilitation exercises","Modeled rehabilitation movements","Task-defined","Modeled trials","Exercise-defined","Exercise-defined","Laboratory","Not fully reported","Anticipated","Non-fatigued","Kinematic/kinetic musculoskeletal model","Modeled ACL and PCL forces","Ligament force","Condition-specific","","","BW","KNEE_ACL|KNEE_PCL","ANTERIOR_TRANSLATION|POSTERIOR_TRANSLATION","Force is not translation; model assumptions and rehabilitation protocols are not directly comparable to target dimensions.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","REVIEWED_NOT_USED","Source identity verified; claims remain draft and non-production pending blind review and human approval."
"SRC_PMID_30923576","30923576","10.1186/s13047-019-0330-5","Function of ankle ligaments for subtalar and talocrural joint stability during an inversion movement - an in vitro study.","Li L|Gollhofer A|Lohrer H|Dorn-Lange N|Bonsignore G|Gehring D","2019","Journal of Foot and Ankle Research","Cadaveric biomechanical study","Cadaver specimens","Nine specimens","Not reported","Not applicable","Cadaveric","Machine-applied ankle inversion","Controlled inversion before and after ligament sectioning","Mechanical inversion load","In-vitro trials","Inversion range","Controlled","Test apparatus","None","Not applicable","Not applicable","In-vitro robotic/mechanical testing","Talocrural/subtalar stability contribution","Joint motion/stability after ligament sectioning","Condition-specific","","","degrees|millimeters","ANKLE_SUBTALAR|ANKLE_TALOCRURAL|ANKLE_LATERAL_LIGAMENT_COMPLEX","STABILITY_DEMAND|INVERSION","Cadaveric inversion test is not an exercise-specific in-vivo load measurement or validated app transfer.","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","REVIEWED_NOT_USED","Source identity verified; claims remain draft and non-production pending blind review and human approval."
