"axisMetricRuleId","targetType","targetId","profileKind","axis","primaryMetricTypes","secondaryMetricTypes","forbiddenMetricTypes","allowedMeasurementFamilies","allowedNormalizationBases","requiredContextFields","comparisonFamily","rubricEligible","operationalFallbackEligible","biomechanicalMeaning","limitations","version"
"MTC_PFJ_M","TISSUE","KNEE_PATELLOFEMORAL","TISSUE_MECHANICAL_LOAD","M","M_PEAK_CONTACT_FORCE|M_PEAK_CONTACT_STRESS","M_PEAK_COMPRESSION","T_IMPULSE_PER_EVENT|T_LOADING_RATE","INTERNAL_JOINT_FORCE|INTERNAL_JOINT_STRESS","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE","PFJ_MAGNITUDE","true","true","Size of patellofemoral contact loading.","Model and contact-area assumptions remain condition specific.","1.0.0"
"MTC_PFJ_T","TISSUE","KNEE_PATELLOFEMORAL","TISSUE_MECHANICAL_LOAD","T","T_IMPULSE_PER_EVENT|T_LOADING_RATE","T_CONTACT_DURATION","M_PEAK_CONTACT_FORCE","INTERNAL_JOINT_IMPULSE|INTERNAL_JOINT_LOADING_RATE","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|EVENT_BOUNDARY","PFJ_TEMPORAL","true","true","Force-time development across the event.","Peak values cannot substitute for impulse or rate.","1.0.0"
"MTC_PFJ_C","TISSUE","KNEE_PATELLOFEMORAL","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_CONTACT_AREA|C_LANDING_PHASE","M_PEAK_CONTACT_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE|CONTACT_AREA|EXTERNAL_LOAD|MOVEMENT_GEOMETRY|MOVEMENT_PHASE","PFJ_CONTEXT","true","true","Knee-flexion and task geometry exposing PFJ contact.","Context is not injury probability or magnitude.","1.0.0"
"MTC_TFJ_M","TISSUE","KNEE_TIBIOFEMORAL","TISSUE_MECHANICAL_LOAD","M","M_PEAK_COMPRESSION|M_PEAK_SHEAR","M_PEAK_CONTACT_FORCE","T_IMPULSE_PER_EVENT","INTERNAL_JOINT_FORCE|INTERSEGMENTAL_JOINT_FORCE","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|FORCE_DIRECTION","TFJ_MAGNITUDE","true","true","Size of tibiofemoral compression or shear.","Intersegmental resultants must not be labeled compartment contact force.","1.0.0"
"MTC_TFJ_T","TISSUE","KNEE_TIBIOFEMORAL","TISSUE_MECHANICAL_LOAD","T","T_IMPULSE_PER_EVENT|T_LOADING_RATE","T_CONTACT_DURATION","M_PEAK_SHEAR","INTERNAL_JOINT_IMPULSE|INTERNAL_JOINT_LOADING_RATE","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|EVENT_BOUNDARY","TFJ_TEMPORAL","true","true","Compression or shear development over an event.","Direction and event windows must match.","1.0.0"
"MTC_TFJ_C","TISSUE","KNEE_TIBIOFEMORAL","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_AP_SHEAR_DIRECTION|C_COMPARTMENT_DISTRIBUTION","M_PEAK_COMPRESSION","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|AP_SHEAR_DIRECTION|ROTATION|COMPARTMENT_DISTRIBUTION|KNEE_ANGLE","TFJ_CONTEXT","true","true","Directional and compartment context for tibiofemoral loading.","Context does not convert an intersegmental force to contact force.","1.0.0"
"MTC_PAT_M","TISSUE","PATELLAR_TENDON","TISSUE_MECHANICAL_LOAD","M","M_PEAK_TENDON_FORCE|M_PEAK_TENDON_STRAIN","M_PEAK_TENDON_STRESS","T_EVENT_AVERAGE_STRAIN","INTERNAL_TENDON_FORCE|INTERNAL_TENDON_STRESS|TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_CONDITION_ID|KNEE_ANGLE","PATELLAR_TENDON_MAGNITUDE","true","true","Peak patellar-tendon force or strain.","Force and strain scales are separate comparison families.","1.0.0"
"MTC_PAT_T","TISSUE","PATELLAR_TENDON","TISSUE_MECHANICAL_LOAD","T","T_IMPULSE_PER_EVENT|T_LOADING_RATE|T_EVENT_AVERAGE_STRAIN","T_ECCENTRIC_DURATION","M_PEAK_TENDON_FORCE","INTERNAL_TENDON_IMPULSE|INTERNAL_TENDON_LOADING_RATE|TENDON_STRAIN","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_NORMALIZED_LOADING_RATE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_CONDITION_ID|EVENT_BOUNDARY|MOVEMENT_PHASE","PATELLAR_TENDON_TEMPORAL","true","true","Force-time or source-defined average strain profile.","Event average must not be encoded as peak.","1.0.0"
"MTC_PAT_C","TISSUE","PATELLAR_TENDON","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_ECCENTRIC_CONCENTRIC_PHASE|C_DECLINE_BOARD","M_PEAK_TENDON_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE|MOVEMENT_PHASE|DECLINE_BOARD|EXTERNAL_LOAD|LOAD_PLACEMENT","PATELLAR_TENDON_CONTEXT","true","true","Knee geometry and loading setup exposing the tendon.","Context cannot infer force without a validated relation.","1.0.0"
"MTC_QUAD_M","TISSUE","QUADRICEPS_TENDON","TISSUE_MECHANICAL_LOAD","M","M_PEAK_TENDON_FORCE|M_PEAK_TENDON_STRAIN","M_PEAK_TENDON_STRESS","T_ECCENTRIC_DURATION","INTERNAL_TENDON_FORCE|INTERNAL_TENDON_STRESS|TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_CONDITION_ID|KNEE_ANGLE","QUADRICEPS_TENDON_MAGNITUDE","true","true","Peak quadriceps-tendon force or strain.","Geometry and model assumptions are source bounded.","1.0.0"
