"provenanceId","axisScaleId","score","researchScore","operationalScore","provenanceTier","confidence","sourceIds","metricExtractionIds","rubricId","fallbackRuleId","inheritanceLevel","limitations","coefficientSetId"
"MTC_PROVENANCE_KNEE_PATELLOFEMORAL_M_FAMILY_DEFAULT","MTC_SCALE_KNEE_PATELLOFEMORAL_M","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_KNEE_PATELLOFEMORAL_M_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_KNEE_PATELLOFEMORAL_T_FAMILY_DEFAULT","MTC_SCALE_KNEE_PATELLOFEMORAL_T","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_KNEE_PATELLOFEMORAL_T_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_KNEE_PATELLOFEMORAL_C_FAMILY_DEFAULT","MTC_SCALE_KNEE_PATELLOFEMORAL_C","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_KNEE_PATELLOFEMORAL_C_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_KNEE_TIBIOFEMORAL_M_FAMILY_DEFAULT","MTC_SCALE_KNEE_TIBIOFEMORAL_M","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_KNEE_TIBIOFEMORAL_M_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_KNEE_TIBIOFEMORAL_T_FAMILY_DEFAULT","MTC_SCALE_KNEE_TIBIOFEMORAL_T","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_KNEE_TIBIOFEMORAL_T_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_KNEE_TIBIOFEMORAL_C_FAMILY_DEFAULT","MTC_SCALE_KNEE_TIBIOFEMORAL_C","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_KNEE_TIBIOFEMORAL_C_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_PATELLAR_TENDON_M_FAMILY_DEFAULT","MTC_SCALE_PATELLAR_TENDON_M","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_PATELLAR_TENDON_M_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_PATELLAR_TENDON_T_FAMILY_DEFAULT","MTC_SCALE_PATELLAR_TENDON_T","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_PATELLAR_TENDON_T_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_PATELLAR_TENDON_C_FAMILY_DEFAULT","MTC_SCALE_PATELLAR_TENDON_C","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_PATELLAR_TENDON_C_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
"MTC_PROVENANCE_QUADRICEPS_TENDON_M_FAMILY_DEFAULT","MTC_SCALE_QUADRICEPS_TENDON_M","2.0","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","","","MTC_RUBRIC_QUADRICEPS_TENDON_M_FAMILY_DEFAULT","MTC_FALLBACK_5_MOVEMENT_FAMILY","MOVEMENT_FAMILY","Operational family default only; research score remains UNKNOWN and is not zero.","TISSUE_MTC_C4A_0_1_0"
