"rubricId","axisScaleId","rubricKind","score","lowerBound","upperBound","lowerInclusive","upperInclusive","anchorValue","sourceConditionIds","sourceIds","independentSourceCount","distinctConditionCount","externalValidationSourceIds","boundaryDerivation","sensitivityAnalysisStatus","researchEligible","operationalOnly","status","version"
"MTC_RUBRIC_KNEE_PATELLOFEMORAL_M_FAMILY_DEFAULT","MTC_SCALE_KNEE_PATELLOFEMORAL_M","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_PATELLOFEMORAL_M_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_PATELLOFEMORAL_M","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_PATELLOFEMORAL_T_FAMILY_DEFAULT","MTC_SCALE_KNEE_PATELLOFEMORAL_T","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_PATELLOFEMORAL_T_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_PATELLOFEMORAL_T","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_PATELLOFEMORAL_C_FAMILY_DEFAULT","MTC_SCALE_KNEE_PATELLOFEMORAL_C","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_PATELLOFEMORAL_C_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_PATELLOFEMORAL_C","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_TIBIOFEMORAL_M_FAMILY_DEFAULT","MTC_SCALE_KNEE_TIBIOFEMORAL_M","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_TIBIOFEMORAL_M_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_TIBIOFEMORAL_M","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_TIBIOFEMORAL_T_FAMILY_DEFAULT","MTC_SCALE_KNEE_TIBIOFEMORAL_T","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_TIBIOFEMORAL_T_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_TIBIOFEMORAL_T","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_TIBIOFEMORAL_C_FAMILY_DEFAULT","MTC_SCALE_KNEE_TIBIOFEMORAL_C","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
