"axisScaleId","targetId","axis","physicalMetricType","normalizationBasis","measurementFamily","comparisonFamily","populationScope","conditionFamily","version"
"MTC_SCALE_KNEE_PATELLOFEMORAL_M","KNEE_PATELLOFEMORAL","M","M_PEAK_CONTACT_FORCE","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE","INTERNAL_JOINT_FORCE","PFJ_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_PATELLOFEMORAL_T","KNEE_PATELLOFEMORAL","T","T_IMPULSE_PER_EVENT","BODY_WEIGHT_NORMALIZED_IMPULSE","INTERNAL_JOINT_IMPULSE","PFJ_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_PATELLOFEMORAL_C","KNEE_PATELLOFEMORAL","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","PFJ_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_TIBIOFEMORAL_M","KNEE_TIBIOFEMORAL","M","M_PEAK_COMPRESSION","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE","INTERNAL_JOINT_FORCE","TFJ_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_TIBIOFEMORAL_T","KNEE_TIBIOFEMORAL","T","T_IMPULSE_PER_EVENT","BODY_WEIGHT_NORMALIZED_IMPULSE","INTERNAL_JOINT_IMPULSE","TFJ_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_TIBIOFEMORAL_C","KNEE_TIBIOFEMORAL","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","TFJ_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_PATELLAR_TENDON_M","PATELLAR_TENDON","M","M_PEAK_TENDON_FORCE","ABSOLUTE_FORCE_NEWTON","INTERNAL_TENDON_FORCE","PATELLAR_TENDON_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_PATELLAR_TENDON_T","PATELLAR_TENDON","T","T_IMPULSE_PER_EVENT","BODY_WEIGHT_NORMALIZED_IMPULSE","INTERNAL_TENDON_IMPULSE","PATELLAR_TENDON_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_PATELLAR_TENDON_C","PATELLAR_TENDON","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","PATELLAR_TENDON_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_QUADRICEPS_TENDON_M","QUADRICEPS_TENDON","M","M_PEAK_TENDON_FORCE","ABSOLUTE_FORCE_NEWTON","INTERNAL_TENDON_FORCE","QUADRICEPS_TENDON_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
