"rubricId","axisScaleId","rubricKind","score","lowerBound","upperBound","lowerInclusive","upperInclusive","anchorValue","sourceConditionIds","sourceIds","independentSourceCount","distinctConditionCount","externalValidationSourceIds","boundaryDerivation","sensitivityAnalysisStatus","researchEligible","operationalOnly","status","version"
"MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_M_FAMILY_DEFAULT","MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_M","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_M_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_M","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_T_FAMILY_DEFAULT","MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_T","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_T_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_T","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_C_FAMILY_DEFAULT","MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_C","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_C_CONSERVATIVE_FALLBACK","MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_C","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_M_FAMILY_DEFAULT","MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_M","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_M_CONSERVATIVE_FALLBACK","MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_M","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_T_FAMILY_DEFAULT","MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_T","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_T_CONSERVATIVE_FALLBACK","MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_T","CONSERVATIVE_FALLBACK","2.5","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
"MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_C_FAMILY_DEFAULT","MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_C","FAMILY_DEFAULT","2.0","","","","","","","","0","0","","","NOT_APPLICABLE_OPERATIONAL_FALLBACK","false","true","DRAFT_NON_PRODUCTION","1.0.0"
