"axisScaleId","targetId","axis","physicalMetricType","normalizationBasis","measurementFamily","comparisonFamily","populationScope","conditionFamily","version"
"MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_M","KNEE_EXTENSOR_CONTACT_COMPLEX","M","M_COMPLEX_DEMAND_MAGNITUDE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","KNEE_EXTENSOR_CONTACT_COMPLEX_M","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_T","KNEE_EXTENSOR_CONTACT_COMPLEX","T","T_COMPLEX_DEMAND_PROFILE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","KNEE_EXTENSOR_CONTACT_COMPLEX_T","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_EXTENSOR_CONTACT_COMPLEX_C","KNEE_EXTENSOR_CONTACT_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","KNEE_EXTENSOR_CONTACT_COMPLEX_C","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_M","CRUCIATE_LIGAMENT_COMPLEX","M","M_COMPLEX_DEMAND_MAGNITUDE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","CRUCIATE_LIGAMENT_COMPLEX_M","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_T","CRUCIATE_LIGAMENT_COMPLEX","T","T_COMPLEX_DEMAND_PROFILE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","CRUCIATE_LIGAMENT_COMPLEX_T","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_CRUCIATE_LIGAMENT_COMPLEX_C","CRUCIATE_LIGAMENT_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","CRUCIATE_LIGAMENT_COMPLEX_C","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_CORONAL_ROTATIONAL_KNEE_COMPLEX_M","CORONAL_ROTATIONAL_KNEE_COMPLEX","M","M_COMPLEX_DEMAND_MAGNITUDE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","CORONAL_ROTATIONAL_KNEE_COMPLEX_M","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_CORONAL_ROTATIONAL_KNEE_COMPLEX_T","CORONAL_ROTATIONAL_KNEE_COMPLEX","T","T_COMPLEX_DEMAND_PROFILE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","CORONAL_ROTATIONAL_KNEE_COMPLEX_T","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_CORONAL_ROTATIONAL_KNEE_COMPLEX_C","CORONAL_ROTATIONAL_KNEE_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","CORONAL_ROTATIONAL_KNEE_COMPLEX_C","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","ANKLE_PROPULSION_IMPACT_COMPLEX","M","M_COMPLEX_DEMAND_MAGNITUDE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","ANKLE_PROPULSION_IMPACT_COMPLEX_M","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","ANKLE_PROPULSION_IMPACT_COMPLEX","T","T_COMPLEX_DEMAND_PROFILE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","ANKLE_PROPULSION_IMPACT_COMPLEX_T","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","ANKLE_PROPULSION_IMPACT_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","ANKLE_PROPULSION_IMPACT_COMPLEX_C","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_LATERAL_ANKLE_STABILITY_COMPLEX_M","LATERAL_ANKLE_STABILITY_COMPLEX","M","M_COMPLEX_DEMAND_MAGNITUDE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","LATERAL_ANKLE_STABILITY_COMPLEX_M","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_LATERAL_ANKLE_STABILITY_COMPLEX_T","LATERAL_ANKLE_STABILITY_COMPLEX","T","T_COMPLEX_DEMAND_PROFILE","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","LATERAL_ANKLE_STABILITY_COMPLEX_T","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_LATERAL_ANKLE_STABILITY_COMPLEX_C","LATERAL_ANKLE_STABILITY_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","COMPLEX_ESTIMATE","LATERAL_ANKLE_STABILITY_COMPLEX_C","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
