"axisMetricRuleId","targetType","targetId","profileKind","axis","primaryMetricTypes","secondaryMetricTypes","forbiddenMetricTypes","allowedMeasurementFamilies","allowedNormalizationBases","requiredContextFields","comparisonFamily","rubricEligible","operationalFallbackEligible","biomechanicalMeaning","limitations","version"
"MTC_BRIDGE_KNEE_EXTENSOR_CONTACT_COMPLEX_M","FUNCTIONAL_COMPLEX","KNEE_EXTENSOR_CONTACT_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_COMPLEX_DEMAND_MAGNITUDE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","KNEE_EXTENSOR_CONTACT_COMPLEX_M","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_KNEE_EXTENSOR_CONTACT_COMPLEX_T","FUNCTIONAL_COMPLEX","KNEE_EXTENSOR_CONTACT_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_COMPLEX_DEMAND_PROFILE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","KNEE_EXTENSOR_CONTACT_COMPLEX_T","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_KNEE_EXTENSOR_CONTACT_COMPLEX_C","FUNCTIONAL_COMPLEX","KNEE_EXTENSOR_CONTACT_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","KNEE_EXTENSOR_CONTACT_COMPLEX_C","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_CRUCIATE_LIGAMENT_COMPLEX_M","FUNCTIONAL_COMPLEX","CRUCIATE_LIGAMENT_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_COMPLEX_DEMAND_MAGNITUDE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","CRUCIATE_LIGAMENT_COMPLEX_M","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_CRUCIATE_LIGAMENT_COMPLEX_T","FUNCTIONAL_COMPLEX","CRUCIATE_LIGAMENT_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_COMPLEX_DEMAND_PROFILE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","CRUCIATE_LIGAMENT_COMPLEX_T","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_CRUCIATE_LIGAMENT_COMPLEX_C","FUNCTIONAL_COMPLEX","CRUCIATE_LIGAMENT_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","CRUCIATE_LIGAMENT_COMPLEX_C","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_CORONAL_ROTATIONAL_KNEE_COMPLEX_M","FUNCTIONAL_COMPLEX","CORONAL_ROTATIONAL_KNEE_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_COMPLEX_DEMAND_MAGNITUDE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","CORONAL_ROTATIONAL_KNEE_COMPLEX_M","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_CORONAL_ROTATIONAL_KNEE_COMPLEX_T","FUNCTIONAL_COMPLEX","CORONAL_ROTATIONAL_KNEE_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_COMPLEX_DEMAND_PROFILE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","CORONAL_ROTATIONAL_KNEE_COMPLEX_T","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_CORONAL_ROTATIONAL_KNEE_COMPLEX_C","FUNCTIONAL_COMPLEX","CORONAL_ROTATIONAL_KNEE_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","CORONAL_ROTATIONAL_KNEE_COMPLEX_C","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","FUNCTIONAL_COMPLEX","ANKLE_PROPULSION_IMPACT_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_COMPLEX_DEMAND_MAGNITUDE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","ANKLE_PROPULSION_IMPACT_COMPLEX_M","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","FUNCTIONAL_COMPLEX","ANKLE_PROPULSION_IMPACT_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_COMPLEX_DEMAND_PROFILE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","ANKLE_PROPULSION_IMPACT_COMPLEX_T","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","FUNCTIONAL_COMPLEX","ANKLE_PROPULSION_IMPACT_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","ANKLE_PROPULSION_IMPACT_COMPLEX_C","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_LATERAL_ANKLE_STABILITY_COMPLEX_M","FUNCTIONAL_COMPLEX","LATERAL_ANKLE_STABILITY_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_COMPLEX_DEMAND_MAGNITUDE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","LATERAL_ANKLE_STABILITY_COMPLEX_M","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_LATERAL_ANKLE_STABILITY_COMPLEX_T","FUNCTIONAL_COMPLEX","LATERAL_ANKLE_STABILITY_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_COMPLEX_DEMAND_PROFILE","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","LATERAL_ANKLE_STABILITY_COMPLEX_T","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
"MTC_BRIDGE_LATERAL_ANKLE_STABILITY_COMPLEX_C","FUNCTIONAL_COMPLEX","LATERAL_ANKLE_STABILITY_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","","","COMPLEX_ESTIMATE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_FAMILY","LATERAL_ANKLE_STABILITY_COMPLEX_C","true","true","Complex-level estimate used only when direct child evidence is unavailable.","Parent-only fallback; never duplicated across every child tissue.","1.0.0"
