"diffId","applicationType","stableKey","conditionSelector","targetType","targetId","axis","c4aResearchScore","c4b1ResearchScore","operationalFallbackStatus","runtimeActivation","c4aCoefficientSetId","c4b1CoefficientSetId","changeReason"
"C4B1_DIFF_EX_BD072CD_ACHILLES_M","EXACT_CONDITION_DRAFT","ex_bd072cd","STANDING_BILATERAL_BODYWEIGHT_0_5_HZ","TENDON","ACHILLES_TENDON","M","","2.0000","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds a condition-bounded research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_5CA7133F_ACHILLES_M","EXACT_CONDITION_DRAFT","ex_5ca7133f","STANDING_UNILATERAL_BODYWEIGHT_0_5_HZ","TENDON","ACHILLES_TENDON","M","","4.0000","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds a condition-bounded research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_CB3C4DC2_PATELLAR_M","EXACT_CONDITION_DRAFT","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","TENDON","PATELLAR_TENDON","M","","3.0000","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_CB3C4DC2_PATELLAR_T","EXACT_CONDITION_DRAFT","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","TENDON","PATELLAR_TENDON","T","","3.0000","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_CB3C4DC2_PFJ_M","EXACT_CONDITION_DRAFT","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","JOINT","KNEE_PATELLOFEMORAL","M","","2.6897","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_CB3C4DC2_PFJ_T","EXACT_CONDITION_DRAFT","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","JOINT","KNEE_PATELLOFEMORAL","T","","2.7600","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_E2EFD0FE_PATELLAR_M","EXACT_CONDITION_DRAFT","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","TENDON","PATELLAR_TENDON","M","","2.7500","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_E2EFD0FE_PATELLAR_T","EXACT_CONDITION_DRAFT","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","TENDON","PATELLAR_TENDON","T","","3.0488","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_E2EFD0FE_PFJ_M","EXACT_CONDITION_DRAFT","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","JOINT","KNEE_PATELLOFEMORAL","M","","2.7586","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_E2EFD0FE_PFJ_T","EXACT_CONDITION_DRAFT","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","JOINT","KNEE_PATELLOFEMORAL","T","","3.0000","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds an exact-condition research score while preserving the C4A operational fallback."
"C4B1_DIFF_EX_64644B5E_PATELLAR_M","CLOSE_VARIANT_DRAFT","ex_64644b5e","BODYWEIGHT_FORWARD_NON_JUMPING_LUNGE_CONTROLLED","TENDON","PATELLAR_TENDON","M","","2.9375","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds a narrow variant research profile; no generic lunge override."
"C4B1_DIFF_EX_64644B5E_PATELLAR_T","CLOSE_VARIANT_DRAFT","ex_64644b5e","BODYWEIGHT_FORWARD_NON_JUMPING_LUNGE_CONTROLLED","TENDON","PATELLAR_TENDON","T","","3.2195","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds a narrow variant research profile; no generic lunge override."
"C4B1_DIFF_EX_64644B5E_PFJ_M","CLOSE_VARIANT_DRAFT","ex_64644b5e","BODYWEIGHT_FORWARD_NON_JUMPING_LUNGE_CONTROLLED","JOINT","KNEE_PATELLOFEMORAL","M","","2.8966","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds a narrow variant research profile; no generic lunge override."
"C4B1_DIFF_EX_64644B5E_PFJ_T","CLOSE_VARIANT_DRAFT","ex_64644b5e","BODYWEIGHT_FORWARD_NON_JUMPING_LUNGE_CONTROLLED","JOINT","KNEE_PATELLOFEMORAL","T","","3.0930","UNCHANGED","NOT_ACTIVATED","TISSUE_MTC_C4A_0_1_2","TISSUE_MTC_C4B1_0_2_0","Adds a narrow variant research profile; no generic lunge override."
