"profileId","complexId","axis","operationalScore","provenanceTier","confidence","rubricId","coefficientSetId"
"MTC_CONSERVATIVE_KNEE_EXTENSOR_CONTACT_COMPLEX_M","KNEE_EXTENSOR_CONTACT_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_KNEE_EXTENSOR_CONTACT_COMPLEX_T","KNEE_EXTENSOR_CONTACT_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_KNEE_EXTENSOR_CONTACT_COMPLEX_C","KNEE_EXTENSOR_CONTACT_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_KNEE_MENISCAL_CARTILAGE_COMPLEX_M","KNEE_MENISCAL_CARTILAGE_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_KNEE_MENISCAL_CARTILAGE_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_KNEE_MENISCAL_CARTILAGE_COMPLEX_T","KNEE_MENISCAL_CARTILAGE_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_KNEE_MENISCAL_CARTILAGE_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_KNEE_MENISCAL_CARTILAGE_COMPLEX_C","KNEE_MENISCAL_CARTILAGE_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_KNEE_MENISCAL_CARTILAGE_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_CRUCIATE_LIGAMENT_COMPLEX_M","CRUCIATE_LIGAMENT_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_CRUCIATE_LIGAMENT_COMPLEX_T","CRUCIATE_LIGAMENT_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_CRUCIATE_LIGAMENT_COMPLEX_C","CRUCIATE_LIGAMENT_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_CORONAL_ROTATIONAL_KNEE_COMPLEX_M","CORONAL_ROTATIONAL_KNEE_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
