"overrideId","canonicalAxisScoreId","stableKey","conditionSelector","sourceConditionId","targetType","targetId","axis","researchScore","correspondenceType","axisSpecificSimilarity","provenanceTier","confidence","rubricId","coefficientSetId","status","runtimeEligible"
"C4B1_OVERRIDE_EX_BD072CD_ACHILLES_M","C4B1_CANON_EX_BD072CD_ACHILLES_M","ex_bd072cd","STANDING_BILATERAL_BODYWEIGHT_0_5_HZ","C4B1_COND_28145739_STANDING_BILATERAL","TENDON","ACHILLES_TENDON","M","2.0000","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_ACHILLES_M_STRAIN","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_5CA7133F_ACHILLES_M","C4B1_CANON_EX_5CA7133F_ACHILLES_M","ex_5ca7133f","STANDING_UNILATERAL_BODYWEIGHT_0_5_HZ","C4B1_COND_28145739_UNILATERAL","TENDON","ACHILLES_TENDON","M","4.0000","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_ACHILLES_M_STRAIN","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_CB3C4DC2_PATELLAR_M","C4B1_CANON_EX_CB3C4DC2_PATELLAR_M","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","C4B1_COND_37847102_DL_SQUAT_FULL","TENDON","PATELLAR_TENDON","M","3.0000","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PATELLAR_M_PEAK","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_CB3C4DC2_PATELLAR_T","C4B1_CANON_EX_CB3C4DC2_PATELLAR_T","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","C4B1_COND_37847102_DL_SQUAT_FULL","TENDON","PATELLAR_TENDON","T","3.0000","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PATELLAR_T_IMPULSE","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_CB3C4DC2_PFJ_M","C4B1_CANON_EX_CB3C4DC2_PFJ_M","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","C4B1_COND_37272685_DL_SQUAT_FULL","JOINT","KNEE_PATELLOFEMORAL","M","2.6897","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PFJ_M_PEAK","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_CB3C4DC2_PFJ_T","C4B1_CANON_EX_CB3C4DC2_PFJ_T","ex_cb3c4dc2","BODYWEIGHT_DOUBLE_LEG_FULL_DEPTH_CONTROLLED","C4B1_COND_37272685_DL_SQUAT_FULL","JOINT","KNEE_PATELLOFEMORAL","T","2.7600","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PFJ_T_IMPULSE","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_E2EFD0FE_PATELLAR_M","C4B1_CANON_EX_E2EFD0FE_PATELLAR_M","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","C4B1_COND_37847102_BULGARIAN_SQUAT","TENDON","PATELLAR_TENDON","M","2.7500","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PATELLAR_M_PEAK","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_E2EFD0FE_PATELLAR_T","C4B1_CANON_EX_E2EFD0FE_PATELLAR_T","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","C4B1_COND_37847102_BULGARIAN_SQUAT","TENDON","PATELLAR_TENDON","T","3.0488","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PATELLAR_T_IMPULSE","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_E2EFD0FE_PFJ_M","C4B1_CANON_EX_E2EFD0FE_PFJ_M","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","C4B1_COND_37272685_BULGARIAN_SQUAT","JOINT","KNEE_PATELLOFEMORAL","M","2.7586","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PFJ_M_PEAK","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
"C4B1_OVERRIDE_EX_E2EFD0FE_PFJ_T","C4B1_CANON_EX_E2EFD0FE_PFJ_T","ex_e2efd0fe","BODYWEIGHT_BULGARIAN_SQUAT_CONTROLLED","C4B1_COND_37272685_BULGARIAN_SQUAT","JOINT","KNEE_PATELLOFEMORAL","T","3.0000","EXACT_PROTOCOL","1.0000","FULL_TEXT_EXACT_CONDITION","0.6500","C4B1_RUBRIC_PFJ_T_IMPULSE","TISSUE_MTC_C4B1_0_2_0","DRAFT_NON_PRODUCTION","false"
