"stableKey","canonicalMovementFamily","biomechanicalMovementFamily","mappingStatus"
"ex_201f6426","DEADLIFT_HINGE_VARIANTS","HINGE","AUDITED_APPLICABLE"
"ex_8633d8db","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_644e0f9d","CORE_FLEXION_ANTERIOR_CORE","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_8e4bf08e","ROW_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_389920ab","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","HINGE","AUDITED_APPLICABLE"
"ex_e4f911bb","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_debf6a8b","PUSH_UP_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_93538692","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_9523db82","DEADLIFT_HINGE_VARIANTS","HINGE","AUDITED_APPLICABLE"
"ex_72f11dc5","FOREARM_GRIP_ACCESSORY","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_95028bfe","FOREARM_GRIP_ACCESSORY","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_3a7d3eda","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_79f3bdbe","OVERHEAD_PRESS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_704cbf1a","STEP_UP_VARIANTS","STEP_UP","AUDITED_APPLICABLE"
"ex_281347da","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_da56a4fe","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_708e64ce","PULLOVER_LAT_CHEST_ACCESSORY","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_f6703b06","FOREARM_GRIP_ACCESSORY","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"barbell_deadlift","DEADLIFT_HINGE_VARIANTS","HINGE","AUDITED_APPLICABLE"
"ex_bb4b4276","OVERHEAD_PRESS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_fb67af37","PUSH_UP_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_6463edad","DIP_COMPOUND_PUSH_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_d20b7487","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_b4b198de","LUNGE_SPLIT_SQUAT_VARIANTS","LUNGE","AUDITED_APPLICABLE"
"ex_dc9e5953","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_64644b5e","LUNGE_SPLIT_SQUAT_VARIANTS","LUNGE","AUDITED_APPLICABLE"
"ex_b78a8f95","KNEE_EXTENSION_QUAD_ISOLATION","KNEE_EXTENSION","AUDITED_APPLICABLE"
"ex_2822ec2e","HAMSTRING_CURL_VARIANTS","KNEE_FLEXION","AUDITED_APPLICABLE"
"ex_ab468462","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","SQUAT","AUDITED_APPLICABLE"
"ex_c1a81cb2","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_d2bb7946","DEADLIFT_HINGE_VARIANTS","HINGE","AUDITED_APPLICABLE"
"ex_70f19bf","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_8a3800f1","QUAD_ECCENTRIC_KNEE_DOMINANT","KNEE_EXTENSION","AUDITED_APPLICABLE"
"ex_c8bcf3ce","LUNGE_SPLIT_SQUAT_VARIANTS","LUNGE","AUDITED_APPLICABLE"
"ex_8e18b02a","FOREARM_GRIP_ACCESSORY","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_dd2f732e","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_7deabeba","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_7176cbee","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_bb728af2","LUNGE_SPLIT_SQUAT_VARIANTS","LUNGE","AUDITED_APPLICABLE"
"ex_282a9d87","ROW_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_a9b52886","BODYWEIGHT_CONDITIONING_CORE","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_cb3c4dc2","SQUAT_VARIANTS","SQUAT","AUDITED_APPLICABLE"
"ex_4aa3725a","OVERHEAD_PRESS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_1dbee10e","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_f459ad2a","ROW_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_de46b7f6","ROW_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_e8ff8cfa","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_28347c1f","ANTI_ROTATION_ANTI_EXTENSION_CORE","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_deca2b61","DIP_TRICEPS_PUSH","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"barbell_bench_press","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NOT_APPLICABLE","AUDITED_NOT_APPLICABLE"
"ex_284ecca6","POSTERIOR_CHAIN_LOW_LOAD_CONTROL","HINGE","AUDITED_APPLICABLE"
"ex_1052e9fa","LUNGE_SPLIT_SQUAT_VARIANTS","LUNGE","AUDITED_APPLICABLE"
