"traceId","relationshipId","stableKey","complexId","axis","axisScaleId","researchScore","operationalScore","provenanceTier","confidence","fallbackRuleId","inheritanceLevel","resolutionPath","coefficientSetId","resolutionStatus"
"MTC_TRACE_MTC_REL_ex_201f6426_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","MTC_REL_ex_201f6426_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_201f6426","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_201f6426_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","MTC_REL_ex_201f6426_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_201f6426","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_201f6426_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","MTC_REL_ex_201f6426_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_201f6426","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_201f6426_ANKLE_PROPULSION_IMPACT_COMPLEX_M","MTC_REL_ex_201f6426_ANKLE_PROPULSION_IMPACT_COMPLEX","ex_201f6426","ANKLE_PROPULSION_IMPACT_COMPLEX","M","MTC_SCALE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_201f6426_ANKLE_PROPULSION_IMPACT_COMPLEX_T","MTC_REL_ex_201f6426_ANKLE_PROPULSION_IMPACT_COMPLEX","ex_201f6426","ANKLE_PROPULSION_IMPACT_COMPLEX","T","MTC_SCALE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_201f6426_ANKLE_PROPULSION_IMPACT_COMPLEX_C","MTC_REL_ex_201f6426_ANKLE_PROPULSION_IMPACT_COMPLEX","ex_201f6426","ANKLE_PROPULSION_IMPACT_COMPLEX","C","MTC_SCALE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_389920ab_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","MTC_REL_ex_389920ab_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_389920ab","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_389920ab_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","MTC_REL_ex_389920ab_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_389920ab","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_389920ab_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","MTC_REL_ex_389920ab_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_389920ab","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
"MTC_TRACE_MTC_REL_ex_9523db82_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","MTC_REL_ex_9523db82_POSTERIOR_KNEE_HAMSTRING_COMPLEX","ex_9523db82","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_BRIDGE_FALLBACK_4_MOVEMENT_FAMILY","MOVEMENT_FAMILY","EXACT_MISS>STABLE_KEY_MISS>VARIANT_MISS>MOVEMENT_FAMILY:HINGE","TISSUE_MTC_C4A_0_1_1","RESOLVED_OPERATIONAL_RESEARCH_UNKNOWN"
