"profileId","biomechanicalMovementFamily","complexId","axis","operationalScore","provenanceTier","confidence","rubricId","coefficientSetId"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_ANKLE_PROPULSION_IMPACT_COMPLEX_M","POGO_OR_REPEATED_HOP","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_ANKLE_PROPULSION_IMPACT_COMPLEX_T","POGO_OR_REPEATED_HOP","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_ANKLE_PROPULSION_IMPACT_COMPLEX_C","POGO_OR_REPEATED_HOP","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_LATERAL_ANKLE_STABILITY_COMPLEX_M","POGO_OR_REPEATED_HOP","LATERAL_ANKLE_STABILITY_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_LATERAL_ANKLE_STABILITY_COMPLEX_T","POGO_OR_REPEATED_HOP","LATERAL_ANKLE_STABILITY_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_LATERAL_ANKLE_STABILITY_COMPLEX_C","POGO_OR_REPEATED_HOP","LATERAL_ANKLE_STABILITY_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_MEDIAL_ANKLE_ARCH_COMPLEX_M","POGO_OR_REPEATED_HOP","MEDIAL_ANKLE_ARCH_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_MEDIAL_ANKLE_ARCH_COMPLEX_T","POGO_OR_REPEATED_HOP","MEDIAL_ANKLE_ARCH_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_POGO_OR_REPEATED_HOP_MEDIAL_ANKLE_ARCH_COMPLEX_C","POGO_OR_REPEATED_HOP","MEDIAL_ANKLE_ARCH_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_KNEE_EXTENSOR_CONTACT_COMPLEX_M","BADMINTON_FORWARD_LUNGE","KNEE_EXTENSOR_CONTACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_KNEE_EXTENSOR_CONTACT_COMPLEX_T","BADMINTON_FORWARD_LUNGE","KNEE_EXTENSOR_CONTACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_KNEE_EXTENSOR_CONTACT_COMPLEX_C","BADMINTON_FORWARD_LUNGE","KNEE_EXTENSOR_CONTACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_KNEE_MENISCAL_CARTILAGE_COMPLEX_M","BADMINTON_FORWARD_LUNGE","KNEE_MENISCAL_CARTILAGE_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_MENISCAL_CARTILAGE_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_KNEE_MENISCAL_CARTILAGE_COMPLEX_T","BADMINTON_FORWARD_LUNGE","KNEE_MENISCAL_CARTILAGE_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_MENISCAL_CARTILAGE_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
