"canonicalMovementFamily","biomechanicalMovementFamily","applicabilityComplexIds","mappingStatus","mappingBasis","version"
"ANKLE_STIFFNESS_SSC_CONDITIONING","POGO_OR_REPEATED_HOP","ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ANTI_ROTATION_ANTI_EXTENSION_CORE","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BADMINTON_OVERHEAD_POWER_TEST","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BADMINTON_REACTIVE_LUNGE_FOOTWORK","BADMINTON_FORWARD_LUNGE","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|CORONAL_ROTATIONAL_KNEE_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX|SYNDESMOTIC_ROTATIONAL_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BADMINTON_SESSION_SPORT_RECORDS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BALLISTIC_HINGE_POWER","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BODYWEIGHT_CONDITIONING_CORE","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BODYWEIGHT_CONDITIONING_POWER","VERTICAL_JUMP","KNEE_EXTENSOR_CONTACT_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"BODYWEIGHT_VERTICAL_PUSH_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","CALF_RAISE","ANKLE_PROPULSION_IMPACT_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"CARDIO_RECORDS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"CHEST_ISOLATION","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"CORE_FLEXION_ANTERIOR_CORE","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"DEADLIFT_HINGE_VARIANTS","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"DIP_COMPOUND_PUSH_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"DIP_TRICEPS_PUSH","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ELBOW_FLEXION_BICEPS_CURL_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","BADMINTON_FOOTWORK","CRUCIATE_LIGAMENT_COMPLEX|CORONAL_ROTATIONAL_KNEE_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX|SYNDESMOTIC_ROTATIONAL_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"FOREARM_GRIP_ACCESSORY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"GLUTE_ISOLATION_ACCESSORY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"HAMSTRING_CURL_VARIANTS","KNEE_FLEXION","POSTERIOR_KNEE_HAMSTRING_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"HIP_ABDUCTION_GLUTE_MED_ACCESSORY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"HIP_ADDUCTION_ACCESSORY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"HIP_THRUST_GLUTE_BRIDGE_VARIANTS","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"JUMP_LUNGE_PLYOMETRIC","JUMP_LUNGE","KNEE_EXTENSOR_CONTACT_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|CORONAL_ROTATIONAL_KNEE_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"KNEE_DOMINANT_ISOMETRIC","KNEE_EXTENSION","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"KNEE_EXTENSION_QUAD_ISOLATION","KNEE_EXTENSION","KNEE_EXTENSOR_CONTACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
