"seedId","title","authorsOrLeadAuthor","year","journal","pmid","pmcid","doi","kciArticleId","language","targetComplexIds","targetTissueIds","candidateAxes","reportedMetrics","exerciseConditions","evidenceRelationCandidate","sourcePriority","accessStatus","verificationStatus","publicationIntegrityStatus","intendedUse","knownLimitations","notes"
"TISSUE_MTC_SEED_001","Exercise Progression to Incrementally Load the Achilles Tendon","Baxter JR|Corrigan P|Hullfish TJ|O'Rourke P|Silbernagel KG","2021","Medicine and science in sports and exercise","32658037","","10.1249/MSS.0000000000002459","","en","ANKLE_PROPULSION_IMPACT_COMPLEX","ACHILLES_TENDON","M|T|C","peak tendon force, impulse, loading rate","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Critical limitation: retain the source composite only as source-specific","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_002","Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries","Scattone Silva R|Song KE|Hullfish TJ|Sprague A|Silbernagel KG|Baxter JR","2024","Medicine and science in sports and exercise","37847102","PMC10925836","10.1249/MSS.0000000000003323","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","peak, impulse, loading rate","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Critical limitation: do not adopt the source composite as a universal app score","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_003","Patellofemoral Joint Loading Progression Across 35 Weightbearing Rehabilitation Exercises and Activities of Daily Living","Song K|Scattone Silva R|Hullfish TJ|Silbernagel KG|Baxter JR","2023","The American journal of sports medicine","37272685","PMC10315869","10.1177/03635465231175160","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Critical limitation: separate peak, impulse, and loading rate; composite remains source-specific","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_004","Free Achilles tendon strain during selected rehabilitation, locomotor, jumping, and landing tasks","Devaprakash D|Graham DF|Barrett RS|Lloyd DG|Obst SJ|Kennedy B|Adams KL|Kiely RJ|Hunter A|Vlahovich N|Pease DL|Shim VB|Besier TF|Zheng M|Cook JL|Pizzolato C","2022","Journal of applied physiology (Bethesda, Md. : 1985)","35142563","","10.1152/japplphysiol.00662.2021","","en","ANKLE_PROPULSION_IMPACT_COMPLEX","ACHILLES_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","DIRECT_INTERNAL_MEASUREMENT","HIGH","PUBMED_INDEXED","METRIC_EXTRACTED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_005","Human Achilles tendon plasticity in response to cyclic strain: effect of rate and duration","Bohm S|Mersmann F|Tettke M|Kraft M|Arampatzis A","2014","The Journal of experimental biology","25267851","","10.1242/jeb.112268","","en","ANKLE_PROPULSION_IMPACT_COMPLEX","ACHILLES_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","tendon-strain magnitude and duration calibration context","- Do not use as an exercise-specific claim without exact protocol mapping","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_006","Adaptational responses of the human Achilles tendon by modulation of the applied cyclic strain magnitude","Arampatzis A|Karamanidis K|Albracht K","2007","The Journal of experimental biology","17644689","","10.1242/jeb.003814","","en","ANKLE_PROPULSION_IMPACT_COMPLEX","ACHILLES_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","DIRECT_INTERNAL_MEASUREMENT","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","tendon strain-magnitude calibration context","- Do not treat adaptation thresholds as injury thresholds","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_007","Faster Movement Speed Results in Greater Tendon Strain during the Loaded Squat Exercise","Earp JE|Newton RU|Cormie P|Blazevich AJ","2016","Frontiers in physiology","27630574","PMC5005367","10.3389/fphys.2016.00366","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","DIRECT_INTERNAL_MEASUREMENT","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","movement-speed context","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_008","Quantification of patellar tendon strain and opportunities for personalized tendon loading during back squats","Weidlich K|Mersmann F|Domroes T|Schroll A|Bohm S|Arampatzis A","2023","Scientific reports","37248376","PMC10226975","10.1038/s41598-023-35441-9","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","40%, 60%, 80% 1RM","DIRECT_INTERNAL_MEASUREMENT","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","patellar-tendon M/C","- Critical limitation: preserve inter-individual variability","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_009","Patellofemoral joint kinetics while squatting with and without an external load","Wallace DA|Salem GJ|Salinas R|Powers CM","2002","The Journal of orthopaedic and sports physical therapy","11949662","","10.2519/jospt.2002.32.4.141","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_010","Knee Joint Loading in Healthy Adults During Functional Exercises: Implications for Rehabilitation Guidelines","van Rossom S|Smith CR|Thelen DG|Vanwanseele B|Van Assche D|Jonkers I","2018","The Journal of orthopaedic and sports physical therapy","29308697","","10.2519/jospt.2018.7459","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","VALIDATED_INTERNAL_MODEL","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
