"sourceId","pmid","doi","pubmedPublicationTypes","pubmedCommentsCorrections","pubmedLinkedNotices","crossrefRelationTypes","crossrefUpdateTo","crossrefUpdatedBy","publisherNoticeStatus","publisherNoticeReference","integrityCheckStatus","checkedAt","verificationMethod","metadataSnapshotHash","integrityNotes"
"PREFLIGHT_32658037","32658037","10.1249/MSS.0000000000002459","Journal Article|Research Support, Non-U.S. Gov't","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.1249/MSS.0000000000002459","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","a6ed2520f4edfc36a030d95fda01e5b9bf3e883e0caa68723d9e6c993b2936a9","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
"SRC_PMID_10656979","10656979","10.1016/S0268-0033(99)00063-7","Journal Article|Research Support, Non-U.S. Gov't","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_CHECKED_NO_LINKED_NOTICE_BANNER_FOUND","https://doi.org/10.1016/S0268-0033(99)00063-7","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","acbfa10c734e258c597b97bedab4f7c924d93485cb8716a66727fae6810d8b9f","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist."
"SRC_PMID_11949662","11949662","10.2519/jospt.2002.32.4.141","Comparative Study|Journal Article|Research Support, Non-U.S. Gov't","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.2519/jospt.2002.32.4.141","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","bd8a96998aeae9d37fb85c9b7ba7ad457782036cf6cef48e1c5c4c7721997430","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
"SRC_PMID_18632195","18632195","10.1016/j.clinbiomech.2008.05.002","Comparative Study|Journal Article","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_CHECKED_NO_LINKED_NOTICE_BANNER_FOUND","https://doi.org/10.1016/j.clinbiomech.2008.05.002","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","a3b6d2cba1e96c1caa2b6a8a7fe7d51c012e56db864e124cd4b75d99879f8639","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist."
"SRC_PMID_28145739","28145739","10.4085/1062-6050-52.1.04","Controlled Clinical Trial|Journal Article","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_CHECKED_NO_LINKED_NOTICE_BANNER_FOUND","https://doi.org/10.4085/1062-6050-52.1.04","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","f8048f1f0ffbb6fbb18b72b44cd359b8d7be945bff18a97b2245085148f4b9da","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist."
"SRC_PMID_30923576","30923576","10.1186/s13047-019-0330-5","Journal Article","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.1186/s13047-019-0330-5","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","b3836ac02753dd72f6f3d4701920b30f2fe73b79fe2ec8b0e931aae23381a4d9","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
"SRC_PMID_31593498","31593498","10.1177/0363546519876074","Journal Article|Research Support, N.I.H., Extramural","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.1177/0363546519876074","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","1834376e6f9dc14892ebfd7654f9d73cffc080d1bb32da4cbd05c6bb079e0a32","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
"SRC_PMID_37272685","37272685","10.1177/03635465231175160","Journal Article|Research Support, N.I.H., Extramural","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.1177/03635465231175160","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","118c5f514ea21439c815aa3b5e756173ef5c75b75cf2b171ee8c24d56a19611e","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
"SRC_PMID_37847102","37847102","10.1249/MSS.0000000000003323","Journal Article|Research Support, N.I.H., Extramural","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.1249/MSS.0000000000003323","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","e2367b4c52cb94860b9c7643dc7f963dce0a4e4bc2b09606f863c3c483e23e58","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
"SRC_PMID_8947402","8947402","10.1177/036354659602400615","Clinical Trial|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't","NONE","NONE","NONE","NONE","NONE","PUBLISHER_PAGE_UNAVAILABLE","https://doi.org/10.1177/036354659602400615","NO_ADVERSE_NOTICE_FOUND","2026-07-14T00:00:00Z","PUBMED_EFETCH_XML+CROSSREF_RELATION_API+OFFICIAL_PUBLISHER_NOTICE_CHECK","0cba617b7409d975a93c8f1b8ed84b803bea3579ef7ff8178eadedf6f7956721","No adverse notice was found in the checked authoritative metadata as of 2026-07-14T00:00:00Z. This is not a guarantee that no future notice can exist. Official publisher page unavailable: 원격 서버에서 (403) 사용할 수 없음 오류를 반환했습니다."
