"code","domain","citation","use","url"
"META01","운동 메타데이터","WhatYouGottaDo main training_settings_seed.csv","239개 운동 StableKey와 movement_pattern/force_type/body_region 등 권위 입력","https://raw.githubusercontent.com/Mascollel-Ko/WhatYouGottaDo/main/app/src/main/assets/training_settings_seed.csv"
"U01","상지 관절부하","An et al., 1990, Kinematic and kinetic analysis of push-up exercise","푸시업의 손목·팔꿈치·어깨 관절 부하 연결","https://pubmed.ncbi.nlm.nih.gov/2334780/"
"U02","어깨 건·관절","Escamilla et al., 2009, Shoulder muscle activity and function in common shoulder rehabilitation exercises","회전근개와 견관절 운동별 기능 분류","https://pubmed.ncbi.nlm.nih.gov/19769415/"
"U03","견갑·쇄골","Ichihashi et al., 2014, Kinematic characteristics of scapula and clavicle during military press","수직 프레스의 견갑·쇄골 복합체 분리 근거","https://pubmed.ncbi.nlm.nih.gov/24439246/"
"U04","견갑 운동학","Suprak et al., 2013, Scapular kinematics and shoulder elevation in a traditional push-up","푸시업에서 견갑흉곽 기능관절 매핑","https://pubmed.ncbi.nlm.nih.gov/23952043/"
"U05","프레스 관절역학","Evangelista et al., 2025, Link-chain model of bench press and overhead press","벤치·오버헤드 프레스의 어깨·팔꿈치 관절 연결","https://pubmed.ncbi.nlm.nih.gov/40843853/"
"U06","삼두근건","Maeo et al., 2023, Triceps hypertrophy after overhead versus neutral elbow extension","오버헤드와 중립 팔꿈치 신전의 장두·견관절 맥락 구분","https://pubmed.ncbi.nlm.nih.gov/35819335/"
"U07","견관절 노출","Riek et al., 2013, Circuit resistance training and mechanical impingement exposure","어깨 운동의 관절와상완·견갑 운동학 노출 근거","https://pubmed.ncbi.nlm.nih.gov/24030158/"
"U08","수평 프레스","Lauver et al., 2016, Influence of bench angle on upper-extremity muscular activation","벤치 각도에 따른 대흉근·삼각근·삼두근 부하 분배","https://pubmed.ncbi.nlm.nih.gov/25799093/"
"U09","수직 당기기","Andersen et al., 2014, Grip width effects in lat pull-down","수직 당기기의 광배·이두·그립 연결","https://pubmed.ncbi.nlm.nih.gov/24662157/"
"U10","요척 회전·이두근건","Smart et al., 2018, Forearm orientation and biceps tendon mechanics","회내·중립·회외에 따른 원위 이두근건과 요척 회전 맥락","https://pubmed.ncbi.nlm.nih.gov/29954597/"
"U11","오버헤드 상지","Escamilla & Andrews, 2009, Shoulder muscle recruitment in overhead throwing","라켓·메디신볼·오버헤드 동작의 회전근개·팔꿈치 안정화","https://pubmed.ncbi.nlm.nih.gov/19530752/"
"U12","손가락 굴곡건","Sapienza et al., 2013, Flexor tendon excursion and load during simulated motion","손가락 굴곡건·활차 분석 단위와 반복 활주 부하","https://pubmed.ncbi.nlm.nih.gov/23221181/"
"U13","방향전환","Dos'Santos et al., 2021, Biomechanical determinants of change-of-direction performance and injury risk","COD의 고관절·무릎·발목·골반 복합체 연결","https://pubmed.ncbi.nlm.nih.gov/33811615/"
"U14","러닝","Heiderscheit et al., 2011, Step-rate manipulation and joint mechanics during running","러닝의 고관절·무릎·발목 부하 연결","https://pubmed.ncbi.nlm.nih.gov/20581720/"
"J01","관절","Song et al., 2023 — Patellofemoral Joint Loading Progression Across 35 Weightbearing Rehabilitation Exercises and Activities of Daily Living","동일 코호트 35개 운동 PFJ peak/rate/impulse 및 loading index","https://pmc.ncbi.nlm.nih.gov/articles/PMC10315869/"
"J02","관절","Escamilla et al., 2001 — Effects of Technique Variations on Knee Biomechanics During the Squat and Leg Press","스쿼트·고/저 발위치 레그프레스 무릎 힘 비교","https://pubmed.ncbi.nlm.nih.gov/11528346/"
"J03","관절","Sjöberg et al., 2021 — Comparison of Joint and Muscle Biomechanics in Maximal Flywheel Squat and Leg Press","스쿼트와 레그프레스 관절모멘트·근력 비교","https://pmc.ncbi.nlm.nih.gov/articles/PMC8374053/"
