exerciseStableKey,doseKind,bodyweightFactor,addedLoadFactor,loadSemantics,compatibilityMode,sourceStableKey,provenance
band_pallof_press,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_99728d25,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
barbell_reverse_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_dd2f732e,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
barbell_reverse_wrist_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_8e18b02a,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
cable_hip_adduction,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_eaea872c,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
cable_overhead_triceps_extension,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_a9e8859c,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
cable_pallof_press,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_99728d25,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
cable_rear_delt_fly,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_7176cbee,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
chest_supported_row_machine,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_8e51640a,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_chest_supported_row,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_8e51640a,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_farmer_carry,LOAD_TIME,,,recordedWeightKg * confirmedSeconds; no distance or per-hand multiplier,EXACT_STABLE_KEY_ONLY,ex_a1fc4533,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_goblet_squat,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_ac7df636,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_lying_triceps_extension,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_d20b7487,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_overhead_triceps_extension,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_a9e8859c,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_preacher_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_e994008a,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_rear_delt_fly,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_7176cbee,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_reverse_wrist_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_8e18b02a,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_single_leg_rdl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,single_leg_rdl,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
dumbbell_spider_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_516f4456,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
ez_bar_lying_triceps_extension,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_d20b7487,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
ez_bar_preacher_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_e994008a,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
ez_bar_reverse_curl,WEIGHTED_REPETITION,,,recordedWeightKg * reps,EXACT_STABLE_KEY_ONLY,ex_dd2f732e,MATERIALIZED_FROM_APPROVED_EQUIPMENT_SPLIT
