"번호","sourceSegment","exerciseStableKey","운동명","bodyRegion","category","forceType","movementPattern","movementCategory","laterality","plane","equipmentTags","primaryMuscles","secondaryMuscles","scapularDemand","hipDemand","legacyJointEmphasis","jointEmphasisAuthority","운동군","운동군_ko","연구구분","대표연구운동","scoreStatus","scoreRowCount","mappedLoadUnitStableKeys","mappedJointComplexStableKeys","mappedComponentTissueStableKeys","mappedLoadUnitCount","P_load_profile","DoseBasis","DoseUnit","DoseRule","metadataUpdatedAt","description"
"1","LOWER_90","ex_201f6426","B-스탠스 RDL","LOWER","근력운동","HINGE","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","UNILATERAL","SAGITTAL","바벨|덤벨","햄스트링/둔근","척추기립근/골반안정근","","HIP_EXTENSION|PELVIC_STABILITY","HIP|SPINE","DEPRECATED_AFTER_NEW_MAP","HIP_HINGE","","신규 연구","N","EXISTING_SCORE_MIGRATED","7","lu_27b4a0df1d|lu_348ac6b7a6|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ae763d5994","tissue_06987e1084|tissue_1eaf4d14d8|tissue_21a56b379e|tissue_50091b2878|tissue_7f007308a0|tissue_bacab6a4b8|tissue_c9d3826a11|tissue_e4bd028575|tissue_ea550bfa51|tissue_f41bde5976","7","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","발을 앞뒤로 작게 벌려 앞다리에 대부분의 부하를 싣고 내려간다. 후면사슬 편측 보조운동으로 적합하다."
"2","UPPER_95","ex_8633d8db","EZ바 컬","UPPER","근력운동","ISOLATION","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","BILATERAL","SAGITTAL","EZ바","이두근","상완요골근/전완근","","","ELBOW|WRIST","DEPRECATED_AFTER_NEW_MAP","CURL_SUPINATED","회외·중립 이두 컬","운동군 전이","N","RESEARCH_CORRECTED_V0.2","11","lu_0fff8b2ee4|lu_1b115c8b4f|lu_52a0b0ba44|lu_6573d7bf8a|lu_8af4d2c3e7|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_c738cc0a37|lu_dec56c15d8|lu_e11d5f58a5","jc_0876f954f2|jc_6e7ae18e56|jc_7ac0533b9d|jc_eadfb381fa","tissue_1e675db416|tissue_21f8300cc1|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_4360531007|tissue_45c03145ee|tissue_4608205e92|tissue_5a830323a8|tissue_6ab8c8af59|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_a5051659e6|tissue_af7cdbd941|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","EZ바를 잡고 팔꿈치를 고정해 말아 올린다. 손목 부담을 줄이면서 이두 볼륨을 쌓기 좋다."
"3","REMAINING_54","ex_644e0f9d","V업","TRUNK","근력운동","CORE","CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY","ACCESSORY","BILATERAL","SAGITTAL","맨몸","복직근","고관절굴곡근/코어","","","SPINE|HIP","DEPRECATED_AFTER_NEW_MAP","CORE_FLEXION","몸통 굴곡·고관절 굴곡","대표 연구","Y","SCORED_RESEARCH_DRAFT","10","lu_45688de60a|lu_50d1389a95|lu_6e950505da|lu_9462525798|lu_a18a644473|lu_a9651bd8d7|lu_cd23e2d8c0|lu_d967354bce|lu_f037b5f8ea|lu_ff559f42cd","jc_209871f411|jc_5c5aab6f67|jc_864898a64c|jc_ae763d5994","tissue_06987e1084|tissue_09652eadcf|tissue_1d2e8944ba|tissue_21a56b379e|tissue_50091b2878|tissue_58cb5518ad|tissue_599a0d89b2|tissue_ad800125ab|tissue_bb60f64b7d|tissue_caedb51e8e|tissue_d9a6eaf6d0|tissue_f41bde5976","10","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","bodyWeightCoefficient × reps × sets × ROM × effortModifier","1781278881407","팔과 다리를 동시에 들어 몸을 접는다. 허리가 과하게 뜨지 않게 짧은 범위부터 통제한다."
"4","UPPER_95","ex_8e4bf08e","Yates Row","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","BILATERAL","TRANSVERSE","바벨","광배근/능형근","후면삼각근/이두근","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_UNSUPPORTED","비지지 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","22","lu_0a858e59a0|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_c738cc0a37|lu_d5838e52ca|lu_dec56c15d8|lu_e11d5f58a5|lu_f037b5f8ea","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_7ac0533b9d|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_21f8300cc1|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_4608205e92|tissue_514b348f95|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_af7cdbd941|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","22","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","상체를 약간 숙이고 언더핸드로 배 쪽을 향해 당긴다. 도리안 예이츠의 등 훈련으로 알려진 고중량 로우다."
"5","LOWER_90","ex_389920ab","글루트 브릿지","LOWER","근력운동","HINGE","HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY","STRENGTH","BILATERAL","SAGITTAL","바벨|맨몸","둔근","햄스트링/코어","","HIP_EXTENSION","HIP","DEPRECATED_AFTER_NEW_MAP","HIP_EXTENSION","","신규 연구","N","EXISTING_SCORE_MIGRATED","6","lu_27b4a0df1d|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ae763d5994","tissue_06987e1084|tissue_21a56b379e|tissue_50091b2878|tissue_7f007308a0|tissue_bacab6a4b8|tissue_e4bd028575|tissue_ea550bfa51|tissue_f41bde5976","6","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","등을 바닥에 두고 엉덩이를 들어 올린다. 허리를 꺾지 않고 둔근으로 골반을 펴는 감각을 확인한다."
"6","UPPER_95","ex_e4f911bb","네거티브 풀업","UPPER","근력운동","PULL","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|ECCENTRIC_PULLING","STRENGTH","BILATERAL","FRONTAL","맨몸","광배근/대원근","이두근/전완근/견갑안정근","SCAPULAR_DEPRESSION|SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","VERTICAL_PULL_NEGATIVE","편심 수직 당기기","운동군 전이","N","SCORED_RESEARCH_DRAFT","21","lu_0a858e59a0|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_9cf6b4fc69|lu_9db157ba90|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8d017eed91|tissue_8e5c3b2414|tissue_95b1b0da1b|tissue_976c1a9c26|tissue_9ab4c9cc90|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","21","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","1.00 × bodyWeight × reps × sets × ROM × effortModifier","1781278881407","위에서 시작해 천천히 내려온다. 풀업 반복 수가 부족한 날에도 당기는 힘과 견갑 제어를 연습할 수 있다."
"7","UPPER_95","ex_debf6a8b","다이아몬드 푸시업","UPPER","근력운동","PUSH","PUSH_HORIZONTAL|CHEST_STRENGTH|TRICEPS_EMPHASIS","STRENGTH","BILATERAL","TRANSVERSE","맨몸","삼두근/대흉근","전면삼각근/코어","SCAPULAR_CONTROL_LIGHT","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","PUSHUP_DIAMOND","다이아몬드 푸시업","운동군 전이","N","SCORED_RESEARCH_DRAFT","13","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_63101fe8b2|lu_889f90c55d|lu_8df6cfe570|lu_9244162017|lu_a706efdddb|lu_bdb58738eb|lu_d5838e52ca|lu_dec56c15d8|lu_fb7a2d91e6","jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_36333205dc|tissue_514b348f95|tissue_5a54f92c2b|tissue_5a830323a8|tissue_5b2967ff08|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e","13","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","0.70 × bodyWeight × reps × sets × ROM × effortModifier","1781278881407","양손을 좁게 모아 푸시업을 한다. 팔꿈치가 과하게 벌어지지 않게 하며 삼두와 가슴 안쪽 자극을 기록한다."
"8","UPPER_95","ex_93538692","덤벨 래터럴 레이즈","UPPER","근력운동","ISOLATION","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY","ACCESSORY","BILATERAL","FRONTAL","덤벨","측면삼각근","상부승모근/회전근개","SCAPULAR_CONTROL_LIGHT","","SHOULDER","DEPRECATED_AFTER_NEW_MAP","LATERAL_RAISE","견관절 외전 레이즈","대표 연구","Y","SCORED_RESEARCH_DRAFT","9","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_6573d7bf8a|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_ffd0b0e192","tissue_1e675db416|tissue_36333205dc|tissue_514b348f95|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_ed3eafe58e|tissue_fcc58a85e8","9","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","덤벨 래터럴 레이즈: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 측면삼각근이고, 상부승모근/회전근개이 흔들리지 않게 보조한다."
"9","LOWER_90","ex_9523db82","덤벨 루마니안 데드리프트","LOWER","근력운동","HINGE","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","BILATERAL","SAGITTAL","덤벨","햄스트링/둔근","척추기립근/광배근/코어","","HIP_EXTENSION","HIP|SPINE","DEPRECATED_AFTER_NEW_MAP","HIP_HINGE","","신규 연구","N","EXISTING_SCORE_MIGRATED","7","lu_27b4a0df1d|lu_9b1d33a6fa|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ad7382e4b2|jc_ae763d5994","tissue_06987e1084|tissue_21a56b379e|tissue_50091b2878|tissue_5e8a64ca23|tissue_7f007308a0|tissue_bacab6a4b8|tissue_e4bd028575|tissue_e6b6f00bf8|tissue_ea550bfa51|tissue_ebf759c79b|tissue_f41bde5976","7","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","덤벨을 허벅지 앞에 두고 엉덩이를 뒤로 보내며 내려간다. 햄스트링이 늘어나는 범위 안에서 등을 유지한다."
"10","UPPER_95","ex_72f11dc5","덤벨 리스트 익스텐션","UPPER","근력운동","ISOLATION","WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT","ACCESSORY","BILATERAL","SAGITTAL","덤벨","손목신전근/전완근","그립","","","WRIST","DEPRECATED_AFTER_NEW_MAP","WRIST_EXTENSION","손목 신전","대표 연구","Y","SCORED_RESEARCH_DRAFT","5","lu_0fff8b2ee4|lu_6573d7bf8a|lu_8af4d2c3e7|lu_c11995f705|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56","tissue_1e675db416|tissue_2e1ef7f7e0|tissue_4360531007|tissue_5a830323a8|tissue_a19cc622c3|tissue_ba1d866e61|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_fcc58a85e8","5","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","손등을 위로 들어 손목 신전근을 훈련한다. 스매시와 라켓 제어 후 손목 균형을 맞추는 보조운동이다."
