"exerciseStableKey","운동명","bodyRegion","category","forceType","movementCategory","executionLaterality(D_CONTEXT_ONLY)","defaultProtocolClass","diProfileId","functionalCurveId","jointProtectionCurveId","fastMechanicalCurveId","biologicalCurveRouting","runtimeFlags","mappingStatus","scoreAuthority"
"ex_201f6426","B-스탠스 RDL","LOWER","근력운동","HINGE","STRENGTH","UNILATERAL","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_8633d8db","EZ바 컬","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_644e0f9d","V업","TRUNK","근력운동","CORE","ACCESSORY","BILATERAL","TRUNK_DYNAMIC_CONTROLLED","DI_BODYWEIGHT_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|ROM_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_8e4bf08e","Yates Row","UPPER","근력운동","PULL","STRENGTH","BILATERAL","UPPER_COMPOUND_HORIZONTAL_PULL","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_389920ab","글루트 브릿지","LOWER","근력운동","HINGE","STRENGTH","BILATERAL","LOCAL_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_NOVELTY_ESCALATABLE|FAILURE_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_e4f911bb","네거티브 풀업","UPPER","근력운동","PULL","STRENGTH","BILATERAL","UPPER_ECCENTRIC_PULL","DI_BODYWEIGHT_REP","RCV_FUNC_ECCENTRIC_DELAYED","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","DELAYED_PEAK|ECCENTRIC_NOVELTY_TRACK|ECCENTRIC_SECONDS_REQUIRED|GRIP_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_debf6a8b","다이아몬드 푸시업","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_BODYWEIGHT_WRIST_BEARING","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_CARTILAGE_UPPER_PROXY","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|WRIST_EXTENSION_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_93538692","덤벨 래터럴 레이즈","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_9523db82","덤벨 루마니안 데드리프트","LOWER","근력운동","HINGE","STRENGTH","BILATERAL","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_72f11dc5","덤벨 리스트 익스텐션","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_GRIP_FOREARM","DI_WEIGHTED_REP","RCV_GRIP_FOREARM_FAST","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_95028bfe","덤벨 리스트 컬","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_GRIP_FOREARM","DI_WEIGHTED_REP","RCV_GRIP_FOREARM_FAST","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_3a7d3eda","덤벨 벤치프레스","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_COMPOUND_HORIZONTAL_PUSH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE|WRIST_BEARING_IF_BODYWEIGHT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_79f3bdbe","덤벨 숄더프레스","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_OVERHEAD_PUSH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|OVERHEAD_VOLUME|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_704cbf1a","덤벨 스텝업","LOWER","근력운동","LOWER_BODY","STRENGTH","ALTERNATING","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_281347da","덤벨 컬","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_da56a4fe","덤벨 킥백","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_708e64ce","덤벨 풀오버","UPPER","근력운동","PULL","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_f6703b06","덤벨 프로네이션/수피네이션","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_GRIP_FOREARM","DI_WEIGHTED_REP","RCV_GRIP_FOREARM_FAST","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"barbell_deadlift","데드리프트","LOWER","근력운동","HINGE","STRENGTH","BILATERAL","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_bb4b4276","등받이 없는 덤벨 시티드 숄더프레스","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_OVERHEAD_PUSH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|OVERHEAD_VOLUME|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_fb67af37","디클라인 푸시업","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_BODYWEIGHT_WRIST_BEARING","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_CARTILAGE_UPPER_PROXY","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|WRIST_EXTENSION_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_6463edad","딥스","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_DIP_PUSH","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_CARTILAGE_UPPER_PROXY","BY_LOAD_UNIT_RECOVERY_CLASS","ANTERIOR_SHOULDER_OVERRIDE|DEPTH_CONTEXT|FAILURE_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_d20b7487","라잉 트라이셉스 익스텐션","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_b4b198de","래터럴 런지","LOWER","근력운동","LOWER_BODY","STRENGTH","ALTERNATING","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_dc9e5953","랫풀다운","UPPER","근력운동","PULL","STRENGTH","BILATERAL","UPPER_VERTICAL_PULL","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_64644b5e","런지","LOWER","근력운동","LOWER_BODY","STRENGTH","ALTERNATING","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_b78a8f95","레그 익스텐션","LOWER","근력운동","ISOLATION","ACCESSORY","BILATERAL","LOCAL_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_NOVELTY_ESCALATABLE|FAILURE_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_2822ec2e","레그 컬","LOWER","근력운동","ISOLATION","ACCESSORY","BILATERAL","LOCAL_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_NOVELTY_ESCALATABLE|FAILURE_ESCALATABLE|GRIP_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_ab468462","레그 프레스","LOWER","근력운동","LOWER_BODY","STRENGTH","BILATERAL","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_c1a81cb2","로프 해머 컬","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_d2bb7946","루마니안 데드리프트","LOWER","근력운동","HINGE","STRENGTH","BILATERAL","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_70f19bf","리닝 래터럴 레이즈","UPPER","근력운동","ISOLATION","ACCESSORY","UNILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_8a3800f1","리버스 노르딕 컬","LOWER","근력운동","ECCENTRIC","SUPPORT","BILATERAL","HIGH_ECCENTRIC_LENGTHENING","DI_BODYWEIGHT_REP","RCV_FUNC_ECCENTRIC_DELAYED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","DELAYED_PEAK|ECCENTRIC_NOVELTY_TRACK|GRIP_CONTEXT|NOVELTY_REQUIRED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_c8bcf3ce","리버스 런지","LOWER","근력운동","LOWER_BODY","STRENGTH","ALTERNATING","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_8e18b02a","리버스 리스트 컬","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_GRIP_FOREARM","DI_WEIGHTED_REP","RCV_GRIP_FOREARM_FAST","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_dd2f732e","리버스 컬","UPPER","근력운동","ISOLATION","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_7deabeba","리어델트 케이블 플라이","UPPER","근력운동","PULL","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_7176cbee","리어델트 플라이","UPPER","근력운동","PULL","ACCESSORY","BILATERAL","UPPER_LOCAL_CONTROLLED","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_bb728af2","리어풋 엘리베이티드 스플릿 스쿼트","LOWER","근력운동","LOWER_BODY","STRENGTH","ALTERNATING","COMPOUND_CONTROLLED_STRENGTH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_282a9d87","링 로우","UPPER","근력운동","PULL","STRENGTH","BILATERAL","UPPER_COMPOUND_HORIZONTAL_PULL","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|GRIP_CONTEXT|GRIP_RPE_RECOMMENDED","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_a9b52886","마운틴 클라이머","WHOLE_BODY","근력운동","MIXED","CONDITIONING","ALTERNATING","FULL_BODY_CONDITIONING","DI_SPORT_SESSION","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_CARTILAGE_FAST_LOWER","BY_LOAD_UNIT_RECOVERY_CLASS","CONTACT_DENSITY_OPTIONAL|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_cb3c4dc2","맨몸 스쿼트","LOWER","근력운동","LOWER_BODY","STRENGTH","BILATERAL","LOCAL_CONTROLLED_STRENGTH","DI_BODYWEIGHT_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","ECCENTRIC_NOVELTY_ESCALATABLE|FAILURE_ESCALATABLE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
"ex_4aa3725a","머신 숄더프레스","UPPER","근력운동","PUSH","STRENGTH","BILATERAL","UPPER_OVERHEAD_PUSH","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","BY_LOAD_UNIT_RECOVERY_CLASS","FAILURE_ESCALATABLE|OVERHEAD_VOLUME|SHOULDER_SYMPTOM_OVERRIDE","COMPLETE","REL-MSCP-D-INTEGRATED-0.3_UNSIDED / 전체239_통합롱"
