"protocolClass","설명","diProfile","기능곡선","관절보호곡선","급성기계곡선","runtime flags","운동 수"
"LOCAL_CONTROLLED_STRENGTH","하지 국소·보조 근력","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","FAILURE_ESCALATABLE|ECCENTRIC_NOVELTY_ESCALATABLE","14"
"COMPOUND_CONTROLLED_STRENGTH","하지 복합 근력","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","FAILURE_ESCALATABLE|VELOCITY_LOSS_ESCALATABLE","32"
"HIGH_ECCENTRIC_LENGTHENING","하지 고편심·장근길이","DI_WEIGHTED_REP","RCV_FUNC_ECCENTRIC_DELAYED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","DELAYED_PEAK|NOVELTY_REQUIRED","2"
"SUSTAINED_ISOMETRIC","하지 지속 등척성","DI_HOLD","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","HOLD_FAILURE_ESCALATABLE","1"
"CALF_TENDON_STRENGTH","종아리·아킬레스 근력","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","ACHILLES_CHECK|FAILURE_ESCALATABLE","4"
"BALLISTIC_HINGE_POWER","탄도성 힙힌지 파워","DI_WEIGHTED_REP","RCV_FUNC_BALLISTIC_POWER","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","MAX_INTENT_REQUIRED","1"
"LOW_REACTIVE_PLYOMETRIC","저강도 반응성 플라이오","DI_CONTACT","RCV_FUNC_BALLISTIC_POWER","RCV_JOINT_PROTECTION_COD","RCV_TENDON_FAST_MECHANICAL","CONTACTS_REQUIRED|HIGH_IMPACT_ESCALATABLE","5"
"HIGH_IMPACT_PLYOMETRIC","고충격 플라이오","DI_CONTACT","RCV_FUNC_HIGH_IMPACT_PLYO","RCV_JOINT_PROTECTION_COD","RCV_TENDON_FAST_MECHANICAL","CONTACTS_REQUIRED|HEIGHT_RECOMMENDED","5"
"SUBMAX_RUNNING_DRILL","서브맥스 러닝 기술","DI_RUNNING","RCV_FUNC_ENDURANCE_SHORT","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","SPRINT_ESCALATABLE","5"
"AGILITY_SKILL_LOW","저강도 풋워크 기술","DI_COD","RCV_FUNC_VERY_LIGHT","RCV_JOINT_PROTECTION_SHORT","RCV_LIGAMENT_FAST_CREEP","TECHNIQUE_DOWNSHIFT_ALLOWED","2"
