"loadUnitStableKey","loadUnitCode","tissueStableKey","tissueCode","membershipRole","defaultWeight","notes"
"lu_547a239ed2","lu_cervical_disc_endplate","tissue_bc8e70cdaa","tissue_cervical_disc_endplate","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_97bee42c4e","lu_cervical_facet_joint","tissue_e0997562c1","tissue_cervical_facet_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c865eaa9a6","lu_cervical_posterior_ligament","tissue_a8e8bd5d46","tissue_cervical_posterior_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_6e950505da","lu_thoracic_disc_endplate","tissue_caedb51e8e","tissue_thoracic_disc_endplate","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3f748b96b1","lu_thoracic_facet_costovertebral","tissue_c1250f12e6","tissue_thoracic_facet_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3f748b96b1","lu_thoracic_facet_costovertebral","tissue_34a9253eea","tissue_costovertebral_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_f037b5f8ea","lu_thoracolumbar_fascia","tissue_bb60f64b7d","tissue_thoracolumbar_fascia","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_d967354bce","lu_lumbar_disc_endplate","tissue_21a56b379e","tissue_lumbar_disc_endplate","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_ff559f42cd","lu_lumbar_facet_joint","tissue_06987e1084","tissue_lumbar_facet_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_a18a644473","lu_lumbar_posterior_ligament","tissue_f41bde5976","tissue_lumbar_posterior_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_45688de60a","lu_sacroiliac_joint","tissue_599a0d89b2","tissue_sacroiliac_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_0e8a3f133f","lu_sacroiliac_ligament","tissue_064e589e94","tissue_sacroiliac_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c2a3d691c4","lu_pubic_symphysis","tissue_5eadc66cb9","tissue_pubic_symphysis","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_a9651bd8d7","lu_hip_joint","tissue_50091b2878","tissue_hip_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_50d1389a95","lu_hip_capsuloligament","tissue_ad800125ab","tissue_iliofemoral_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_50d1389a95","lu_hip_capsuloligament","tissue_d9a6eaf6d0","tissue_pubofemoral_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_50d1389a95","lu_hip_capsuloligament","tissue_1d2e8944ba","tissue_ischiofemoral_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_27b4a0df1d","lu_proximal_hamstring_tendon","tissue_e4bd028575","tissue_biceps_femoris_long_head_prox_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_27b4a0df1d","lu_proximal_hamstring_tendon","tissue_bacab6a4b8","tissue_semitendinosus_prox_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_27b4a0df1d","lu_proximal_hamstring_tendon","tissue_ea550bfa51","tissue_semimembranosus_prox_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_a7dd63adb6","lu_gluteus_maximus_tendon","tissue_7f007308a0","tissue_gluteus_maximus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_348ac6b7a6","lu_gluteus_med_min_tendon","tissue_c9d3826a11","tissue_gluteus_medius_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_348ac6b7a6","lu_gluteus_med_min_tendon","tissue_1eaf4d14d8","tissue_gluteus_minimus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_36ba10a736","lu_adductor_tendon","tissue_192d105b4a","tissue_adductor_longus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_36ba10a736","lu_adductor_tendon","tissue_eaf49ec189","tissue_adductor_magnus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_36ba10a736","lu_adductor_tendon","tissue_05c4dec746","tissue_gracilis_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9462525798","lu_rectus_femoris_prox_tendon","tissue_58cb5518ad","tissue_rectus_femoris_prox_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_cd23e2d8c0","lu_iliopsoas_tendon","tissue_09652eadcf","tissue_iliopsoas_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_90281b5483","lu_tfl_itb_proximal","tissue_2b018aef69","tissue_tensor_fasciae_latae_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_90281b5483","lu_tfl_itb_proximal","tissue_e354177418","tissue_iliotibial_band","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_bf3f500760","lu_tibiofemoral_joint","tissue_23a874341a","tissue_tibiofemoral_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9a06d0adb2","lu_patellofemoral_joint","tissue_91887f185f","tissue_patellofemoral_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_acc0225b21","lu_knee_meniscus","tissue_9958b6139b","tissue_medial_meniscus","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_acc0225b21","lu_knee_meniscus","tissue_a51d877bd2","tissue_lateral_meniscus","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_f4005dd228","lu_quadriceps_tendon","tissue_7545ba6787","tissue_quadriceps_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_d7b54824bb","lu_patellar_tendon","tissue_816066da61","tissue_patellar_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9b1d33a6fa","lu_distal_medial_hamstring_tendon","tissue_5e8a64ca23","tissue_semitendinosus_dist_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9b1d33a6fa","lu_distal_medial_hamstring_tendon","tissue_ebf759c79b","tissue_semimembranosus_dist_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9b1d33a6fa","lu_distal_medial_hamstring_tendon","tissue_e6b6f00bf8","tissue_gracilis_dist_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
