"tissueStableKey","canonicalCode","canonicalNameKo","canonicalNameEn","tissueClass","bodyRegion","jointComplexStableKey","jointComplexCode","jointComplexNameKo","loadUnitStableKey","loadUnitCode","loadUnitNameKo","analysisResolution","splitPolicy","primaryLoadModes","recoveryClass","membershipRole","legacyAliases","existingLowerScoreRows","mappedExerciseCount","evidenceCodes","status","metadataVersion"
"tissue_bc8e70cdaa","tissue_cervical_disc_endplate","경추 추간판·종판","Cervical intervertebral disc and endplate","SPINAL_STRUCTURE","SPINE","jc_bb531a278d","jc_cervical_spine","경추 복합체","lu_547a239ed2","lu_cervical_disc_endplate","경추 추간판·종판 복합체","GROUP","GROUP","COMPRESSION|SHEAR|BENDING","SPINAL_COMPRESSION_SHEAR","COMPONENT","","0","8","META01","ACTIVE","CTM-0.1"
"tissue_e0997562c1","tissue_cervical_facet_joint","경추 후관절","Cervical facet joint","JOINT","SPINE","jc_bb531a278d","jc_cervical_spine","경추 복합체","lu_97bee42c4e","lu_cervical_facet_joint","경추 후관절 복합체","GROUP","GROUP","CONTACT_PRESSURE|SHEAR|ROTATION","JOINT_CONTACT","COMPONENT","","0","8","META01","ACTIVE","CTM-0.1"
"tissue_a8e8bd5d46","tissue_cervical_posterior_ligament","경추 후방 인대 복합체","Cervical posterior ligament complex","LIGAMENT","SPINE","jc_bb531a278d","jc_cervical_spine","경추 복합체","lu_c865eaa9a6","lu_cervical_posterior_ligament","경추 후방 인대 복합체","GROUP","GROUP","TENSION|BENDING","LIGAMENT_STRAIN","COMPONENT","","0","4","META01","ACTIVE","CTM-0.1"
"tissue_caedb51e8e","tissue_thoracic_disc_endplate","흉추 추간판·종판","Thoracic intervertebral disc and endplate","SPINAL_STRUCTURE","SPINE","jc_5c5aab6f67","jc_thoracic_spine_ribcage","흉추·흉곽 복합체","lu_6e950505da","lu_thoracic_disc_endplate","흉추 추간판·종판 복합체","GROUP","GROUP","COMPRESSION|SHEAR|TORSION","SPINAL_COMPRESSION_SHEAR","COMPONENT","","0","77","META01","ACTIVE","CTM-0.1"
"tissue_c1250f12e6","tissue_thoracic_facet_joint","흉추 후관절","Thoracic facet joint","JOINT","SPINE","jc_5c5aab6f67","jc_thoracic_spine_ribcage","흉추·흉곽 복합체","lu_3f748b96b1","lu_thoracic_facet_costovertebral","흉추 후관절·늑골관절 복합체","GROUP","GROUP","CONTACT_PRESSURE|TORSION|BENDING","JOINT_CONTACT","COMPONENT","","0","77","META01|U03","ACTIVE","CTM-0.1"
"tissue_34a9253eea","tissue_costovertebral_joint","늑골척추관절","Costovertebral joint","JOINT","SPINE","jc_5c5aab6f67","jc_thoracic_spine_ribcage","흉추·흉곽 복합체","lu_3f748b96b1","lu_thoracic_facet_costovertebral","흉추 후관절·늑골관절 복합체","GROUP","GROUP","CONTACT_PRESSURE|TORSION|BENDING","JOINT_CONTACT","COMPONENT","","0","77","META01|U03","ACTIVE","CTM-0.1"
"tissue_bb60f64b7d","tissue_thoracolumbar_fascia","흉요근막","Thoracolumbar fascia","FASCIA","SPINE","jc_5c5aab6f67","jc_thoracic_spine_ribcage","흉추·흉곽 복합체","lu_f037b5f8ea","lu_thoracolumbar_fascia","흉요근막 부하 단위","GROUP","GROUP","TENSION|FORCE_TRANSFER|TORSION","FASCIA_LOAD","COMPONENT","","0","69","S04|S23","ACTIVE","CTM-0.1"
"tissue_21a56b379e","tissue_lumbar_disc_endplate","요추 추간판·종판","Lumbar intervertebral disc and endplate","SPINAL_STRUCTURE","SPINE","jc_209871f411","jc_lumbar_spine","요추 복합체","lu_d967354bce","lu_lumbar_disc_endplate","요추 추간판·종판 복합체(L4–S1)","GROUP","GROUP","COMPRESSION|SHEAR|BENDING","SPINAL_COMPRESSION_SHEAR","COMPONENT","척추구조:요추 추간판·종판 복합체(L4–S1)","40","104","S04|S23","ACTIVE","CTM-0.1"
"tissue_06987e1084","tissue_lumbar_facet_joint","요추 후관절","Lumbar facet joint","JOINT","SPINE","jc_209871f411","jc_lumbar_spine","요추 복합체","lu_ff559f42cd","lu_lumbar_facet_joint","요추 후관절","GROUP","GROUP","CONTACT_PRESSURE|SHEAR|EXTENSION","JOINT_CONTACT","COMPONENT","관절:요추 후관절","41","105","S04|S23","ACTIVE","CTM-0.1"
"tissue_f41bde5976","tissue_lumbar_posterior_ligament","요추 후방 인대 복합체","Lumbar posterior ligament complex","LIGAMENT","SPINE","jc_209871f411","jc_lumbar_spine","요추 복합체","lu_a18a644473","lu_lumbar_posterior_ligament","요추 후방 인대 복합체","GROUP","GROUP","TENSION|BENDING|SHEAR","LIGAMENT_STRAIN","COMPONENT","인대:요추 후방 인대 복합체","40","76","S04|S23","ACTIVE","CTM-0.1"
"tissue_599a0d89b2","tissue_sacroiliac_joint","천장관절","Sacroiliac joint","JOINT","PELVIS","jc_864898a64c","jc_pelvic_ring_sacroiliac","골반환·천장 복합체","lu_45688de60a","lu_sacroiliac_joint","천장관절 복합체","GROUP","GROUP","COMPRESSION|SHEAR|TORSION|FORCE_TRANSFER","JOINT_CONTACT","COMPONENT","","0","128","META01","ACTIVE","CTM-0.1"
"tissue_064e589e94","tissue_sacroiliac_ligament","천장 인대 복합체","Sacroiliac ligament complex","LIGAMENT","PELVIS","jc_864898a64c","jc_pelvic_ring_sacroiliac","골반환·천장 복합체","lu_0e8a3f133f","lu_sacroiliac_ligament","천장 인대 복합체","GROUP","GROUP","TENSION|SHEAR|TORSION","LIGAMENT_STRAIN","COMPONENT","","0","128","META01","ACTIVE","CTM-0.1"
"tissue_5eadc66cb9","tissue_pubic_symphysis","치골결합","Pubic symphysis","FIBROCARTILAGE","PELVIS","jc_864898a64c","jc_pelvic_ring_sacroiliac","골반환·천장 복합체","lu_c2a3d691c4","lu_pubic_symphysis","치골결합 섬유연골 복합체","GROUP","GROUP","COMPRESSION|SHEAR|TORSION","FIBROCARTILAGE_COMPRESSION","COMPONENT","","0","28","META01","ACTIVE","CTM-0.1"
