"researchDecisionId","researchBatchId","tissueId","mechanicalLoadMode","temporalMetric","measurementMetric","targetStableKeys","database","searchQuery","searchDate","includedSourceIds","excludedSourceIds","decision","decisionReason","remainingBlocker","preparedBy","preparedByType","preparedAt","c3ResearchDecisionId","eventContext","movementPhase","positionContext","functionalDemand","tissueResponseMetric","evidenceRelation"
"C31DEC_ACH_CYCLIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON TENSION CYCLIC_EXPOSURE exercise external load ROM SOURCE_DEFINED_CYCLIC_EXPOSURE","2026-07-14","","PREFLIGHT_32658037","BLOCKED_MISSING_DOSE_INPUT","Repeated tasks do not provide an app-wide event-count contract.","Valid event count, laterality, and no-double-counting contract required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_CYCLIC","","","","","","CONTEXT_ONLY"
"C31DEC_ACH_ENERGY_CYCLIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON ENERGY_STORAGE_RELEASE CYCLIC_EXPOSURE exercise external load ROM SOURCE_DEFINED_CYCLIC_EXPOSURE","2026-07-14","","","BLOCKED_MISSING_DOSE_INPUT","No compatible cyclic energy source and dose model were established.","Energy per event and valid event count required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_ENERGY_CYCLIC","","","","ENERGY_STORAGE_DEMAND","ELASTIC_ENERGY_STORAGE","CONTEXT_ONLY"
"C31DEC_ACH_ENERGY_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","PEAK","MEASURED_TENDON_ENERGY_STORAGE","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON ENERGY_STORAGE_RELEASE PEAK exercise external load ROM MEASURED_TENDON_ENERGY_STORAGE","2026-07-14","","SRC_PMID_35142563","BLOCKED_INSUFFICIENT_EVIDENCE","Strain is not direct energy storage.","Direct force-elongation energy measurement required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_ENERGY_PEAK","","","","ENERGY_STORAGE_DEMAND","ELASTIC_ENERGY_STORAGE","DIRECT_INTERNAL_MEASUREMENT"
"C31DEC_ACH_FORCE_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON TENSION PEAK exercise external load ROM MODELED_TENDON_FORCE","2026-07-14","PREFLIGHT_32658037|SRC_PMID_28145739","","CONDITION_ANCHOR_CREATED","Two exact-condition Achilles point anchors were created; no interval or interpolation is approved.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_FORCE_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_ACH_IMPULSE","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON TENSION IMPULSE_PER_EVENT exercise external load ROM TENDON_FORCE_TIME_INTEGRAL","2026-07-14","PREFLIGHT_32658037","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Per-event impulse exists but no generic compatible boundaries were established.","Condition-specific impulse rubric remains missing.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_IMPULSE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_ACH_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON TENSION LOADING_RATE exercise external load ROM MODELED_TENDON_FORCE_LOADING_RATE","2026-07-14","PREFLIGHT_32658037","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Loading rate remains separate from peak force.","No loading-rate rubric.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_RATE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_ACH_STRAIN_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","ACHILLES_TENDON","TENSION","PEAK","MEASURED_TENDON_STRAIN","","PubMed|PubMed Central|Crossref","ACHILLES_TENDON TENSION PEAK exercise external load ROM MEASURED_TENDON_STRAIN","2026-07-14","SRC_PMID_35142563","","SOURCE_CLAIMS_CREATED_NO_RUBRIC","Direct task-specific strain values are retained separately from force.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACH_STRAIN_PEAK","","","","","","DIRECT_INTERNAL_MEASUREMENT"
"C31DEC_ACL_ANTERIOR","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_ACL","ANTERIOR_TRANSLATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","","PubMed|PubMed Central|Crossref","KNEE_ACL ANTERIOR_TRANSLATION_STRESS PEAK exercise external load ROM MODELED_LIGAMENT_FORCE","2026-07-14","SRC_PMID_10656979","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Model-specific rehabilitation force evidence is retained without a generic claim.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACL_ANTERIOR","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_ACL_CYCLIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_ACL","ANTERIOR_TRANSLATION_STRESS","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","","PubMed|PubMed Central|Crossref","KNEE_ACL ANTERIOR_TRANSLATION_STRESS CYCLIC_EXPOSURE exercise external load ROM SOURCE_DEFINED_CYCLIC_EXPOSURE","2026-07-14","","","BLOCKED_MISSING_DOSE_INPUT","No compatible cyclic ACL dose model.","Event count and tissue-specific per-event metric required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACL_CYCLIC","","","","","","CONTEXT_ONLY"
"C31DEC_ACL_IMPACT_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_ACL","TENSION","PEAK","MEASURED_LIGAMENT_STRAIN","","PubMed|PubMed Central|Crossref","KNEE_ACL IMPACT_STABILIZATION PEAK exercise external load ROM MEASURED_LIGAMENT_STRAIN","2026-07-14","SRC_PMID_21092960|SRC_PMID_31593498","","SOURCE_CLAIMS_CREATED_NO_RUBRIC","Direct protocol-specific strain evidence is retained without a landing-wide band.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACL_IMPACT_PEAK","JUMP_LANDING","PRE_CONTACT","","IMPACT_ATTENUATION","","DIRECT_INTERNAL_MEASUREMENT"
