"anchorId","rubricId","score","rawValue","sourceConditionIds","sourceIds","rationale","limitations","decisionType"
"C4B1_ANCHOR_ACHILLES_M_STRESS_1","C4B1_RUBRIC_ACHILLES_M_STRESS","1.0000","6.88","C4B1_COND_28145739_SEATED_BILATERAL","SRC_PMID_28145739","Low bilateral seated heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRESS_2","C4B1_RUBRIC_ACHILLES_M_STRESS","2.0000","40.07","C4B1_COND_28145739_STANDING_BILATERAL","SRC_PMID_28145739","Moderate bilateral standing heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRESS_3","C4B1_RUBRIC_ACHILLES_M_STRESS","3.0000","65.85","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN","SRC_PMID_28145739","High mixed bilateral-up unilateral-down reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRESS_4","C4B1_RUBRIC_ACHILLES_M_STRESS","4.0000","89.54","C4B1_COND_28145739_UNILATERAL","SRC_PMID_28145739","Very high unilateral heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_FORCE_1","C4B1_RUBRIC_ACHILLES_M_FORCE","1.0000","209.47","C4B1_COND_28145739_SEATED_BILATERAL","SRC_PMID_28145739","Low bilateral seated heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_FORCE_2","C4B1_RUBRIC_ACHILLES_M_FORCE","2.0000","1250.51","C4B1_COND_28145739_STANDING_BILATERAL","SRC_PMID_28145739","Moderate bilateral standing heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_FORCE_3","C4B1_RUBRIC_ACHILLES_M_FORCE","3.0000","2052.88","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN","SRC_PMID_28145739","High mixed bilateral-up unilateral-down reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_FORCE_4","C4B1_RUBRIC_ACHILLES_M_FORCE","4.0000","2760.14","C4B1_COND_28145739_UNILATERAL","SRC_PMID_28145739","Very high unilateral heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRAIN_1","C4B1_RUBRIC_ACHILLES_M_STRAIN","1.0000","0.71","C4B1_COND_28145739_SEATED_BILATERAL","SRC_PMID_28145739","Low bilateral seated heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRAIN_2","C4B1_RUBRIC_ACHILLES_M_STRAIN","2.0000","3.94","C4B1_COND_28145739_STANDING_BILATERAL","SRC_PMID_28145739","Moderate bilateral standing heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRAIN_3","C4B1_RUBRIC_ACHILLES_M_STRAIN","3.0000","6.47","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN","SRC_PMID_28145739","High mixed bilateral-up unilateral-down reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_ACHILLES_M_STRAIN_4","C4B1_RUBRIC_ACHILLES_M_STRAIN","4.0000","8.8","C4B1_COND_28145739_UNILATERAL","SRC_PMID_28145739","Very high unilateral heel-raise reference","Healthy active male cohort; modeled force and stress; strain used literature material properties; source tempo and protocol remain condition-specific.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_M_PEAK_1","C4B1_RUBRIC_PATELLAR_M_PEAK","1.0000","0.8","C4B1_COND_37847102_WALK","SRC_PMID_37847102","Low walking reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_M_PEAK_2","C4B1_RUBRIC_PATELLAR_M_PEAK","2.0000","1.8","C4B1_COND_37847102_DL_SQUAT_60","SRC_PMID_37847102","Moderate controlled partial squat reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_M_PEAK_3","C4B1_RUBRIC_PATELLAR_M_PEAK","3.0000","3.4","C4B1_COND_37847102_DL_SQUAT_FULL","SRC_PMID_37847102","High full-depth training reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_M_PEAK_4","C4B1_RUBRIC_PATELLAR_M_PEAK","4.0000","5.5","C4B1_COND_37847102_RUN_CUT","SRC_PMID_37847102","Very high healthy run-and-cut sport reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_IMPULSE_1","C4B1_RUBRIC_PATELLAR_T_IMPULSE","1.0000","0.2","C4B1_COND_37847102_WALK","SRC_PMID_37847102","Low walking impulse reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_IMPULSE_2","C4B1_RUBRIC_PATELLAR_T_IMPULSE","2.0000","1.5","C4B1_COND_37847102_DL_SQUAT_60","SRC_PMID_37847102","Moderate controlled partial squat impulse reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_IMPULSE_3","C4B1_RUBRIC_PATELLAR_T_IMPULSE","3.0000","2.7","C4B1_COND_37847102_DL_SQUAT_FULL","SRC_PMID_37847102","High full-depth training impulse reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_IMPULSE_4","C4B1_RUBRIC_PATELLAR_T_IMPULSE","4.0000","6.8","C4B1_COND_37847102_SL_DECLINE_SQUAT","SRC_PMID_37847102","Very high healthy decline-squat impulse reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_RATE_1","C4B1_RUBRIC_PATELLAR_T_RATE","1.0000","1.6","C4B1_COND_37847102_SPANISH_SQUAT_3S","SRC_PMID_37847102","Low-rate three-second isometric reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_RATE_2","C4B1_RUBRIC_PATELLAR_T_RATE","2.0000","16.8","C4B1_COND_37847102_LUNGE","SRC_PMID_37847102","Moderate controlled lunge rate reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_RATE_3","C4B1_RUBRIC_PATELLAR_T_RATE","3.0000","64.4","C4B1_COND_37847102_DL_FORWARD_JUMP_FAST","SRC_PMID_37847102","High fast repeated-jump rate reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PATELLAR_T_RATE_4","C4B1_RUBRIC_PATELLAR_T_RATE","4.0000","96.2","C4B1_COND_37847102_RUN_CUT","SRC_PMID_37847102","Very high healthy run-and-cut rate reference","Healthy young adults; constrained sagittal model omits frontal/transverse effects and muscle co-contraction; bodyweight protocols only.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PFJ_M_PEAK_1","C4B1_RUBRIC_PFJ_M_PEAK","1.0000","0.6","C4B1_COND_37272685_WALK","SRC_PMID_37272685","Low walking reference","Healthy young adults; sagittal-plane model neglects co-contraction and should not transfer across unmatched ROM, load, or landing protocols.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PFJ_M_PEAK_2","C4B1_RUBRIC_PFJ_M_PEAK","2.0000","2.5","C4B1_COND_37272685_DL_SQUAT_60","SRC_PMID_37272685","Moderate controlled partial squat reference","Healthy young adults; sagittal-plane model neglects co-contraction and should not transfer across unmatched ROM, load, or landing protocols.","HYBRID_LITERATURE_POLICY"
"C4B1_ANCHOR_PFJ_M_PEAK_3","C4B1_RUBRIC_PFJ_M_PEAK","3.0000","5.4","C4B1_COND_37272685_RUNNING","SRC_PMID_37272685","High running reference","Healthy young adults; sagittal-plane model neglects co-contraction and should not transfer across unmatched ROM, load, or landing protocols.","HYBRID_LITERATURE_POLICY"
