"researchDecisionId","reviewBatchId","tissueId","loadDimension","targetStableKeys","database","searchQuery","searchDate","candidateSourceIds","includedSourceIds","excludedSourceIds","exclusionReasons","populationScope","exerciseConditionScope","measurementScope","evidenceSufficiency","researchDecision","decisionReason","preparedBy","preparedByType","preparedAt","researchNotes"
"R1DEC_ACH_PEAK","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","ACHILLES_TENDON","PEAK_TENSILE_LOAD","ex_5c8751d2|ex_5ca7133f|ex_bd072cd|ex_314df428","PubMed|PubMed Central|Crossref","Achilles tendon force seated standing unilateral weighted calf raise hop external load","2026-07-14","PREFLIGHT_32658037|SRC_PMID_28145739","PREFLIGHT_32658037|SRC_PMID_28145739","","","Healthy adult exercise evidence; condition-specific models only","Seated, standing, unilateral, and repeated hopping kept distinct","Modeled internal tendon peak force","TWO_CONDITION_BOUNDED_ANCHORS_SURVIVE_WITHOUT_GENERIC_LOW_OR_EXTERNAL_LOAD_SCALING","DRAFT_RUBRIC_CREATED","Standing single-leg and repeated unilateral hopping retain narrow anchors; seated LOW and arbitrary weighted scaling are removed.","Codex","AI_AGENT","2026-07-14T00:00:02Z","No HIGH band was invented; external-load dose response remains blocked."
"R1DEC_ACH_RATE","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","ACHILLES_TENDON","LOADING_RATE","ex_5ca7133f|ex_314df428","PubMed|PubMed Central|Crossref","Achilles tendon loading rate heel raise hop protocol","2026-07-14","PREFLIGHT_32658037","PREFLIGHT_32658037","","","Healthy adult exercise evidence","Exact task and cadence required","Modeled internal tendon loading rate","CONDITION_SPECIFIC_VALUES_WITHOUT_DEFENSIBLE_INTERVALS","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Loading rates exist but do not establish app-wide rate bands and cannot be compared with peak-force units.","Codex","AI_AGENT","2026-07-14T00:00:02Z","Same-condition provenance is preserved without cross-dimension aggregation."
"R1DEC_ACH_CYCLIC","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","ACHILLES_TENDON","CYCLIC_TENSILE_LOAD","ex_5c8751d2|ex_5ca7133f|ex_314df428","PubMed|PubMed Central|Crossref","Achilles tendon cyclic load repetitions impulse calf raise hopping","2026-07-14","PREFLIGHT_32658037|SRC_PMID_28145739","","PREFLIGHT_32658037|SRC_PMID_28145739","WRONG_LOAD_DIMENSION","Healthy adult exercise evidence","Repetition count, cadence, and contact duration required","Cyclic exposure distinct from one-repetition peak and source loading index","REPEATED_PROTOCOLS_FOUND_WITHOUT_COMPARABLE_CYCLIC_DOSE","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Peak and exercise-level impulse data do not define a reusable cyclic tensile-load rubric.","Codex","AI_AGENT","2026-07-14T00:00:02Z","No cumulative multiplier was invented."
"R1DEC_ACH_ENERGY","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","ACHILLES_TENDON","ENERGY_STORAGE_RELEASE","ex_314df428|ex_e465d1e9|ex_a3ddd8ac","PubMed|PubMed Central|Crossref","Achilles tendon energy storage release hopping jumping rehabilitation","2026-07-14","PREFLIGHT_32658037","","PREFLIGHT_32658037","NO_MECHANICAL_OUTCOME","Healthy adult exercise evidence","Protocol-specific elastic tasks","Direct tendon energy storage and release","NO_DIRECT_ENERGY_OUTCOME_IN_GOVERNED_SOURCES","BLOCKED_INSUFFICIENT_EVIDENCE","Force, impulse, and loading rate cannot substitute for directly quantified tendon energy.","Codex","AI_AGENT","2026-07-14T00:00:02Z","Blocked rather than inferred."
"R1DEC_PAT_PEAK","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PATELLAR_TENDON","PEAK_TENSILE_LOAD","ex_cb3c4dc2|barbell_back_squat|ex_c5043892|ex_e2efd0fe|ex_bb728af2|ex_f2a79d37|ex_64644b5e","PubMed|PubMed Central|Crossref","patellar tendon force weighted squat front back RFESS split squat lunge external load","2026-07-14","SRC_PMID_37847102","SRC_PMID_37847102","","","Healthy exercise evidence preferred","Bodyweight and externally loaded protocols kept separate","Modeled internal patellar tendon peak force","BODYWEIGHT_CLAIMS_EXIST_BUT_NO_DEFENSIBLE_EXTERNAL_LOAD_RESPONSE_MODEL","BLOCKED_MISSING_EXTERNAL_LOAD_MODEL","Bodyweight squat and Bulgarian claims are preserved, but weighted back/front squat and loaded unilateral variants cannot be populated.","Codex","AI_AGENT","2026-07-14T00:00:02Z","Weighted PFJ studies do not supply a patellar-tendon force multiplier."
"R1DEC_PAT_STRAIN","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PATELLAR_TENDON","TENDON_STRAIN","ex_cb3c4dc2|barbell_back_squat|ex_c5043892|ex_e2efd0fe","PubMed|PubMed Central|Crossref","patellar tendon strain squat external load ultrasound biomechanics","2026-07-14","SRC_PMID_37847102","","SRC_PMID_37847102","NO_MECHANICAL_OUTCOME","Healthy exercise evidence preferred","Exact squat and external-load conditions","Direct patellar tendon strain","NO_COMPARABLE_DYNAMIC_WEIGHTED_STRAIN_SERIES","BLOCKED_INSUFFICIENT_EVIDENCE","Modeled tendon force cannot be relabeled as tendon strain; available strain methods do not establish these exercise rubrics.","Codex","AI_AGENT","2026-07-14T00:00:02Z","Force and strain remain separate."
"R1DEC_PAT_CYCLIC","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PATELLAR_TENDON","CYCLIC_TENSILE_LOAD","ex_cb3c4dc2|ex_e2efd0fe|ex_d6726746|ex_314df428","PubMed|PubMed Central|Crossref","patellar tendon cyclic load squat jump landing repetitions","2026-07-14","SRC_PMID_37847102","","SRC_PMID_37847102","WRONG_LOAD_DIMENSION","Healthy exercise evidence preferred","Repetition count and cadence required","Cumulative tendon exposure","NO_APPROVED_CYCLIC_TENDON_DOSE_MODEL","BLOCKED_INSUFFICIENT_EVIDENCE","Peak, impulse, and rate rows do not establish cyclic tendon exposure across sessions.","Codex","AI_AGENT","2026-07-14T00:00:02Z","No set or repetition multiplier was invented."
"R1DEC_PAT_ECCENTRIC","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PATELLAR_TENDON","ECCENTRIC_LOAD","ex_cb3c4dc2|ex_e2efd0fe|ex_64644b5e","PubMed|PubMed Central|Crossref","patellar tendon eccentric load squat decline squat lunge biomechanics","2026-07-14","SRC_PMID_37847102","","SRC_PMID_37847102","WRONG_LOAD_DIMENSION","Healthy exercise evidence preferred","Concentric and eccentric phases must be resolved","Phase-specific internal tendon load","NO_PHASE_SPECIFIC_RUBRIC_BASIS","BLOCKED_INSUFFICIENT_EVIDENCE","Current governed candidates do not support a generic eccentric-load band.","Codex","AI_AGENT","2026-07-14T00:00:02Z","Phase labels cannot be inferred from exercise names."
"R1DEC_PAT_RATE","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PATELLAR_TENDON","LOADING_RATE","ex_cb3c4dc2|ex_e2efd0fe|ex_d6726746|ex_314df428","PubMed|PubMed Central|Crossref","patellar tendon loading rate squat Bulgarian jump hop rehabilitation","2026-07-14","SRC_PMID_37847102","SRC_PMID_37847102","","","Healthy adult source cohort","Exact protocol, speed, and landing required","Modeled patellar tendon loading rate","CONDITION_SPECIFIC_RATES_WITHOUT_GENERIC_BOUNDARIES","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","The source reports condition-specific rates but does not establish generic app intervals or external-load scaling.","Codex","AI_AGENT","2026-07-14T00:00:02Z","No rate band created."
"R1DEC_PFJ_PEAK","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","ex_cb3c4dc2|barbell_back_squat|ex_e2efd0fe|ex_64644b5e|ex_d6726746|ex_314df428","PubMed|PubMed Central|Crossref","patellofemoral peak force weighted squat lunge Bulgarian jump hop","2026-07-14","SRC_PMID_37272685|SRC_PMID_11949662|SRC_PMID_18632195","SRC_PMID_37272685|SRC_PMID_11949662|SRC_PMID_18632195","","","Healthy adult exercise evidence","Load, ROM, lunge direction, and jump protocol kept explicit","Modeled PFJ loading peak","DIRECT_VALUES_EXIST_BUT_CROSS_STUDY_MODELS_AND_LOADS_ARE_NOT_ONE_INTERVAL_SCALE","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Bodyweight source values are preserved; 35 percent BW squat and 12RM lunge evidence confirm load sensitivity but do not define common app bands.","Codex","AI_AGENT","2026-07-14T00:00:02Z","PMID 40705768 was additionally reviewed for 70-90 percent 1RM powerlifting squat context; its population/model were not merged into the governed values."
