"researchDecisionId","reviewBatchId","tissueId","loadDimension","targetStableKeys","database","searchQuery","searchDate","candidateSourceIds","includedSourceIds","excludedSourceIds","exclusionReasons","populationScope","exerciseConditionScope","measurementScope","evidenceSufficiency","researchDecision","decisionReason","preparedBy","preparedByType","preparedAt","researchNotes"
"RDEC_ACH_PEAK","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","ACHILLES_TENDON","PEAK_TENSILE_LOAD","ex_5c8751d2|ex_5ca7133f|ex_bd072cd|ex_314df428|ex_e465d1e9|ex_a3ddd8ac|ex_64644b5e","PubMed|Crossref|PubMed Central","(ACHILLES_TENDON) AND (PEAK_TENSILE_LOAD) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","PREFLIGHT_32658037|SRC_PMID_28145739","PREFLIGHT_32658037|SRC_PMID_28145739","","","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","MODELED_CONDITION_BOUNDED_COMPARABLE","DRAFT_RUBRIC_CREATED","Within-study modeled peak-force ordering supports a partial draft rubric for matched heel-raise and hopping conditions.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_ACH_CYCLIC","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","ACHILLES_TENDON","CYCLIC_TENSILE_LOAD","ex_5c8751d2|ex_5ca7133f|ex_bd072cd","PubMed|Crossref|PubMed Central","(ACHILLES_TENDON) AND (CYCLIC_TENSILE_LOAD) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","PREFLIGHT_32658037|SRC_PMID_28145739","","PREFLIGHT_32658037|SRC_PMID_28145739","WRONG_LOAD_DIMENSION","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","PROXY_NOT_COMPARABLE","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Impulse and repeated-task protocols do not define a comparable cyclic tensile exposure band.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_ACH_ENERGY","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","ACHILLES_TENDON","ENERGY_STORAGE_RELEASE","ex_e465d1e9|ex_a3ddd8ac|ex_314df428","PubMed|Crossref|PubMed Central","(ACHILLES_TENDON) AND (ENERGY_STORAGE_RELEASE) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","PREFLIGHT_32658037","","PREFLIGHT_32658037","NO_MECHANICAL_OUTCOME","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","OUTCOME_NOT_MEASURED","BLOCKED_INSUFFICIENT_EVIDENCE","The source modeled force and rate but did not directly quantify tendon energy storage and release.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_ACH_RATE","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","ACHILLES_TENDON","LOADING_RATE","ex_5c8751d2|ex_5ca7133f|ex_e465d1e9|ex_a3ddd8ac|ex_314df428","PubMed|Crossref|PubMed Central","(ACHILLES_TENDON) AND (LOADING_RATE) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","PREFLIGHT_32658037","PREFLIGHT_32658037","","","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","MODELED_VALUES_WITHOUT_GLOBAL_BOUNDARIES","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Condition-specific rates were found, but no defensible app-wide rate band boundaries were established.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_PAT_PEAK","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","PATELLAR_TENDON","PEAK_TENSILE_LOAD","ex_cb3c4dc2|ex_bb728af2|ex_64644b5e|ex_d6726746|ex_a3ddd8ac","PubMed|Crossref|PubMed Central","(PATELLAR_TENDON) AND (PEAK_TENSILE_LOAD) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","SRC_PMID_37847102","SRC_PMID_37847102","","","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","MODELED_VALUES_WITHOUT_GLOBAL_BOUNDARIES","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Comparable condition values support draft claims, but not defensible universal band boundaries.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_PAT_CYCLIC","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","PATELLAR_TENDON","CYCLIC_TENSILE_LOAD","ex_cb3c4dc2|ex_bb728af2|ex_64644b5e","PubMed|Crossref|PubMed Central","(PATELLAR_TENDON) AND (CYCLIC_TENSILE_LOAD) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","SRC_PMID_37847102","","SRC_PMID_37847102","WRONG_LOAD_DIMENSION","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","PROXY_NOT_COMPARABLE","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Impulse is not a validated cyclic exposure band.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_PAT_ECC","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","PATELLAR_TENDON","ECCENTRIC_LOAD","ex_d6726746|ex_a3ddd8ac|ex_314df428","PubMed|Crossref|PubMed Central","(PATELLAR_TENDON) AND (ECCENTRIC_LOAD) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","SRC_PMID_37847102","","SRC_PMID_37847102","NO_MECHANICAL_OUTCOME","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","OUTCOME_NOT_SEPARATED","BLOCKED_INSUFFICIENT_EVIDENCE","The modeled result did not isolate eccentric tendon load.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_PAT_ENERGY","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","PATELLAR_TENDON","ENERGY_STORAGE_RELEASE","ex_d6726746|ex_a3ddd8ac|ex_314df428","PubMed|Crossref|PubMed Central","(PATELLAR_TENDON) AND (ENERGY_STORAGE_RELEASE) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","SRC_PMID_37847102","","SRC_PMID_37847102","NO_MECHANICAL_OUTCOME","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","OUTCOME_NOT_MEASURED","BLOCKED_INSUFFICIENT_EVIDENCE","Energy storage and release was not directly quantified.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_PAT_RATE","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","PATELLAR_TENDON","LOADING_RATE","ex_cb3c4dc2|ex_bb728af2|ex_a3ddd8ac|ex_d6726746","PubMed|Crossref|PubMed Central","(PATELLAR_TENDON) AND (LOADING_RATE) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","SRC_PMID_37847102","SRC_PMID_37847102","","","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","MODELED_VALUES_WITHOUT_GLOBAL_BOUNDARIES","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Condition-specific rates were reported without transferable app-wide boundaries.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
"RDEC_PFJ_COMP","TISSUE_RUBRIC_B1_LOWER_KNEE_ANKLE","KNEE_PATELLOFEMORAL","COMPRESSION","ex_cb3c4dc2|ex_bb728af2|ex_64644b5e|ex_d6726746|ex_314df428","PubMed|Crossref|PubMed Central","(KNEE_PATELLOFEMORAL) AND (COMPRESSION) AND (squat OR lunge OR heel raise OR jump OR hop) AND (force OR strain OR contact OR load)","2026-07-14","SRC_PMID_37272685|SRC_PMID_11949662|SRC_PMID_18632195","SRC_PMID_37272685","SRC_PMID_11949662|SRC_PMID_18632195","UNVALIDATED_MODEL","Human healthy exercise evidence preferred; patient/cadaver evidence requires explicit transfer justification","Target canonical exercises and close protocol variants only","Internal tissue force, strain, contact model, or explicit mechanical proxy","SOURCE_DEFINED_COMPARABLE_INDEX","DRAFT_RUBRIC_CREATED","One internally consistent 35-exercise model supplies source-defined loading tiers; other models are retained as non-pooled context.","Codex","AI_AGENT","2026-07-14T00:00:00Z","No production profile, final claim, blind review, or human approval is implied."
