"sourceConditionId","sourceId","protocolLabel","testedExercise","candidateStableKeys","exerciseCorrespondence","eventContext","movementPhase","direction","laterality","additionalExternalLoadKg","additionalExternalLoadFractionBw","totalSystemMassKg","totalSystemMassFractionBw","relativeLoadPercent1Rm","externalLoadPlacement","romCondition","jointAngleCondition","velocityCondition","surfaceCondition","landingCondition","reboundOrStick","singleOrRepeated","expectedOrUnexpected","fatigueCondition","population","healthStatus","trainingStatus","sexComposition","sampleSize","measurementMethod","modelFamily","notes"
"C3COND_10656979_SQUAT","SRC_PMID_10656979","C3COND_10656979_SQUAT","Squat and rehabilitation exercises","ex_cb3c4dc2|barbell_back_squat","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","Kinematic/kinetic musculoskeletal model","MODELED_LIGAMENT_FORCE","Force is not translation; model assumptions and rehabilitation protocols are not directly comparable to target dimensions."
"C3COND_11949662_SQUAT","SRC_PMID_11949662","C3COND_11949662_SQUAT","Squat with and without 35 percent bodyweight external load","ex_cb3c4dc2|barbell_back_squat","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","Motion analysis, force platform, and patellofemoral joint model","MODELED_JOINT_CONTACT_FORCE","Different model and metric from source-defined loading index; loaded protocol does not exactly match canonical squat."
"C3COND_18632195_LUNGE","SRC_PMID_18632195","C3COND_18632195_LUNGE","Forward and side lunge variants","ex_64644b5e|ex_b4b198de","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","LUNGE","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","Motion analysis, force platform, and sagittal-plane patellofemoral model","MODELED_JOINT_CONTACT_FORCE","Model and normalization differ from the selected loading-index rubric source."
"C3COND_21092960_JUMP_LANDING","SRC_PMID_21092960","C3COND_21092960_JUMP_LANDING","Dynamic single-leg jump landing","ex_d6726746","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","JUMP_LANDING","PRE_CONTACT","NOT_REPORTED","Unilateral","","","","","","","Task-defined","","Dynamic landing","Laboratory","Single-leg jump landing","NOT_REPORTED","SINGLE","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","","","8","MRI, motion analysis, and biplanar fluoroscopy","MEASURED_LIGAMENT_STRAIN","Small sample; close-variant app mapping only; no generic landing band."
"C3COND_25059338_10N","SRC_PMID_25059338","C3COND_25059338_10N","Standardized passive ankle inversion","","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","PASSIVE_INVERSION_TEST","FULL_EVENT","NOT_REPORTED","Tested ankle","","","","","","","Device-defined inversion","","Controlled","Instrumented device","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy ankles and cadaver specimens","Healthy and cadaver","","","24","Instrumented inversion testing with ligament-force estimation","MODELED_LIGAMENT_FORCE","Boundary evidence only; excluded from app claims and rubrics."
"C3COND_25059338_15N","SRC_PMID_25059338","C3COND_25059338_15N","Standardized passive ankle inversion","","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","PASSIVE_INVERSION_TEST","FULL_EVENT","NOT_REPORTED","Tested ankle","","","","","","","Device-defined inversion","","Controlled","Instrumented device","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy ankles and cadaver specimens","Healthy and cadaver","","","24","Instrumented inversion testing with ligament-force estimation","MODELED_LIGAMENT_FORCE","Boundary evidence only; excluded from app claims and rubrics."
"C3COND_25059338_5N","SRC_PMID_25059338","C3COND_25059338_5N","Standardized passive ankle inversion","","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","PASSIVE_INVERSION_TEST","FULL_EVENT","NOT_REPORTED","Tested ankle","","","","","","","Device-defined inversion","","Controlled","Instrumented device","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy ankles and cadaver specimens","Healthy and cadaver","","","24","Instrumented inversion testing with ligament-force estimation","MODELED_LIGAMENT_FORCE","Boundary evidence only; excluded from app claims and rubrics."
"C3COND_28145739_HEEL_RAISE","SRC_PMID_28145739","C3COND_28145739_HEEL_RAISE","Heel-raising and lowering variants","ex_5c8751d2|ex_bd072cd|ex_5ca7133f","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","STRENGTH_REPETITION","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","Motion analysis and inverse dynamics with tendon stress/strain estimation","MODELED_TENDON_FORCE","Healthy male sample; estimated internal load; protocol differs from app prescriptions."
"C3COND_30923576_INVERSION","SRC_PMID_30923576","C3COND_30923576_INVERSION","Machine-applied ankle inversion","","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","PASSIVE_INVERSION_TEST","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","In-vitro robotic/mechanical testing","SOURCE_DEFINED_KINEMATIC_STABILITY_PROXY","Cadaveric inversion test is not an exercise-specific in-vivo load measurement or validated app transfer."
"C3COND_31193251_IMPULSE","SRC_PMID_31193251","C3COND_31193251_IMPULSE","Forward step lunge with knee in front of or behind toes","ex_64644b5e","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","LUNGE","FULL_EVENT","NOT_REPORTED","Unilateral lead limb","","","","","","","Knee travel condition defined by protocol","","Controlled","Laboratory","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","","","25","Motion analysis and inverse dynamics with patellar tendon stress estimation","MODELED_TENDON_STRESS_TIME_INTEGRAL","Qualitative condition comparison only in this package; no threshold or band."
"C3COND_31193251_PEAK","SRC_PMID_31193251","C3COND_31193251_PEAK","Forward step lunge with knee in front of or behind toes","ex_64644b5e","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","LUNGE","FULL_EVENT","NOT_REPORTED","Unilateral lead limb","","","","","","","Knee travel condition defined by protocol","","Controlled","Laboratory","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","","","25","Motion analysis and inverse dynamics with patellar tendon stress estimation","MODELED_TENDON_STRESS","Qualitative condition comparison only in this package; no threshold or band."
"C3COND_31193251_RATE","SRC_PMID_31193251","C3COND_31193251_RATE","Forward step lunge with knee in front of or behind toes","ex_64644b5e","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","LUNGE","FULL_EVENT","NOT_REPORTED","Unilateral lead limb","","","","","","","Knee travel condition defined by protocol","","Controlled","Laboratory","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","","","25","Motion analysis and inverse dynamics with patellar tendon stress estimation","MODELED_TENDON_STRESS_LOADING_RATE","Qualitative condition comparison only in this package; no threshold or band."
"C3COND_31593498_SINGLE_JUMP","SRC_PMID_31593498","C3COND_31593498_SINGLE_JUMP","Single-legged jump","ex_d6726746|ex_314df428","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","JUMP_LANDING","PRE_CONTACT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","SINGLE","NOT_REPORTED","Not reported","","","","","","MRI and high-speed biplanar radiography","MEASURED_LIGAMENT_STRAIN","Measures strain rather than anterior translation; single task cannot calibrate valgus, rotation, or app-wide bands."
"C3COND_32658037_COMPOSITE","PREFLIGHT_32658037","C3COND_32658037_COMPOSITE","Study exercise progression","","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","3D motion analysis, ground reaction force, and constrained free-body Achilles model","SOURCE_DEFINED_COMPOSITE_INDEX","Source-specific only; rubric and profile use are prohibited."
"C3COND_35142563_HEEL12BW","SRC_PMID_35142563","C3COND_35142563_HEEL12BW","Loaded single-leg heel rise","ex_5ca7133f","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","STRENGTH_REPETITION","FULL_EVENT","NOT_REPORTED","Unilateral","","0.20","","1.20","","Weighted vest attached firmly to torso","Task-defined","","Study-defined","Laboratory","Not applicable","NOT_REPORTED","SINGLE","NOT_REPORTED","Non-fatigued","Healthy trained runners","Healthy","Trained runners","Mixed","16","Freehand three-dimensional ultrasound with motion analysis","MEASURED_TENDON_STRAIN","Healthy trained runners; task-specific strain; no force conversion."
"C3COND_35142563_HEELBW","SRC_PMID_35142563","C3COND_35142563_HEELBW","Single-leg heel rise","ex_5ca7133f","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","STRENGTH_REPETITION","FULL_EVENT","NOT_REPORTED","Unilateral","","","","","","","Task-defined","","Study-defined","Laboratory","Not applicable","NOT_REPORTED","SINGLE","NOT_REPORTED","Non-fatigued","Healthy trained runners","Healthy","Trained runners","Mixed","16","Freehand three-dimensional ultrasound with motion analysis","MEASURED_TENDON_STRAIN","Healthy trained runners; task-specific strain; no force conversion."
"C3COND_35142563_HOPLAND","SRC_PMID_35142563","C3COND_35142563_HOPLAND","Maximum single-leg hop landing","ex_314df428","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","HOP_LANDING","FULL_EVENT","NOT_REPORTED","Unilateral","","","","","","","Task-defined","","Maximum effort","Laboratory","Single landing","NOT_REPORTED","SINGLE","NOT_REPORTED","Non-fatigued","Healthy trained runners","Healthy","Trained runners","Mixed","16","Freehand three-dimensional ultrasound with motion analysis","MEASURED_TENDON_STRAIN","Healthy trained runners; task-specific strain; no force conversion."
"C3COND_35142563_RUN3","SRC_PMID_35142563","C3COND_35142563_RUN3","Running at 3 m/s","ex_681d9ed2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","RUNNING_GAIT","FULL_EVENT","NOT_REPORTED","Bilateral gait","","","","","","","Task-defined","","3 m/s","Laboratory","Running stance","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy trained runners","Healthy","Trained runners","Mixed","16","Freehand three-dimensional ultrasound with motion analysis","MEASURED_TENDON_STRAIN","Healthy trained runners; task-specific strain; no force conversion."
"C3COND_35142563_RUN5","SRC_PMID_35142563","C3COND_35142563_RUN5","Running at 5 m/s","ex_681d9ed2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","RUNNING_GAIT","FULL_EVENT","NOT_REPORTED","Bilateral gait","","","","","","","Task-defined","","5 m/s","Laboratory","Running stance","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy trained runners","Healthy","Trained runners","Mixed","16","Freehand three-dimensional ultrasound with motion analysis","MEASURED_TENDON_STRAIN","Healthy trained runners; task-specific strain; no force conversion."
"C3COND_35142563_WALK","SRC_PMID_35142563","C3COND_35142563_WALK","Walking","ex_681d9ed2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","","FULL_EVENT","NOT_REPORTED","Bilateral gait","","","","","","","Task-defined","","Task-defined","Laboratory","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy trained runners","Healthy","Trained runners","Mixed","16","Freehand three-dimensional ultrasound with motion analysis","MEASURED_TENDON_STRAIN","Healthy trained runners; task-specific strain; no force conversion."
"C3COND_37272685_COMPOSITE","SRC_PMID_37272685","C3COND_37272685_COMPOSITE","Thirty-five weightbearing exercises","","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","3D motion analysis, force plates, and patellofemoral joint model","SOURCE_DEFINED_COMPOSITE_INDEX","Source-specific only; rubric and profile use are prohibited."
"C3COND_40705768_ANKLE_90RM","SRC_PMID_40705768","C3COND_40705768_ANKLE_90RM","Competition-depth barbell back squat at 90 percent 1RM","barbell_back_squat","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","90","Barbell","Competition depth","","Self-selected competition squat","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Elite powerlifters","Healthy","Elite powerlifters","Mixed","29","Three-dimensional motion capture, force plates, and musculoskeletal modeling","MODELED_JOINT_CONTACT_FORCE","Do not merge with bodyweight-task models or create a cross-model rubric."
