"dependencyId","sourceId","sourceConditionId","cohortId","datasetId","dependencyGroupId","dependencyType","rationale","version"
"C4B1_DEP_28145739_SEATED_BILATERAL","SRC_PMID_28145739","C4B1_COND_28145739_SEATED_BILATERAL","COHORT_28145739","DATASET_28145739","DEPENDENCY_28145739","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_28145739_STANDING_BILATERAL","SRC_PMID_28145739","C4B1_COND_28145739_STANDING_BILATERAL","COHORT_28145739","DATASET_28145739","DEPENDENCY_28145739","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_28145739_BILATERAL_UP_UNILATERAL_DOWN","SRC_PMID_28145739","C4B1_COND_28145739_BILATERAL_UP_UNILATERAL_DOWN","COHORT_28145739","DATASET_28145739","DEPENDENCY_28145739","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_28145739_UNILATERAL","SRC_PMID_28145739","C4B1_COND_28145739_UNILATERAL","COHORT_28145739","DATASET_28145739","DEPENDENCY_28145739","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_WALK","SRC_PMID_37847102","C4B1_COND_37847102_WALK","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_DL_SQUAT_60","SRC_PMID_37847102","C4B1_COND_37847102_DL_SQUAT_60","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_DL_SQUAT_FULL","SRC_PMID_37847102","C4B1_COND_37847102_DL_SQUAT_FULL","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_RUN_CUT","SRC_PMID_37847102","C4B1_COND_37847102_RUN_CUT","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_SL_DECLINE_SQUAT","SRC_PMID_37847102","C4B1_COND_37847102_SL_DECLINE_SQUAT","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_SPANISH_SQUAT_3S","SRC_PMID_37847102","C4B1_COND_37847102_SPANISH_SQUAT_3S","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_LUNGE","SRC_PMID_37847102","C4B1_COND_37847102_LUNGE","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_DL_FORWARD_JUMP_FAST","SRC_PMID_37847102","C4B1_COND_37847102_DL_FORWARD_JUMP_FAST","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37847102_BULGARIAN_SQUAT","SRC_PMID_37847102","C4B1_COND_37847102_BULGARIAN_SQUAT","COHORT_37847102","DATASET_37847102","DEPENDENCY_37847102","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_WALK","SRC_PMID_37272685","C4B1_COND_37272685_WALK","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_DL_SQUAT_60","SRC_PMID_37272685","C4B1_COND_37272685_DL_SQUAT_60","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_DL_SQUAT_FULL","SRC_PMID_37272685","C4B1_COND_37272685_DL_SQUAT_FULL","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_RUNNING","SRC_PMID_37272685","C4B1_COND_37272685_RUNNING","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_SL_DECLINE_SQUAT","SRC_PMID_37272685","C4B1_COND_37272685_SL_DECLINE_SQUAT","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_BULGARIAN_SQUAT","SRC_PMID_37272685","C4B1_COND_37272685_BULGARIAN_SQUAT","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
"C4B1_DEP_37272685_SPANISH_SQUAT_3S","SRC_PMID_37272685","C4B1_COND_37272685_SPANISH_SQUAT_3S","COHORT_37272685","DATASET_37272685","DEPENDENCY_37272685","SAME_DATASET","Conditions from one study share participants and are not independent evidence units.","1.0.0"
