"sourceId","resolvedPmid","resolvedDoi","resolvedTitle","resolvedFirstAuthor","resolvedYear","resolvedJournal","identifierVerificationStatus","bibliographicMatchStatus","publicationIntegrityStatus","networkCapabilityStatus","verifiedAt","verificationMethod","metadataSnapshotHash","verificationNotes"
"PREFLIGHT_32658037","32658037","10.1249/mss.0000000000002459","Exercise Progression to Incrementally Load the Achilles Tendon.","Baxter JR","2021","Medicine and science in sports and exercise","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","13c95636776ea2f5b11ba91a636d1f515034ad4465dde598ee68ff19d39071b7","Publication-integrity review remains pending; source identity only."
"SRC_PMID_10656979","10656979","10.1016/s0268-0033(99)00063-7","Cruciate ligament forces in the human knee during rehabilitation exercises.","Toutoungi DE","2000","Clinical biomechanics (Bristol, Avon)","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","32b26d6300b37c39af2e7ac096883008ef60d5750296bfe28478637f405f95b7","Publication-integrity review remains pending; source identity only."
"SRC_PMID_11949662","11949662","10.2519/jospt.2002.32.4.141","Patellofemoral joint kinetics while squatting with and without an external load.","Wallace DA","2002","The Journal of orthopaedic and sports physical therapy","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","ccdfee0e7f58961e85f548c18e5d9b6c4fbf9a8a2836aafac39b38f050e201f3","Publication-integrity review remains pending; source identity only."
"SRC_PMID_18632195","18632195","10.1016/j.clinbiomech.2008.05.002","Patellofemoral compressive force and stress during the forward and side lunges with and without a stride.","Escamilla RF","2008","Clinical biomechanics (Bristol, Avon)","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","d0fb05f4f96216fab92fa61585dbf01c71252e321c06289ae7e4a5918c327f99","Publication-integrity review remains pending; source identity only."
"SRC_PMID_28145739","28145739","10.4085/1062-6050-52.1.04","Achilles Tendon Loading During Heel-Raising and -Lowering Exercises.","Revak A","2017","Journal of athletic training","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","a26723cc279b399741bcbb173467343439ce3b8d15a45226fda93bf562f75483","Publication-integrity review remains pending; source identity only."
"SRC_PMID_30923576","30923576","10.1186/s13047-019-0330-5","Function of ankle ligaments for subtalar and talocrural joint stability during an inversion movement - an in vitro study.","Li L","2019","Journal of foot and ankle research","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","c1910d5d8ea07cb67f66f723be697c80b021051e29783cab07c83092494e4ca5","Publication-integrity review remains pending; source identity only."
"SRC_PMID_31593498","31593498","10.1177/0363546519876074","In Vivo Anterior Cruciate Ligament Deformation During a Single-Legged Jump Measured by Magnetic Resonance Imaging and High-Speed Biplanar Radiography.","Englander ZA","2019","The American journal of sports medicine","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","11b58c489b7845b6018b4ef8379b99d0eca81a1fb620f38aa3f5bc07a2abb746","Publication-integrity review remains pending; source identity only."
"SRC_PMID_37272685","37272685","10.1177/03635465231175160","Patellofemoral Joint Loading Progression Across 35 Weightbearing Rehabilitation Exercises and Activities of Daily Living.","Song K","2023","The American journal of sports medicine","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","fee2f386843c81ddb99865d6411aedadbd966310d0c1aba9ac072cd3e8c59e6f","Publication-integrity review remains pending; source identity only."
"SRC_PMID_37847102","37847102","10.1249/mss.0000000000003323","Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.","Scattone Silva R","2024","Medicine and science in sports and exercise","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","7e5f72968ef454d3a2104138e59a37d45a6128d6131f92777d74b5ef79376fe6","Publication-integrity review remains pending; source identity only."
"SRC_PMID_8947402","8947402","10.1177/036354659602400615","Comparison of intersegmental tibiofemoral joint forces and muscle activity during various closed kinetic chain exercises.","Stuart MJ","1996","The American journal of sports medicine","PMID_AND_DOI_VERIFIED","MATCHED","STATUS_UNKNOWN","LIVE_SOURCE_VERIFICATION_AVAILABLE","2026-07-14T00:00:00Z","NCBI_ESUMMARY_PARSED_AND_CROSSREF_PARSED_BOUNDED_RETRY","e9a59f5fc14658e36d8c6fd03850b64f52decf3c707ee8342de74f9c1fef4a63","Publication-integrity review remains pending; source identity only."
