curveProfileId,percent1Rm,meanRepetitions,sourceArtifactHash,sourceExerciseScope
reps_curve.general_resistance.v1,95,3.28,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,90,4.94,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,85,7.16,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,80,9.76,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,75,12.38,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,70,14.82,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,65,17.13,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,60,19.56,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,55,22.46,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,50,26.03,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,45,30.42,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,40,35.80,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,35,42.42,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,30,50.56,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,25,60.55,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,20,72.81,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.general_resistance.v1,15,87.85,DA67C15CBCA59D77CB037AE8C9A89EC223613233839924EB72047C31CAFD9F9D,general resistance exercise meta-regression
reps_curve.bench_press.v1,95,2.61,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,90,4.12,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,85,6.24,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,80,8.83,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,75,11.52,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,70,14.12,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,65,16.67,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,60,19.47,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,55,22.97,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,50,27.48,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,45,33.30,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,40,40.80,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,35,50.50,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,30,63.05,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,25,79.31,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,20,100.40,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.bench_press.v1,15,127.74,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,barbell bench press
reps_curve.leg_press.v1,95,7.01,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,90,8.68,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,85,10.70,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,80,13.08,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,75,15.85,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,70,19.04,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,65,22.69,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,60,26.85,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,55,31.59,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,50,36.99,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,45,43.09,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,40,50.00,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,35,57.79,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,30,66.57,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,25,76.48,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
reps_curve.leg_press.v1,20,87.65,5C8F8A6CB719F064346E8F9CC910D196DAA9C340B86626895E822DAF930445AA,leg press
