exerciseStableKey,targetKey,proxyMode,transferCoefficient,transferLogVariance,sharedFactorLoadings,loadSemantics,minimumLocalHistoryCount,configVersion,rationale,sourceClass,reviewedStatus
barbell_bench_press,strength.bench_press,DIRECT_ABSOLUTE,1.00,0.04,strength.factor.press_shared:0.90|strength.factor.horizontal_press:1.00|strength.factor.elbow_extension:0.45,EXTERNAL_LOAD,0,strength-proxy-registry-2.0.0,Direct flat barbell bench anchor,PRODUCT_POLICY,REVIEWED
ex_27b3deb5,strength.bench_press,LOCAL_INNOVATION_SHARED_ONLY,0.62,0.10,strength.factor.press_shared:0.90|strength.factor.horizontal_press:0.90|strength.factor.elbow_extension:0.70,EXTERNAL_LOAD,2,strength-proxy-registry-2.0.0,Close press variation transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_a61f1e96,strength.bench_press,LOCAL_INNOVATION_SHARED_ONLY,0.46,0.13,strength.factor.press_shared:0.78|strength.factor.horizontal_press:0.72|strength.factor.elbow_extension:0.42,IMPLEMENT_TOTAL_LOAD,2,strength-proxy-registry-2.0.0,Incline dumbbell press entered weight is total two-hand load,PRODUCT_POLICY,REVIEWED
ex_3a7d3eda,strength.bench_press,LOCAL_INNOVATION_SHARED_ONLY,0.55,0.12,strength.factor.press_shared:0.85|strength.factor.horizontal_press:0.90|strength.factor.elbow_extension:0.50,IMPLEMENT_TOTAL_LOAD,2,strength-proxy-registry-2.0.0,Dumbbell bench entered weight is total two-hand load,PRODUCT_POLICY,REVIEWED
ex_1dbee10e,strength.bench_press,LOCAL_INNOVATION_SHARED_ONLY,0.40,0.15,strength.factor.press_shared:0.80|strength.factor.horizontal_press:0.75,MACHINE_STACK_LOAD,2,strength-proxy-registry-2.0.0,Machine press transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_32219f7a,strength.bench_press,LOCAL_INNOVATION_SHARED_ONLY,0.30,0.18,strength.factor.press_shared:0.55|strength.factor.elbow_extension:0.40,EXTERNAL_LOAD,2,strength-proxy-registry-2.0.0,Press accessory transfers local innovation only,PRODUCT_POLICY,REVIEWED
barbell_back_squat,strength.back_squat,DIRECT_ABSOLUTE,1.00,0.04,strength.factor.knee_extension:1.00|strength.factor.hip_extension_posterior_chain:0.75|strength.factor.trunk_bracing:0.65,EXTERNAL_LOAD,0,strength-proxy-registry-2.0.0,Direct barbell back squat anchor,PRODUCT_POLICY,REVIEWED
ex_c5043892,strength.back_squat,LOCAL_INNOVATION_SHARED_ONLY,0.58,0.11,strength.factor.knee_extension:0.95|strength.factor.hip_extension_posterior_chain:0.60|strength.factor.trunk_bracing:0.80,EXTERNAL_LOAD,2,strength-proxy-registry-2.0.0,Close squat variation transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_fa3416f6,strength.back_squat,LOCAL_INNOVATION_SHARED_ONLY,0.48,0.15,strength.factor.knee_extension:0.85|strength.factor.hip_extension_posterior_chain:0.65|strength.factor.trunk_bracing:0.35,MACHINE_STACK_LOAD,2,strength-proxy-registry-2.0.0,Machine squat transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_ab468462,strength.back_squat,LOCAL_INNOVATION_SHARED_ONLY,0.35,0.18,strength.factor.knee_extension:1.00|strength.factor.hip_extension_posterior_chain:0.45|strength.factor.trunk_bracing:0.10,MACHINE_STACK_LOAD,2,strength-proxy-registry-2.0.0,Leg press transfers local innovation only,PRODUCT_POLICY,REVIEWED
barbell_deadlift,strength.conventional_deadlift,DIRECT_ABSOLUTE,1.00,0.04,strength.factor.knee_extension:0.45|strength.factor.hip_extension_posterior_chain:1.00|strength.factor.trunk_bracing:0.85,EXTERNAL_LOAD,0,strength-proxy-registry-2.0.0,Direct conventional deadlift anchor,PRODUCT_POLICY,REVIEWED
barbell_romanian_deadlift,strength.conventional_deadlift,LOCAL_INNOVATION_SHARED_ONLY,0.50,0.11,strength.factor.knee_extension:0.18|strength.factor.hip_extension_posterior_chain:0.88|strength.factor.trunk_bracing:0.62,EXTERNAL_LOAD,2,strength-proxy-registry-2.0.0,Romanian deadlift transfers local innovation only,PRODUCT_POLICY,REVIEWED
dumbbell_romanian_deadlift,strength.conventional_deadlift,LOCAL_INNOVATION_SHARED_ONLY,0.45,0.15,strength.factor.hip_extension_posterior_chain:0.90|strength.factor.trunk_bracing:0.55,EXTERNAL_LOAD,2,strength-proxy-registry-2.0.0,Hinge variation transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_e41f4c2b,strength.weighted_pull_up,DIRECT_ABSOLUTE,1.00,0.04,strength.factor.vertical_pull_shared:1.00|strength.factor.shoulder_adduction_extension:0.85|strength.factor.elbow_flexion:0.70|strength.factor.scapular_depression_control:0.65,BODYWEIGHT_PLUS_ADDED_LOAD,0,strength-proxy-registry-2.0.0,Direct weighted pull-up total-load anchor,PRODUCT_POLICY,REVIEWED
pull_up,strength.weighted_pull_up,LOCAL_INNOVATION_SHARED_ONLY,0.50,0.12,strength.factor.vertical_pull_shared:0.82|strength.factor.shoulder_adduction_extension:0.70|strength.factor.elbow_flexion:0.55|strength.factor.scapular_depression_control:0.48,BODYWEIGHT_PLUS_ADDED_LOAD,2,strength-proxy-registry-2.0.0,Bodyweight pull-up transfers local total-load innovation only,PRODUCT_POLICY,REVIEWED
ex_e41e8dcf,strength.weighted_pull_up,LOCAL_INNOVATION_SHARED_ONLY,0.48,0.13,strength.factor.vertical_pull_shared:0.95|strength.factor.shoulder_adduction_extension:0.80|strength.factor.elbow_flexion:0.85|strength.factor.scapular_depression_control:0.60,BODYWEIGHT_PLUS_ADDED_LOAD,2,strength-proxy-registry-2.0.0,Chin-up variation transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_6466fe77,strength.weighted_pull_up,LOCAL_INNOVATION_SHARED_ONLY,0.42,0.15,strength.factor.vertical_pull_shared:0.90|strength.factor.shoulder_adduction_extension:0.75|strength.factor.elbow_flexion:0.85|strength.factor.scapular_depression_control:0.55,BODYWEIGHT_PLUS_ADDED_LOAD,2,strength-proxy-registry-2.0.0,Pull variation transfers local innovation only,PRODUCT_POLICY,REVIEWED
ex_dc9e5953,strength.weighted_pull_up,LOCAL_INNOVATION_SHARED_ONLY,0.38,0.17,strength.factor.vertical_pull_shared:0.80|strength.factor.shoulder_adduction_extension:0.75|strength.factor.elbow_flexion:0.55|strength.factor.scapular_depression_control:0.35,MACHINE_STACK_LOAD,2,strength-proxy-registry-2.0.0,Lat pulldown transfers machine-local innovation only,PRODUCT_POLICY,REVIEWED
