schema_version,row_type,program_key,program_name,duration_days,week_number,day_of_week,order_index,exercise_name,category,detail1,detail2,mode,description,family_id,family_name,family_role,family_e1rm_multiplier,default_rest_seconds,rest_seconds,prescription,set_count,reps,weight_kg,seconds,stable_key,source,movement_pattern,movement_category,primary_muscles,secondary_muscles,equipment_tags,force_type,body_region,laterality,joint_emphasis,scapular_demand,hip_demand,plane,is_unilateral,metadata_updated_at
3,exercise,,,,,,,B-스탠스 RDL,근력운동,햄스트링/둔근,척추기립근/골반안정근,"덤벨 또는 바벨, 무게*횟수",발을 앞뒤로 작게 벌려 앞다리에 대부분의 부하를 싣고 내려간다. 후면사슬 편측 보조운동으로 적합하다.,,,,1,90,,,,,,,ex_201f6426,BUILT_IN,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,햄스트링/둔근,척추기립근/골반안정근,바벨|덤벨,HINGE,LOWER,UNILATERAL,HIP|SPINE,,HIP_EXTENSION|PELVIC_STABILITY,SAGITTAL,1,1781278881407
3,exercise,,,,,,,EZ바 컬,근력운동,이두근,상완요골근/전완근,"EZ바, 무게*횟수",EZ바를 잡고 팔꿈치를 고정해 말아 올린다. 손목 부담을 줄이면서 이두 볼륨을 쌓기 좋다.,,,,1,60,,,,,,,ex_8633d8db,BUILT_IN,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,이두근,상완요골근/전완근,EZ바,ISOLATION,UPPER,BILATERAL,ELBOW|WRIST,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,V업,근력운동,복직근,고관절굴곡근/코어,"맨몸, 횟수",팔과 다리를 동시에 들어 몸을 접는다. 허리가 과하게 뜨지 않게 짧은 범위부터 통제한다.,,,,1,45,,,,,,,ex_644e0f9d,BUILT_IN,CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY,ACCESSORY,복직근,고관절굴곡근/코어,맨몸,CORE,TRUNK,BILATERAL,SPINE|HIP,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,Yates Row,근력운동,광배근/능형근,후면삼각근/이두근,"언더핸드 바벨, 무게*횟수",상체를 약간 숙이고 언더핸드로 배 쪽을 향해 당긴다. 도리안 예이츠의 등 훈련으로 알려진 고중량 로우다.,row,로우,로우 계열,1,120,,,,,,,ex_8e4bf08e,BUILT_IN,PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION,STRENGTH,광배근/능형근,후면삼각근/이두근,바벨,PULL,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_RETRACTION,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,글루트 브릿지,근력운동,둔근,햄스트링/코어,"맨몸 또는 바벨, 횟수 또는 무게*횟수",등을 바닥에 두고 엉덩이를 들어 올린다. 허리를 꺾지 않고 둔근으로 골반을 펴는 감각을 확인한다.,,,,1,75,,,,,,,ex_389920ab,BUILT_IN,HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY,STRENGTH,둔근,햄스트링/코어,바벨|맨몸,HINGE,LOWER,BILATERAL,HIP,,HIP_EXTENSION,SAGITTAL,0,1781278881407
3,exercise,,,,,,,네거티브 풀업,근력운동,광배근/대원근,이두근/전완근/견갑안정근,"맨몸, 횟수",위에서 시작해 천천히 내려온다. 풀업 반복 수가 부족한 날에도 당기는 힘과 견갑 제어를 연습할 수 있다.,weighted_pullup,중량 풀업,풀업 계열,1,90,,,,,,,ex_e4f911bb,BUILT_IN,PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|ECCENTRIC_PULLING,STRENGTH,광배근/대원근,이두근/전완근/견갑안정근,맨몸,PULL,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_DEPRESSION|SCAPULAR_RETRACTION,,FRONTAL,0,1781278881407
3,exercise,,,,,,,다이아몬드 푸시업,근력운동,삼두근/대흉근,전면삼각근/코어,"맨몸, 횟수",양손을 좁게 모아 푸시업을 한다. 팔꿈치가 과하게 벌어지지 않게 하며 삼두와 가슴 안쪽 자극을 기록한다.,,,,1,60,,,,,,,ex_debf6a8b,BUILT_IN,PUSH_HORIZONTAL|CHEST_STRENGTH|TRICEPS_EMPHASIS,STRENGTH,삼두근/대흉근,전면삼각근/코어,맨몸,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_CONTROL_LIGHT,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,덤벨 래터럴 레이즈,근력운동,측면삼각근,상부승모근/회전근개,"덤벨, 무게*횟수","덤벨 래터럴 레이즈: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 측면삼각근이고, 상부승모근/회전근개이 흔들리지 않게 보조한다.",,,,1,60,,,,,,,ex_93538692,BUILT_IN,SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY,ACCESSORY,측면삼각근,상부승모근/회전근개,덤벨,ISOLATION,UPPER,BILATERAL,SHOULDER,SCAPULAR_CONTROL_LIGHT,,FRONTAL,0,1781278881407
3,exercise,,,,,,,덤벨 루마니안 데드리프트,근력운동,햄스트링/둔근,척추기립근/광배근/코어,"덤벨, 무게*횟수",덤벨을 허벅지 앞에 두고 엉덩이를 뒤로 보내며 내려간다. 햄스트링이 늘어나는 범위 안에서 등을 유지한다.,deadlift,데드리프트,루마니안 데드리프트 보정,1.18,90,,,,,,,ex_9523db82,BUILT_IN,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH,STRENGTH,햄스트링/둔근,척추기립근/광배근/코어,덤벨,HINGE,LOWER,BILATERAL,HIP|SPINE,,HIP_EXTENSION,SAGITTAL,0,1781278881407
3,exercise,,,,,,,덤벨 리스트 익스텐션,근력운동,손목신전근/전완근,그립,"덤벨, 무게*횟수",손등을 위로 들어 손목 신전근을 훈련한다. 스매시와 라켓 제어 후 손목 균형을 맞추는 보조운동이다.,,,,1,45,,,,,,,ex_72f11dc5,BUILT_IN,WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT,ACCESSORY,손목신전근/전완근,그립,덤벨,ISOLATION,UPPER,BILATERAL,WRIST,,,SAGITTAL,0,1781278881407
