"stableKey","exerciseName","bootstrapActivityKind","runtimeActivityKind","runtimeBadmintonTransferLevel","sportContextTags","courtMovementTypes","badmintonTransferRoles","objectiveIds","setA_currentPractice","setB_courtExposure","setC_legacyFootworkReactive","setD_legacySupport","setE_canonicalObjectiveStimulus","setF_readinessBadmintonCourtPositiveDose"
"band_lift","밴드 리프트","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","ROTATION_GENERATION","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"band_pallof_press","밴드 팔로프 프레스","EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","CORE_STABILITY_SUPPORTIVE","ANTI_ROTATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"band_woodchop","밴드 우드찹","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","ROTATION_GENERATION","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"barbell_back_squat","스쿼트","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"barbell_bench_press","벤치프레스","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"barbell_deadlift","데드리프트","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"barbell_reverse_curl","바벨 리버스 컬","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"barbell_reverse_wrist_curl","바벨 리버스 리스트 컬","EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","GRIP_WRIST_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"barbell_romanian_deadlift","루마니안 바벨 데드리프트","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"cable_hip_adduction","케이블 힙 어덕션","EXERCISE","EXERCISE","SUPPORTIVE","NONE","JUMP_LANDING,RECOVERY_STEP","LOWER_BODY_SUPPORTIVE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
