"legacyField","storageLocation","consumerFile","consumerSymbol","consumerKind","currentDisposition","targetLayer","targetRelation","conversionMode","derivationMode","mappingStatus","reviewEvidence","notes"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/analysis/features/BodyweightEffectiveLoadCalculator.kt","effectiveVolumeLoadOrNull","ANALYSIS","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/analysis/features/BodyweightEffectiveLoadCalculator.kt","profileFor","ANALYSIS","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/analysis/features/BodyweightEffectiveLoadCalculator.kt","volumeLoad","ANALYSIS","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","fromRecord","ANALYSIS","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceLoadingBuilder.kt","build","UI","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","metadataProxyLoadings","ANALYSIS","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/CanonicalExerciseMetadataRepository.kt","exerciseFrom","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/Entities.kt","Exercise","SCHEMA_MODEL","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataBackupContract.kt","ExerciseMetadataFieldPolicyRegistry","BACKUP_RESTORE","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataBackupContract.kt","normalize","BACKUP_RESTORE","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt","createExerciseTable","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt","insertUnresolvedExercise","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt","migrate","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Exercise","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","forExercise","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/SeedData.kt","exerciseFromCsv","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/TrainingRoleSplitMigration.kt","createExercisesWithoutLegacyRole","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
"familyId","Room exercises","app/src/main/java/com/training/trackplanner/data/TrainingRoleSplitMigration.kt","migrateIntrinsicTrainingRoles","DATA","DERIVED_NONCANONICAL","DERIVED_NONCANONICAL","NONE","DO_NOT_MIGRATE_AS_CANONICAL","DERIVE_PER_USE_CASE_FROM_REVIEWED_TYPED_RELATIONS","SEMANTICALLY_REVIEWED","Phase 2A.1 approved familyId disposition","Persisted field remains for Room and backup compatibility only"
