"token","classification","presentInRegisteredForceTypes","presentInRuntimeForceEnum","currentCanonicalRows","seedRows","seedDataSourceReferences","currentRoomFixtureReferences","historicalRoomFixtureReferences","backupRestoreFixtureReferences","testReferences","runtimeBranchReferences","acceptedByRestore","downstreamAuthority","notes"
"ACCELERATE","CURRENT_NONCANONICAL_RUNTIME","NO","YES","31","0","0","0","0","0","0","3","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"ANTI_ROTATION","CURRENT_CANONICAL","YES","NO","0","2","1","0","0","0","22","68","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"BRACE","CURRENT_NONCANONICAL_RUNTIME","NO","YES","93","0","0","0","0","0","4","5","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"CARRY","CURRENT_NONCANONICAL_RUNTIME","NO","YES","3","1","1","0","0","0","0","23","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"DECELERATE","CURRENT_NONCANONICAL_RUNTIME","NO","YES","8","0","0","0","0","0","4","3","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"DECELERATION_DIRECT","CURRENT_CANONICAL","YES","NO","0","1","1","0","0","0","0","4","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"HINGE","CURRENT_NONCANONICAL_RUNTIME","NO","YES","13","10","0","0","0","2","11","44","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"HYPERTROPHY","CURRENT_CANONICAL","YES","NO","0","0","2","0","0","0","2","12","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"LAND","CURRENT_NONCANONICAL_RUNTIME","NO","YES","9","0","0","0","0","0","0","3","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"LOW_LOAD","CURRENT_CANONICAL","YES","NO","0","0","1","0","0","0","2","5","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"LOWER_BODY","CURRENT_CANONICAL","YES","NO","0","32","1","0","0","0","5","2","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"MIXED","CURRENT_CANONICAL","YES","NO","0","4","2","0","0","0","3","16","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"MOTOR_CONTROL","CURRENT_CANONICAL","YES","NO","0","1","1","0","0","0","0","3","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"PLYOMETRIC","CURRENT_CANONICAL","YES","NO","0","11","4","0","0","0","8","30","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"POWER","CURRENT_CANONICAL","YES","NO","0","5","0","0","0","1","7","16","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"PULL","CURRENT_CANONICAL","YES","YES","29","30","1","0","0","1","2","9","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"PUSH","CURRENT_CANONICAL","YES","YES","24","29","1","0","0","0","3","9","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
"ROTATE","CURRENT_NONCANONICAL_RUNTIME","NO","YES","17","0","0","0","0","1","1","4","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"SQUAT","CURRENT_NONCANONICAL_RUNTIME","NO","YES","30","0","0","0","0","1","66","40","YES_FIELD_PRESERVED","RUNTIME_COMPATIBILITY_ONLY","Do not promote into canonical metadata; normalize through existing typed relations"
"STRENGTH","CURRENT_CANONICAL","YES","NO","0","0","2","0","0","7","29","29","YES_FIELD_PRESERVED","REGISTERED_COMPATIBILITY_AND_CURRENT_VALIDATION","Existing canonical owners audited separately"
