"fieldName","storageLocation","cardinality","currentProducers","currentConsumers","ofiUsage","programGenerationUsage","muscleAnalysisUsage","badmintonAnalysisUsage","connectiveTissueUsage","uiUsage","backupRestoreUsage","parsingOrSubstringInference","recommendedDisposition"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceObservationBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/trends/BadmintonTrainingLoadIndexCalculator.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceObservationBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RecordEntryCard.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","NO","NO","YES","YES","YES","REVIEW_REQUIRED"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt;app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt;app/src/main/java/com/training/trackplanner/analysis/trends/BadmintonTrainingLoadIndexCalculator.kt;app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","YES","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"appCueProfile","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectionReasonFormatter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectionReasonFormatter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataAssetLoader.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","NO","YES","NO","NO","NO","NO","YES","NO","REVIEW_REQUIRED"
"badmintonPhysicalQualities","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt;app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotCandidateQuery.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","YES","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"badmintonSkillTargets","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt;app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","NO","NO","YES","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"badmintonTransferLevel","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/CommonUi.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramCompositionPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectionReasonFormatter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","NO","YES","NO","NO","NO","YES","YES","YES","REVIEW_REQUIRED"
"badmintonTransferType","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/CommonUi.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateClassificationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotCandidateQuery.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","NO","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"cognitiveStressTags","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","NO","NO","NO","NO","YES","YES","NO","SPLIT_INTO_RELATIONS"
"exerciseName","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferScoreCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/coach/RpeAutoregulationAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceEstimator.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceObservationBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/PersistentStrengthPerformanceSummary.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthSessionLikelihood.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueCurrentStateServices.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvEventLedger.kt;app/src/main/java/com/training/trackplanner/data/BackupExportService.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreCanonicalizer.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreImportService.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataEditorService.kt;app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramExerciseSpec.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramPlanService.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotAllocator.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RecordMutationService.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/data/TrainingRepository.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/PlanScreen.kt;app/src/main/java/com/training/trackplanner/RecordEntryCard.kt;app/src/main/java/com/training/trackplanner/RestTimerSessionController.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferChartDataBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferScoreCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/coach/CoachFatigueCauseAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/coach/RpeAutoregulationAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/AnalysisExerciseDisplayNameResolver.kt;app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt;app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/lab/StrengthAndMuscleMetricSeriesBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/metrics/CommonPlanProjectionMetrics.kt;app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceEstimator.kt;app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/PersistentStrengthPerformanceSummary.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueAnalysisUiModels.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueCurrentStateServices.kt;app/src/main/java/com/training/trackplanner/analysis/trends/BadmintonTrainingLoadIndexCalculator.kt;app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt;app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt;app/src/main/java/com/training/trackplanner/CommonUi.kt;app/src/main/java/com/training/trackplanner/data/BackupExportService.kt;app/src/main/java/com/training/trackplanner/data/BackupPreflightValidator.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreCanonicalizer.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreImportService.kt;app/src/main/java/com/training/trackplanner/data/Daos.kt;app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt;app/src/main/java/com/training/trackplanner/data/ProgramAutoBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramCorePatternPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramPlanService.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotAllocator.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/data/TrainingRepository.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/PlanProgramSections.kt;app/src/main/java/com/training/trackplanner/PlanScreen.kt;app/src/main/java/com/training/trackplanner/RecordEntryCard.kt;app/src/main/java/com/training/trackplanner/RestTimerNotifier.kt;app/src/main/java/com/training/trackplanner/RestTimerOverlayController.kt;app/src/main/java/com/training/trackplanner/RestTimerUi.kt","YES","YES","YES","YES","YES","YES","YES","YES","DISPLAY_ONLY"
"finalSourceStatus","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","NO","NO","NO","NO","NO","YES","YES","YES","PROVENANCE_ONLY"
