"riskPathId","affectedFile","affectedSymbol","legacyField","analysisModule","derivationMode","severity","evidenceLocations","impactEvaluationStatus","affectedBuiltInStableKeyCount","confirmedErrorCount","validHeuristicResultCount","missingAuthorityCount","structuralAmbiguityCount","notTriggeredCount","userExerciseOnlyRiskCount","linkedConfirmedIssueIds","notes"
"META-SEED-CSV-FALLBACK","app/src/main/java/com/training/trackplanner/data/SeedData.kt","exerciseFromCsv","multiple Exercise CSV fields","shared metadata/data","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:147;app/src/main/java/com/training/trackplanner/data/SeedData.kt:152;app/src/main/java/com/training/trackplanner/data/SeedData.kt:154;app/src/main/java/com/training/trackplanner/data/SeedData.kt:156;app/src/main/java/com/training/trackplanner/data/SeedData.kt:159;app/src/main/java/com/training/trackplanner/data/SeedData.kt:162;app/src/main/java/com/training/trackplanner/data/SeedData.kt:187;app/src/main/java/com/training/trackplanner/data/SeedData.kt:201;app/src/main/java/com/training/trackplanner/data/SeedData.kt:205;app/src/main/java/com/training/trackplanner/data/SeedData.kt:208;app/src/main/java/com/training/trackplanner/data/SeedData.kt:212","PARTIALLY_EVALUATED","224","0","0","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-MOVEMENT-PATTERN","app/src/main/java/com/training/trackplanner/data/SeedData.kt","movementPatternFor","movementPattern","movement/anatomy","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:382;app/src/main/java/com/training/trackplanner/data/SeedData.kt:386;app/src/main/java/com/training/trackplanner/data/SeedData.kt:387","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-FAMILY","app/src/main/java/com/training/trackplanner/data/SeedData.kt","familyIdFor","familyId","movement/anatomy","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:642;app/src/main/java/com/training/trackplanner/data/SeedData.kt:643;app/src/main/java/com/training/trackplanner/data/SeedData.kt:644;app/src/main/java/com/training/trackplanner/data/SeedData.kt:645;app/src/main/java/com/training/trackplanner/data/SeedData.kt:646;app/src/main/java/com/training/trackplanner/data/SeedData.kt:647;app/src/main/java/com/training/trackplanner/data/SeedData.kt:648","EVALUATED","170","0","170","0","0","54","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-PRIMARY-MUSCLES","app/src/main/java/com/training/trackplanner/data/SeedData.kt","musclesFor","primaryMuscles","muscle/strength analysis","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:426","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-SECONDARY-MUSCLES","app/src/main/java/com/training/trackplanner/data/SeedData.kt","fallbackSecondaryMuscles","secondaryMuscles","muscle/strength analysis","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:429;app/src/main/java/com/training/trackplanner/data/SeedData.kt:432","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-FORCE-TYPE","app/src/main/java/com/training/trackplanner/data/SeedData.kt","forceTypeFor","forceType","movement/anatomy","LEGACY_HEURISTIC_FALLBACK","MEDIUM","app/src/main/java/com/training/trackplanner/data/SeedData.kt:474","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-TRAINING-ROLE","app/src/main/java/com/training/trackplanner/data/SeedData.kt","exerciseFromCsv","trainingRole","program generation","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:147;app/src/main/java/com/training/trackplanner/data/SeedData.kt:152;app/src/main/java/com/training/trackplanner/data/SeedData.kt:154;app/src/main/java/com/training/trackplanner/data/SeedData.kt:156;app/src/main/java/com/training/trackplanner/data/SeedData.kt:159;app/src/main/java/com/training/trackplanner/data/SeedData.kt:162;app/src/main/java/com/training/trackplanner/data/SeedData.kt:187;app/src/main/java/com/training/trackplanner/data/SeedData.kt:201;app/src/main/java/com/training/trackplanner/data/SeedData.kt:205;app/src/main/java/com/training/trackplanner/data/SeedData.kt:208;app/src/main/java/com/training/trackplanner/data/SeedData.kt:212","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-SPORT-TRANSFER","app/src/main/java/com/training/trackplanner/data/SeedData.kt","exerciseFromCsv","sportTransferDirect","badminton analysis","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SeedData.kt:147;app/src/main/java/com/training/trackplanner/data/SeedData.kt:152;app/src/main/java/com/training/trackplanner/data/SeedData.kt:154;app/src/main/java/com/training/trackplanner/data/SeedData.kt:156;app/src/main/java/com/training/trackplanner/data/SeedData.kt:159;app/src/main/java/com/training/trackplanner/data/SeedData.kt:162;app/src/main/java/com/training/trackplanner/data/SeedData.kt:187;app/src/main/java/com/training/trackplanner/data/SeedData.kt:201;app/src/main/java/com/training/trackplanner/data/SeedData.kt:205;app/src/main/java/com/training/trackplanner/data/SeedData.kt:208;app/src/main/java/com/training/trackplanner/data/SeedData.kt:212","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-SEED-LOAD-PROFILE","app/src/main/java/com/training/trackplanner/data/SeedData.kt","loadProfileFor","loadProfile","shared metadata/data","LEGACY_HEURISTIC_FALLBACK","MEDIUM","app/src/main/java/com/training/trackplanner/data/SeedData.kt:624","EVALUATED","198","0","198","0","0","26","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-OFI-BROAD-FATIGUE","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt","broadLegacyFatigueCategories","fatigueCategories","OFI/readiness","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:244;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:245;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:246;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:247;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:248;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:249;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:250;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:251","EVALUATED","224","0","224","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
